"","Year","Humans_mgkg","Country","icon","signif_level"
"1",2008,155.277246237582,"Belgium","downward_arrow","***"
"2",2009,150.633404984615,"Belgium","downward_arrow","***"
"3",2010,161.485969709471,"Belgium","downward_arrow","***"
"4",2011,164.032001590633,"Belgium","downward_arrow","***"
"5",2012,163.707432044064,"Belgium","downward_arrow","***"
"6",2013,151.6941055358,"Belgium","downward_arrow","***"
"7",2014,150.744039560605,"Belgium","downward_arrow","***"
"8",2015,153.338862439699,"Belgium","downward_arrow","***"
"9",2016,153.172983946914,"Belgium","downward_arrow","***"
"10",2017,146.44003120098,"Belgium","downward_arrow","***"
"11",2018,146.73757462677,"Belgium","downward_arrow","***"
"12",2019,141.027721952753,"Belgium","downward_arrow","***"
"13",2020,109.884820295121,"Belgium","downward_arrow","***"
"14",2021,115.787516117968,"Belgium","downward_arrow","***"
"15",2022,137.352289790274,"Belgium","downward_arrow","***"
"16",2023,140.632103491864,"Belgium","downward_arrow","***"
"17",2024,135.625674437949,"Belgium","downward_arrow","***"
"1",2012,116.4,"EU","",""
"2",2014,123.7,"EU","",""
"3",2016,133.2,"EU","",""
"4",2018,133.3,"EU","",""
"5",2021,125,"EU","",""
