"","Year","Animals_mgkg","Country","icon","signif_level"
"1",2012,161.1,"Belgium","downward_arrow","***"
"2",2014,158.3,"Belgium","downward_arrow","***"
"3",2016,140.1,"Belgium","downward_arrow","***"
"4",2018,113.1,"Belgium","downward_arrow","***"
"5",2021,95.3,"Belgium","downward_arrow","***"
"6",2023,30.9,"Belgium","downward_arrow","***"
"7",2024,35.1,"Belgium","downward_arrow","***"
"8",2012,144,"EU","",""
"9",2014,151.5,"EU","",""
"10",2016,125.6,"EU","",""
"11",2018,104.6,"EU","",""
"12",2021,92.6,"EU","",""
"13",2023,45.1,"EU","",""
"14",2024,46.1,"EU","",""
