DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2005,5334527,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2006,5367561,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2007,5403126,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2008,5442557,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2009,5484429,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2010,5527684,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2011,5598920,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2012,5635601,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2013,5665118,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2014,5687048,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2015,5713206,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2016,5741853,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2017,5762455,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2018,5784371,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2019,5810693,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2020,5841215,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2021,5854293,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2022,5883978,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2023,5946649,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2024,5981093,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Females,Belgium,2025,6012626,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2005,5111325,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2006,5143821,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2007,5181408,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2008,5224309,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2009,5268651,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2010,5312221,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2011,5401718,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2012,5440288,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2013,5472856,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2014,5493792,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2015,5524068,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2016,5569264,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2017,5589272,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2018,5614218,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2019,5644826,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2020,5681225,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2021,5700474,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2022,5733645,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2023,5796147,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2024,5836003,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Males,Belgium,2025,5870869,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2005,10445852,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2006,10511382,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2007,10584534,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2008,10666866,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2009,10753080,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2010,10839905,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2011,11000638,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2012,11075889,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2013,11137974,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2014,11180840,,
