Year,Country,Animals_mgkg
2012,Austria,54.9
2012,Belgium,161.1
2012,Bulgaria,98.9
2012,Cyprus,396.5
2012,Czech Republic,79.8
2012,Denmark,44.1
2012,Estonia,56
2012,Finland,23.8
2012,France,99.1
2012,Germany,204.8
2012,Hungary,245.5
2012,Iceland,5.9
2012,Ireland,58
2012,Italy,341
2012,Latvia,44.1
2012,Lithuania,39.4
2012,Luxembourg,43.6
2012,Netherlands,74.9
2012,Norway,3.8
2012,Poland,132.2
2012,Portugal,157.1
2012,Slovakia,43.2
2012,Slovenia,37
2012,Spain,242
2012,Sweden,13.5
2012,United Kingdom,66.3
2012,EU/EEA all 26 countries,144
2014,Austria,56.3
2014,Belgium,158.3
2014,Bulgaria,82.9
2014,Croatia,114.8
2014,Cyprus,391.5
2014,"Czech,Republic",79.5
2014,Denmark,44.2
2014,Estonia,77.1
2014,Finland,22.3
2014,France,107
2014,Germany,149.3
2014,Hungary,193.1
2014,Iceland,5.2
2014,Ireland,48
2014,Italy,359.9
2014,Latvia,36.7
2014,Lithuania,35.5
2014,Luxembourg,40.9
2014,Netherlands,68.4
2014,Norway,3.1
2014,Poland,140.8
2014,Portugal,201.6
2014,Romania,39.1
2014,Slovakia,65.9
2014,Slovenia,33.4
2014,Spain,418.8
2014,Sweden,11.5
2014,EU,151.5
2016,Austria,46.1
2016,Belgium,140.1
2016,Bulgaria,155.3
2016,Croatia,87.9
2016,Cyprus,453.4
2016,Denmark,40.8
2016,Estonia,64
2016,Finland,18.6
2016,France,71.9
2016,Germany,89.2
2016,Greece,63.5
2016,Hungary,187.1
2016,Iceland,4.7
2016,Ireland,52.1
2016,Italy,294.8
2016,Latvia,29.9
2016,Lithuania,37.7
2016,Luxembourg,35.5
2016,Netherlands,52.7
2016,Norway,2.9
2016,Poland,129.4
2016,Portugal,208
2016,Romania,85.1
2016,Slovakia,50.4
2016,Slovenia,30.3
2016,Spain,362.5
2016,Sweden,12.1
2016,EU,125.6
2018,Austria,50.1
2018,Belgium,113.1
2018,Bulgaria,119.6
2018,Croatia,66.8
2018,Cyprus,466.3
2018,Denmark,38.2
2018,Estonia,53.3
2018,Finland,18.7
2018,France,64.2
2018,Germany,88.4
2018,Greece,90.9
2018,Hungary,180.6
2018,Iceland,4.9
2018,Ireland,46
2018,Italy,244
2018,Latvia,36.1
2018,Lithuania,33.1
2018,Luxembourg,33.6
2018,Malta,150.9
2018,Netherlands,57.5
2018,Norway,2.9
2018,Poland,167.4
2018,Portugal,186.6
2018,Romania,82.7
2018,Slovakia,49.3
2018,Slovenia,43.2
2018,Spain,219.2
2018,Sweden,12.5
2018,EU,104.6
2021,Austria,41.3
2021,Belgium,95.3
2021,Bulgaria,124.5
2021,Croatia,62.7
2021,Cyprus,296.5
2021,Czechia,50
2021,Denmark,33.4
2021,Estonia,46.6
2021,Finland,17
2021,France,51.7
2021,Germany,73.2
2021,Greece,108.8
2021,Hungary,155.6
2021,Iceland,3.6
2021,Ireland,42.4
2021,Italy,173.5
2021,Latvia,25.5
2021,Lithuania,20.3
2021,Luxembourg,27.1
2021,Malta,110.5
2021,Netherlands,47.6
2021,Norway,2.5
2021,Poland,175.5
2021,Portugal,149.9
2021,Romania,59
2021,Slovakia,41.7
2021,Slovenia,31.8
2021,Spain,157.2
2021,Sweden,10.9
2021,EU,92.6
2023,Austria,19
2023,Belgium,30.9
2023,Bulgaria,49.3
2023,Croatia,26.9
2023,Cyprus,112.9
2023,Czechia,19
2023,Denmark,20.1
2023,Estonia,20
2023,Finland,8.6
2023,France,16.2
2023,Germany,37.4
2023,Greece,37.8
2023,Hungary,45.7
2023,Ireland,16.7
2023,Italy,104.7
2023,Latvia,10.2
2023,Lithuania,21.4
2023,Luxembourg,10
2023,Malta,38
2023,Netherlands,22
2023,Poland,68.8
2023,Portugal,62.2
2023,Romania,36.3
2023,Slovakia,19.5
2023,Slovenia,11.1
2023,Spain,87.9
2023,Sweden,6
2023,Iceland,3.5
2023,Norway,1.8
2023,EU (27 countries),45.1
2023,EU+Iceland+Norway,43.8
2024,Austria,20.1
2024,Belgium,35.1
2024,Bulgaria,51.9
2024,Croatia,35.4
2024,Cyprus,112.9
2024,Czechia,19.1
2024,Denmark,22.2
2024,Estonia,18.8
2024,Finland,8.6
2024,France,16.3
2024,Germany,39.8
2024,Greece,41
2024,Hungary,49.6
2024,Ireland,17.2
2024,Italy,79.9
2024,Latvia,12.8
2024,Lithuania,26.6
2024,Luxembourg,8.2
2024,Malta,40.4
2024,Netherlands,24.5
2024,Poland,76.9
2024,Portugal,49.6
2024,Romania,46.5
2024,Slovakia,22.3
2024,Slovenia,11.7
2024,Spain,93.1
2024,Sweden,6.1
2024,Iceland,4.4
2024,Norway,1.8
2024,EU (27 countries),46.1
2024,EU+Iceland+Norway,44.8
