Year,ATCCode,ATC code name,tonnes per year
2005,A07A,Intestinal antiinfectives,0.107
2005,J01A,Tetracyclines,0.007
2005,J01B,Amphenicols,0.006
2005,J01C,"Beta-lactam antibacterials, penicillins",9.963
2005,J01D,Other beta-lactam antibacterials,4.018
2005,J01E,Sulfonamides and trimethoprim,0.200
2005,J01F,"Macrolides, lincosamides and streptogramins",0.320
2005,J01G,Aminoglycoside antibacterials,0.190
2005,J01M,Quinolone antibacterials,0.643
2005,J01R,Combinations of antibacterials,0.000
2005,J01X,Other antibacterials,0.524
2005,P01A,Agents against amoebiasis and other protozoal diseases,0.123
2006,A07A,Intestinal antiinfectives,0.000
2006,J01A,Tetracyclines,0.013
2006,J01B,Amphenicols,0.006
2006,J01C,"Beta-lactam antibacterials, penicillins",9.519
2006,J01D,Other beta-lactam antibacterials,3.856
2006,J01E,Sulfonamides and trimethoprim,0.234
2006,J01F,"Macrolides, lincosamides and streptogramins",0.326
2006,J01G,Aminoglycoside antibacterials,0.177
2006,J01M,Quinolone antibacterials,0.657
2006,J01R,Combinations of antibacterials,0.000
2006,J01X,Other antibacterials,0.594
2006,P01A,Agents against amoebiasis and other protozoal diseases,0.126
2007,A07A,Intestinal antiinfectives,0.475
2007,J01A,Tetracyclines,2.015
2007,J01B,Amphenicols,0.134
2007,J01C,"Beta-lactam antibacterials, penicillins",63.170
2007,J01D,Other beta-lactam antibacterials,9.407
2007,J01E,Sulfonamides and trimethoprim,2.938
2007,J01F,"Macrolides, lincosamides and streptogramins",6.391
2007,J01G,Aminoglycoside antibacterials,0.178
2007,J01M,Quinolone antibacterials,6.853
2007,J01R,Combinations of antibacterials,0.000
2007,J01X,Other antibacterials,3.279
2007,P01A,Agents against amoebiasis and other protozoal diseases,0.926
2008,A07A,Intestinal antiinfectives,0.433
2008,J01A,Tetracyclines,2.413
2008,J01B,Amphenicols,0.121
2008,J01C,"Beta-lactam antibacterials, penicillins",71.226
2008,J01D,Other beta-lactam antibacterials,8.375
2008,J01E,Sulfonamides and trimethoprim,3.053
2008,J01F,"Macrolides, lincosamides and streptogramins",6.743
2008,J01G,Aminoglycoside antibacterials,0.156
2008,J01M,Quinolone antibacterials,7.374
2008,J01R,Combinations of antibacterials,0.000
2008,J01X,Other antibacterials,3.568
2008,P01A,Agents against amoebiasis and other protozoal diseases,1.040
2009,A07A,Intestinal antiinfectives,0.379
2009,J01A,Tetracyclines,2.441
2009,J01B,Amphenicols,0.138
2009,J01C,"Beta-lactam antibacterials, penicillins",71.064
2009,J01D,Other beta-lactam antibacterials,8.474
2009,J01E,Sulfonamides and trimethoprim,0.000
2009,J01F,"Macrolides, lincosamides and streptogramins",6.991
2009,J01G,Aminoglycoside antibacterials,0.155
2009,J01M,Quinolone antibacterials,7.665
2009,J01R,Combinations of antibacterials,0.000
2009,J01X,Other antibacterials,3.795
2009,P01A,Agents against amoebiasis and other protozoal diseases,0.969
2010,A07A,Intestinal antiinfectives,0.000
2010,J01A,Tetracyclines,2.557
2010,J01B,Amphenicols,0.203
2010,J01C,"Beta-lactam antibacterials, penicillins",76.996
2010,J01D,Other beta-lactam antibacterials,7.909
2010,J01E,Sulfonamides and trimethoprim,2.158
2010,J01F,"Macrolides, lincosamides and streptogramins",7.006
2010,J01G,Aminoglycoside antibacterials,0.144
2010,J01M,Quinolone antibacterials,7.906
2010,J01R,Combinations of antibacterials,0.000
2010,J01X,Other antibacterials,3.950
2010,P01A,Agents against amoebiasis and other protozoal diseases,1.113
2011,A07A,Intestinal antiinfectives,0.000
2011,J01A,Tetracyclines,2.628
2011,J01B,Amphenicols,0.198
2011,J01C,"Beta-lactam antibacterials, penicillins",79.147
2011,J01D,Other beta-lactam antibacterials,7.803
2011,J01E,Sulfonamides and trimethoprim,2.566
2011,J01F,"Macrolides, lincosamides and streptogramins",7.415
2011,J01G,Aminoglycoside antibacterials,0.142
2011,J01M,Quinolone antibacterials,8.084
2011,J01R,Combinations of antibacterials,0.000
2011,J01X,Other antibacterials,4.142
2011,P01A,Agents against amoebiasis and other protozoal diseases,1.013
2012,A07A,Intestinal antiinfectives,0.000
2012,J01A,Tetracyclines,2.722
2012,J01B,Amphenicols,0.200
2012,J01C,"Beta-lactam antibacterials, penicillins",81.511
2012,J01D,Other beta-lactam antibacterials,7.944
2012,J01E,Sulfonamides and trimethoprim,0.000
2012,J01F,"Macrolides, lincosamides and streptogramins",7.780
2012,J01G,Aminoglycoside antibacterials,0.133
2012,J01M,Quinolone antibacterials,8.106
2012,J01R,Combinations of antibacterials,0.000
2012,J01X,Other antibacterials,4.272
2012,P01A,Agents against amoebiasis and other protozoal diseases,1.170
2013,A07A,Intestinal antiinfectives,0.000
2013,J01A,Tetracyclines,2.824
2013,J01B,Amphenicols,0.198
2013,J01C,"Beta-lactam antibacterials, penicillins",71.903
2013,J01D,Other beta-lactam antibacterials,7.950
2013,J01E,Sulfonamides and trimethoprim,2.134
2013,J01F,"Macrolides, lincosamides and streptogramins",7.593
2013,J01G,Aminoglycoside antibacterials,0.112
2013,J01M,Quinolone antibacterials,7.827
2013,J01R,Combinations of antibacterials,0.000
2013,J01X,Other antibacterials,4.442
2013,P01A,Agents against amoebiasis and other protozoal diseases,1.192
2014,A07A,Intestinal antiinfectives,0.000
2014,J01A,Tetracyclines,2.837
2014,J01B,Amphenicols,0.173
2014,J01C,"Beta-lactam antibacterials, penicillins",72.640
2014,J01D,Other beta-lactam antibacterials,7.668
2014,J01E,Sulfonamides and trimethoprim,1.409
2014,J01F,"Macrolides, lincosamides and streptogramins",7.611
2014,J01G,Aminoglycoside antibacterials,0.101
2014,J01M,Quinolone antibacterials,7.688
2014,J01R,Combinations of antibacterials,0.000
2014,J01X,Other antibacterials,4.598
