"","Country","Year","mg/PCU"
"1","Austria","2010",62.9
"2","Belgium","2010",179.9
"3","Czechia","2010",94.3
"4","Denmark","2010",47.1
"5","Estonia","2010",70.8
"6","Finland","2010",22
"7","France","2010",133.6
"8","Hungary","2010",269.9
"9","Iceland","2010",6.8
"10","Ireland","2010",51.4
"11","Italy","2010",421.1
"12","Latvia","2010",39.4
"13","Lithuania","2010",48.2
"14","Netherlands","2010",146
"15","Norway","2010",3.9
"16","Portugal","2010",175.1
"17","Slovenia","2010",46.8
"18","Spain","2010",259.5
"19","Sweden","2010",14.7
"20","Austria","2011",54.4
"21","Belgium","2011",175.1
"22","Bulgaria","2011",92.6
"23","Cyprus","2011",332.3
"24","Czechia","2011",83
"25","Denmark","2011",42.1
"26","Estonia","2011",70.5
"27","Finland","2011",21.3
"28","France","2011",114.3
"29","Germany","2011",211.5
"30","Hungary","2011",192.5
"31","Iceland","2011",6
"32","Ireland","2011",46.4
"33","Italy","2011",371
"34","Latvia","2011",36.7
"35","Lithuania","2011",41.1
"36","Netherlands","2011",113.7
"37","Norway","2011",3.5
"38","Poland","2011",126.3
"39","Portugal","2011",159.2
"40","Slovakia","2011",43.6
"41","Slovenia","2011",46
"42","Spain","2011",335.8
"43","Sweden","2011",13.1
"44","Austria","2012",54.8
"45","Belgium","2012",162.9
"46","Bulgaria","2012",98.9
"47","Cyprus","2012",301.9
"48","Czechia","2012",79.8
"49","Denmark","2012",43.7
"50","Estonia","2012",62.7
"51","Finland","2012",21.3
"52","France","2012",101.1
"53","Germany","2012",204.8
"54","Hungary","2012",245.7
"55","Iceland","2012",5.4
"56","Ireland","2012",54.8
"57","Italy","2012",340.9
"58","Latvia","2012",41.5
"59","Lithuania","2012",39.1
"60","Luxembourg","2012",43.2
"61","Netherlands","2012",74.8
"62","Norway","2012",3.7
"63","Poland","2012",134.1
"64","Portugal","2012",155.2
"65","Slovakia","2012",43.3
"66","Slovenia","2012",36.9
"67","Spain","2012",302.3
"68","Sweden","2012",13
"69","Austria","2013",57.2
"70","Belgium","2013",156.4
"71","Bulgaria","2013",116.1
"72","Cyprus","2013",333.4
"73","Czechia","2013",82.2
"74","Denmark","2013",44.5
"75","Estonia","2013",70.1
"76","Finland","2013",21.8
"77","France","2013",93.9
"78","Germany","2013",179.7
"79","Hungary","2013",230.6
"80","Iceland","2013",4.9
"81","Ireland","2013",55.7
"82","Italy","2013",301.5
"83","Latvia","2013",37.6
"84","Lithuania","2013",29
"85","Luxembourg","2013",52.1
"86","Netherlands","2013",69.9
"87","Norway","2013",3.5
"88","Poland","2013",150.3
"89","Portugal","2013",184.8
"90","Slovakia","2013",59.2
"91","Slovenia","2013",22.3
"92","Spain","2013",317
"93","Sweden","2013",12.2
"94","Austria","2014",56.3
"95","Belgium","2014",158.1
"96","Bulgaria","2014",82.9
"97","Croatia","2014",103.5
"98","Cyprus","2014",317
"99","Czechia","2014",79.8
"100","Denmark","2014",43.8
"101","Estonia","2014",76.8
"102","Finland","2014",21.8
"103","France","2014",105.8
"104","Germany","2014",149.3
"105","Hungary","2014",193
"106","Iceland","2014",4.8
"107","Ireland","2014",47.5
"108","Italy","2014",332.3
"109","Latvia","2014",36.6
"110","Lithuania","2014",35.5
"111","Luxembourg","2014",40.6
"112","Netherlands","2014",68.4
"113","Norway","2014",3
"114","Poland","2014",139.5
"115","Portugal","2014",198.6
"116","Romania","2014",109
"117","Slovakia","2014",65.6
"118","Slovenia","2014",33.3
"119","Spain","2014",418.8
"120","Sweden","2014",11.1
"121","Austria","2015",50.7
"122","Belgium","2015",149.9
"123","Bulgaria","2015",121.8
"124","Croatia","2015",90.5
"125","Cyprus","2015",350.2
"126","Czechia","2015",68
"127","Denmark","2015",41.8
"128","Estonia","2015",64.9
"129","Finland","2015",19.9
"130","France","2015",69.4
"131","Germany","2015",98.2
"132","Greece","2015",58.2
"133","Hungary","2015",211.4
"134","Iceland","2015",4.7
"135","Ireland","2015",50.8
"136","Italy","2015",321.9
"137","Latvia","2015",37.6
"138","Lithuania","2015",35
"139","Luxembourg","2015",34.5
"140","Netherlands","2015",64.4
"141","Norway","2015",2.8
"142","Poland","2015",137.9
"143","Portugal","2015",168.4
"144","Romania","2015",100.5
"145","Slovakia","2015",50.8
"146","Slovenia","2015",26.3
"147","Spain","2015",402
"148","Sweden","2015",11.4
"149","Austria","2016",46.1
"150","Belgium","2016",139.9
"151","Bulgaria","2016",155.2
"152","Croatia","2016",83.6
"153","Cyprus","2016",346.4
"154","Czechia","2016",61.2
"155","Denmark","2016",40.4
"156","Estonia","2016",63.7
"157","Finland","2016",18.1
"158","France","2016",71.2
"159","Germany","2016",89.2
"160","Greece","2016",64.8
"161","Hungary","2016",187
"162","Iceland","2016",4.5
"163","Ireland","2016",52
"164","Italy","2016",294.7
"165","Latvia","2016",29.9
"166","Lithuania","2016",37.4
"167","Luxembourg","2016",35.4
"168","Netherlands","2016",52.7
"169","Norway","2016",2.8
"170","Poland","2016",128.4
"171","Portugal","2016",206.4
"172","Romania","2016",85.2
"173","Slovakia","2016",50.3
"174","Slovenia","2016",30.3
"175","Spain","2016",362.4
"176","Sweden","2016",11.7
"177","Austria","2017",46.7
"178","Belgium","2017",131.1
"179","Bulgaria","2017",129.8
"180","Croatia","2017",68
"181","Cyprus","2017",335.2
"182","Czechia","2017",63.5
"183","Denmark","2017",38.9
"184","Estonia","2017",56.3
"185","Finland","2017",18.9
"186","France","2017",68
"187","Germany","2017",89.1
"188","Greece","2017",95.7
"189","Hungary","2017",190.9
"190","Iceland","2017",4.4
"191","Ireland","2017",46.5
"192","Italy","2017",273.7
"193","Latvia","2017",33.2
"194","Lithuania","2017",34.2
"195","Luxembourg","2017",35.1
"196","Malta","2017",129.3
"197","Netherlands","2017",56.2
"198","Norway","2017",3
"199","Poland","2017",163.9
"200","Portugal","2017",132.1
"201","Romania","2017",90.1
"202","Slovakia","2017",61.8
"203","Slovenia","2017",36.6
"204","Spain","2017",230.3
"205","Sweden","2017",11.6
"206","Austria","2018",50.2
"207","Belgium","2018",113
"208","Bulgaria","2018",119.6
"209","Croatia","2018",70.8
"210","Cyprus","2018",392.3
"211","Czechia","2018",56.9
"212","Denmark","2018",37.8
"213","EU","2018",118.3
"214","Estonia","2018",52.9
"215","Finland","2018",18.2
"216","France","2018",64.2
"217","Germany","2018",88.4
"218","Greece","2018",93.6
"219","Hungary","2018",180.5
"220","Iceland","2018",4.8
"221","Ireland","2018",45.9
"222","Italy","2018",244
"223","Latvia","2018",35.9
"224","Lithuania","2018",32.7
"225","Luxembourg","2018",33.6
