year,country,sales_tonnes,biomass_million_tonnes,sales_mgkg,source
2023,Austria,33.6,1.767,19.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Belgium,99.9,3.229,30.9,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Bulgaria,36.6,0.742,49.3,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Croatia,12.8,0.476,26.9,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Cyprus,22.9,0.203,112.9,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Czechia,28.8,1.515,19.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Denmark,70.5,3.511,20.1,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Estonia,5.2,0.261,20.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Finland,7.5,0.875,8.6,ESUAvet Annual Surveillance Report 2023 Table 3
2023,France,253.9,15.639,16.2,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Germany,520.2,13.893,37.4,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Greece,87.3,2.311,37.8,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Hungary,78.6,1.722,45.7,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Ireland,74.3,4.448,16.7,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Italy,651.2,6.218,104.7,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Latvia,3.5,0.345,10.2,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Lithuania,13.0,0.608,21.4,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Luxembourg,1.3,0.129,10.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Malta,1.0,0.028,38.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Netherlands,113.1,5.137,22.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Poland,688.4,10.008,68.8,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Portugal,139.6,2.245,62.2,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Romania,171.5,4.719,36.3,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Slovakia,9.7,0.496,19.5,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Slovenia,4.3,0.387,11.1,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Spain,1175.3,13.367,87.9,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Sweden,8.6,1.439,6.0,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Iceland,0.6,0.174,3.5,ESUAvet Annual Surveillance Report 2023 Table 3
2023,Norway,4.6,2.627,1.8,ESUAvet Annual Surveillance Report 2023 Table 3
2023,EU (27 countries),4312.6,95.717,45.1,ESUAvet Annual Surveillance Report 2023 Table 3
2023,EU+Iceland+Norway,4317.8,98.518,43.8,ESUAvet Annual Surveillance Report 2023 Table 3
2024,Austria,35.5,1.8,20.1,ESUAvet Annual Surveillance Report 2024 Table 2
