year,country,sales_tonnes,sales_mgpcu,pcu_1000_tonnes
2010,Austria,62.6,62.9,994.2
2010,Belgium,298.8,179.9,1660.5
2010,Czechia,71.2,94.3,755.2
2010,Denmark,118.0,47.1,2503.3
2010,Estonia,7.6,70.8,107.7
2010,Finland,11.4,22.0,516.9
2010,France,999.5,133.6,7478.8
2010,Hungary,207.4,269.9,768.4
2010,Iceland,0.8,6.8,112.7
2010,Ireland,91.3,51.4,1778.5
2010,Italy,1925.6,421.1,4572.5
2010,Latvia,6.5,39.4,164.7
2010,Lithuania,16.5,48.2,341.7
2010,Netherlands,460.8,146.0,3155.3
2010,Norway,6.2,3.9,1572.4
2010,Portugal,181.5,175.1,1036.6
2010,Slovenia,8.4,46.8,179.8
2010,Spain,1804.6,259.5,6955.1
2010,Sweden,12.2,14.7,832.3
2011,Austria,53.2,54.4,976.5
2011,Belgium,296.9,175.1,1695.3
2011,Bulgaria,36.9,92.6,398.6
2011,Cyprus,51.7,332.3,155.7
2011,Czechia,60.8,83.0,732.2
2011,Denmark,104.4,42.1,2478.7
2011,Estonia,7.5,70.5,106.4
2011,Finland,11.1,21.3,520.0
2011,France,890.1,114.3,7784.8
2011,Germany,1818.9,211.5,8599.7
2011,Hungary,147.5,192.5,766.5
2011,Iceland,0.7,6.0,113.5
2011,Ireland,82.0,46.4,1769.7
2011,Italy,1668.1,371.0,4496.7
2011,Latvia,6.3,36.7,170.7
2011,Lithuania,13.8,41.1,336.5
2011,Netherlands,362.3,113.7,3185.9
2011,Norway,6.0,3.5,1715.3
2011,Poland,500.3,126.3,3962.8
2011,Portugal,164.5,159.2,1033.1
2011,Slovakia,10.8,43.6,248.2
2011,Slovenia,8.4,46.0,181.6
2011,Spain,2390.7,335.8,7120.2
2011,Sweden,10.9,13.1,836.0
2012,Austria,52.9,54.8,965.7
2012,Belgium,270.1,162.9,1658.3
2012,Bulgaria,38.4,98.9,388.2
2012,Cyprus,45.0,301.9,148.9
2012,Czechia,53.7,79.8,672.8
2012,Denmark,106.0,43.7,2424.3
2012,Estonia,7.3,62.7,116.8
2012,Finland,10.9,21.3,511.1
2012,France,761.5,101.1,7529.5
2012,Germany,1708.0,204.8,8337.9
2012,Hungary,178.6,245.7,727.0
2012,Iceland,0.6,5.4,115.7
2012,Ireland,94.5,54.8,1725.1
2012,Italy,1534.1,340.9,4499.9
2012,Latvia,6.7,41.5,161.9
2012,Lithuania,13.3,39.1,339.4
2012,Luxembourg,2.2,43.2,50.4
2012,Netherlands,245.3,74.8,3279.1
2012,Norway,6.9,3.7,1886.5
2012,Poland,528.5,134.1,3941.1
2012,Portugal,156.6,155.2,1009.3
2012,Slovakia,10.2,43.3,236.0
2012,Slovenia,6.8,36.9,183.4
2012,Spain,2115.1,302.3,6996.1
2012,Sweden,10.2,13.0,782.6
2013,Austria,54.7,57.2,957.0
2013,Belgium,259.2,156.4,1657.5
2013,Bulgaria,46.5,116.1,400.9
2013,Cyprus,47.9,333.4,143.7
2013,Czechia,57.2,82.2,696.8
2013,Denmark,107.5,44.5,2417.2
2013,Estonia,8.5,70.1,121.2
2013,Finland,11.2,21.8,514.4
2013,France,680.8,93.9,7247.1
2013,Germany,1531.9,179.7,8525.6
2013,Hungary,176.0,230.6,763.1
2013,Iceland,0.6,4.9,115.2
2013,Ireland,98.1,55.7,1761.6
2013,Italy,1318.3,301.5,4371.9
2013,Latvia,6.3,37.6,167.1
2013,Lithuania,9.9,29.0,339.5
2013,Luxembourg,2.7,52.1,51.0
2013,Netherlands,225.4,69.9,3226.3
2013,Norway,6.4,3.5,1824.1
2013,Poland,576.6,150.3,3837.5
2013,Portugal,179.4,184.8,971.0
2013,Slovakia,14.6,59.2,247.2
2013,Slovenia,4.0,22.3,180.2
2013,Spain,2201.3,317.0,6943.6
2013,Sweden,9.7,12.2,795.6
2014,Austria,53.4,56.3,948.3
2014,Belgium,265.4,158.1,1678.0
2014,Bulgaria,32.6,82.9,393.5
2014,Croatia,31.3,103.5,302.3
2014,Cyprus,41.7,317.0,131.6
2014,Czechia,56.1,79.8,702.6
2014,Denmark,105.8,43.8,2415.3
2014,Estonia,9.8,76.8,127.3
2014,Finland,11.1,21.8,509.4
2014,France,761.3,105.8,7196.7
2014,Germany,1305.9,149.3,8748.6
2014,Hungary,150.4,193.0,779.1
2014,Iceland,0.6,4.8,115.8
2014,Ireland,88.6,47.5,1866.4
2014,Italy,1321.9,332.3,3977.4
2014,Latvia,6.3,36.6,173.0
2014,Lithuania,11.9,35.5,335.0
2014,Luxembourg,2.1,40.6,52.0
2014,Netherlands,214.4,68.4,3135.2
2014,Norway,5.6,3.0,1901.6
2014,Poland,578.4,139.5,4145.1
2014,Portugal,190.0,198.6,957.0
2014,Romania,272.8,109.0,2501.8
2014,Slovakia,16.3,65.6,249.2
2014,Slovenia,5.7,33.3,171.2
2014,Spain,2964.2,418.8,7077.1
2014,Sweden,9.0,11.1,810.8
2015,Austria,48.5,50.7,956.8
2015,Belgium,257.7,149.9,1719.4
2015,Bulgaria,46.3,121.8,380.0
2015,Croatia,27.8,90.5,307.4
2015,Cyprus,46.9,350.2,133.9
2015,Czechia,47.5,68.0,698.1
2015,Denmark,100.9,41.8,2415.4
2015,Estonia,8.0,64.9,123.4
2015,Finland,10.3,19.9,519.0
2015,France,501.4,69.4,7221.6
2015,Germany,853.7,98.2,8690.2
2015,Greece,72.6,58.2,1247.1
2015,Hungary,176.0,211.4,832.5
2015,Iceland,0.5,4.7,116.4
2015,Ireland,96.1,50.8,1892.3
2015,Italy,1299.8,321.9,4037.6
2015,Latvia,6.8,37.6,180.3
2015,Lithuania,11.9,35.0,338.9
2015,Luxembourg,1.8,34.5,52.8
2015,Netherlands,213.6,64.4,3318.0
2015,Norway,5.4,2.8,1948.0
2015,Poland,582.6,137.9,4226.2
2015,Portugal,169.8,168.4,1008.3
2015,Romania,257.2,100.5,2558.6
2015,Slovakia,12.6,50.8,247.3
2015,Slovenia,4.6,26.3,173.1
2015,Spain,3027.8,402.0,7531.8
2015,Sweden,9.2,11.4,808.4
2016,Austria,44.1,46.1,957.1
2016,Belgium,239.9,139.9,1715.1
2016,Bulgaria,61.0,155.2,393.2
2016,Croatia,26.6,83.6,317.7
2016,Cyprus,46.3,346.4,133.7
2016,Czechia,43.1,61.2,704.9
2016,Denmark,97.7,40.4,2419.7
2016,Estonia,7.2,63.7,112.7
2016,Finland,9.4,18.1,520.7
2016,France,513.6,71.2,7217.0
2016,Germany,779.4,89.2,8734.0
2016,Greece,79.9,64.8,1232.7
2016,Hungary,155.5,187.0,831.7
2016,Iceland,0.5,4.5,120.1
2016,Ireland,102.0,52.0,1962.7
2016,Italy,1213.0,294.7,4115.8
2016,Latvia,5.4,29.9,180.0
2016,Lithuania,12.7,37.4,339.5
2016,Luxembourg,1.9,35.4,54.6
2016,Netherlands,181.6,52.7,3445.7
2016,Norway,5.4,2.8,1896.4
2016,Poland,570.3,128.4,4442.8
2016,Portugal,211.0,206.4,1022.1
2016,Romania,265.4,85.2,3116.1
2016,Slovakia,12.2,50.3,242.6
2016,Slovenia,5.4,30.3,178.1
2016,Spain,2724.7,362.4,7517.7
2016,Sweden,9.4,11.7,805.0
2017,Austria,44.6,46.7,953.9
2017,Belgium,220.7,131.1,1683.1
2017,Bulgaria,49.6,129.8,381.9
2017,Croatia,21.1,68.0,310.4
2017,Cyprus,45.4,335.2,135.5
2017,Czechia,44.0,63.5,693.1
2017,Denmark,93.4,38.9,2397.6
2017,Estonia,6.2,56.3,110.9
2017,Finland,9.6,18.9,507.5
2017,France,482.9,68.0,7096.6
2017,Germany,766.8,89.1,8608.8
2017,Greece,116.6,95.7,1218.2
2017,Hungary,147.2,190.9,770.9
2017,Iceland,0.5,4.4,125.1
2017,Ireland,98.2,46.5,2114.1
2017,Italy,1057.5,273.7,3863.8
2017,Latvia,5.9,33.2,176.3
2017,Lithuania,11.5,34.2,336.8
2017,Luxembourg,1.9,35.1,54.7
2017,Malta,1.8,129.3,13.7
2017,Netherlands,187.9,56.2,3340.7
2017,Norway,5.6,3.0,1861.2
2017,Poland,749.5,163.9,4574.4
2017,Portugal,135.1,132.1,1023.2
2017,Romania,262.9,90.1,2916.2
2017,Slovakia,13.9,61.8,224.9
2017,Slovenia,6.7,36.6,183.9
2017,Spain,1769.6,230.3,7684.5
2017,Sweden,9.3,11.6,804.1
2018,Austria,48.0,50.2,957.2
2018,Belgium,194.8,113.0,1724.4
2018,Bulgaria,47.8,119.6,399.9
2018,Croatia,22.0,70.8,311.1
2018,Estonia,6.0,52.9,114.0
2018,Finland,9.0,18.2,496.8
2018,France,456.0,64.2,7107.0
2018,Germany,753.1,88.4,8517.6
2018,Greece,112.9,93.6,1206.1
2018,Hungary,150.1,180.5,831.8
2018,Iceland,0.6,4.8,116.4
2018,Ireland,98.3,45.9,2142.1
2018,Italy,931.8,244.0,3819.3
2018,Latvia,6.0,35.9,167.3
2018,Lithuania,10.7,32.7,327.6
2018,Luxembourg,1.8,33.6,54.7
2018,Malta,2.1,153.4,14.0
2018,Netherlands,183.8,57.4,3200.8
2018,Norway,5.5,2.9,1927.5
2018,Poland,786.5,168.3,4672.6
2018,Portugal,191.8,183.4,1046.1
2018,Spain,1722.5,219.0,7865.4
2018,Sweden,9.4,12.1,782.7
2019,Austria,40.5,42.6,950.7
2019,Belgium,175.1,101.9,1717.3
2019,Bulgaria,43.4,112.7,385.5
2019,Croatia,20.1,62.8,319.4
2019,Cyprus,49.4,350.0,141.1
2019,Czechia,37.7,53.8,702.0
2019,Denmark,87.7,37.1,2362.4
2019,Estonia,6.1,53.5,114.9
2019,Finland,9.4,19.1,494.4
2019,France,407.4,58.3,6985.4
2019,Germany,654.5,78.6,8327.2
2019,Greece,99.8,84.8,1175.8
2019,Hungary,152.1,184.8,823.1
2019,Latvia,4.5,28.2,161.3
2019,Lithuania,20.4,65.6,310.7
2019,Luxembourg,1.6,29.0,53.8
2019,Malta,1.5,110.3,13.8
