Country,Inclusion_hosp,Humans_consump_tonnes,Animals_consump_tonnes,Total,Humans_biomass,Animals_biomass,Total_biomass,Humans_mgkg,Animals_mgkg,Year
Austria,No,37.1,53,90.1,528,966,1494,70.2,54.9,2012
Belgium,Yes,112.7,267.2,379.9,693,1658,2351,162.6,161.1,2012
Bulgaria,Yes,49.8,38.4,88.2,455,388,843,109.4,98.9,2012
Cyprus,Yes,7.8,45,52.8,54,113,167,144.4,396.5,2012
Czech Republic,No,55.2,53.7,108.9,657,673,1330,84.1,79.8,2012
Denmark,Yes,47.5,107,154.5,349,2424,2773,136.2,44.1,2012
Estonia,Yes,5.9,7.3,13.2,84,131,215,70.1,56,2012
Finland,Yes,47.3,12.2,59.5,338,511,849,140.1,23.8,2012
France,Yes,719.2,761.5,1480.7,4092,7618,11710,175.8,99.1,2012
Germany,No,291.7,1707.5,1999.2,4357,8338,12695,66.9,204.8,2012
Hungary,No,41.3,178.5,219.8,611,727,1338,67.5,245.5,2012
Iceland,Yes,2.5,0.7,3.2,20,116,136,125.9,5.9,2012
Ireland,Yes,41.5,100,141.5,286,1725,2011,144.9,58,2012
Italy,Yes,621.6,1534.3,2155.9,3712,4500,8212,167.5,341,2012
Latvia,Yes,11.3,6.7,18,128,162,290,88.8,44.1,2012
Lithuania,Yes,19.2,13.4,32.6,188,339,527,102,39.4,2012
Luxembourg,Yes,4.8,2.2,7,31,50,81,153.1,43.6,2012
Netherlands,Yes,54.5,245.7,300.2,963,3279,4242,56.7,74.9,2012
Norway,Yes,44.1,7.1,51.2,312,1851,2163,141.6,3.8,2012
Poland,No,238.5,516.4,754.9,2408,3908,6316,99,132.2,2012
Portugal,Yes,83,156.5,239.5,624,996,1620,133.1,157.1,2012
Slovakia,Yes,39.2,10.2,49.4,338,235,573,115.9,43.2,2012
Slovenia,Yes,13.9,6.8,20.7,129,183,312,108.3,37,2012
Spain,No,320.7,1693,2013.7,2954,6996,9950,108.6,242,2012
Sweden,Yes,74.8,10.6,85.4,593,783,1376,126.2,13.5,2012
United Kingdom,No,414.9,447.4,862.3,3982,6749,10731,104.2,66.3,2012
EU/EEA all 26 countries,–,3399.8,7982,11381.8,28884,55421,84305,116.4,144,2012
