"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","BG","Bulgaria",6.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","DE","Germany",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","EL","Greece",118.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","FR","France",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","IT","Italy",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","NL","Netherlands",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","PL","Poland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","PT","Portugal",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","RO","Romania",9.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2012","UK","United Kingdom",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","AT","Austria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","BG","Bulgaria",9.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","CY","Cyprus",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","DE","Germany",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","EL","Greece",62.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","ES","Spain",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","FR","France",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2013","HR","Croatia",0.000000000,""
