Year,Country,Active_product_tonnes,annual_bodymass,Volume (mg/kg)
2008,Belgium,103.029,663516403.7,155.27724623758235
2009,Belgium,100.723,668663103.05,150.633404984615
2010,Belgium,108.829,673922324,161.48596970947057
2011,Belgium,112.125,683555641.05,164.03200159063337
2012,Belgium,112.66799999999999,688227764.575,163.70743204406412
2013,Belgium,104.983,692070398.05,151.69410553580028
2014,Belgium,104.725,694720668.925,150.74403956060476
2015,Belgium,107.074,698283515.975,153.33886243969917
2016,Belgium,107.691,703067846.725,153.17298394691426
2017,Belgium,103.362,705831589.575,146.44003120097955
2018,Belgium,104.05799999999999,709143518.725,146.73757462677005
2019,Belgium,100.58,713193112.725,141.02772195275338
2020,Belgium,78.899,718015461.9,109.88482029512129
2021,Belgium,83.463,720829004.7,115.78751611796788
2022,Belgium,99.636,725404724.975,137.35228979027372
2023,Belgium,103.211,733907816.475,140.63210349186383
2024,Belgium,100.326,739727197.05,135.62567443794921
