Year,Country,Humans_mgkg
2012,Austria,70.2
2012,Belgium,162.6
2012,Bulgaria,109.4
2012,Cyprus,144.4
2012,Czech Republic,84.1
2012,Denmark,136.2
2012,Estonia,70.1
2012,Finland,140.1
2012,France,175.8
2012,Germany,66.9
2012,Hungary,67.5
2012,Iceland,125.9
2012,Ireland,144.9
2012,Italy,167.5
2012,Latvia,88.8
2012,Lithuania,102
2012,Luxembourg,153.1
2012,Netherlands,56.7
2012,Norway,141.6
2012,Poland,99
2012,Portugal,133.1
2012,Slovakia,115.9
2012,Slovenia,108.3
2012,Spain,108.6
2012,Sweden,126.2
2012,United Kingdom,104.2
2012,EU/EEA all 26 countries,116.4
2014,Austria,70.9
2014,Belgium,153.4
2014,Bulgaria,116
2014,Croatia,128.4
2014,Cyprus,124.7
2014,"Czech,Republic",99.4
2014,Denmark,143.5
2014,Estonia,71.7
2014,Finland,139.2
2014,France,174.2
2014,Germany,56.9
2014,Hungary,86.6
2014,Iceland,101.7
2014,Ireland,155.6
2014,Italy,166.9
2014,Latvia,81.6
2014,Lithuania,102.5
2014,Luxembourg,130.2
2014,Netherlands,49.9
2014,Norway,140.1
2014,Poland,110.7
2014,Portugal,116.1
2014,Romania,181.7
2014,Slovakia,140.2
2014,Slovenia,105.5
2014,Spain,112.6
2014,Sweden,119.8
2014,EU,123.7
2016,Austria,69.2
2016,Belgium,153.6
2016,Bulgaria,109.1
2016,Croatia,123.8
2016,Cyprus,147.1
2016,Denmark,140.9
2016,Estonia,75.5
2016,Finland,130
2016,France,181.3
2016,Germany,64.5
2016,Greece,210.9
2016,Hungary,83.1
2016,Iceland,108.3
2016,Ireland,160.9
2016,Italy,163.7
2016,Latvia,84.1
2016,Lithuania,104.7
2016,Luxembourg,139.1
2016,Netherlands,54.2
2016,Norway,139.4
2016,Poland,122
2016,Portugal,135.9
2016,Romania,213.7
2016,Slovakia,149.2
2016,Slovenia,97
2016,Spain,171.6
2016,Sweden,116.8
2016,EU,133.2
2018,Austria,67.1
2018,Belgium,145.8
2018,Bulgaria,118.6
2018,Croatia,123.7
2018,Cyprus,151
2018,Denmark,134.1
2018,Estonia,76.3
2018,Finland,121.1
2018,France,179.3
2018,Germany,65.3
2018,Greece,202.5
2018,Hungary,85.3
2018,Iceland,129.7
2018,Ireland,158.9
2018,Italy,149.9
2018,Latvia,83.8
2018,Lithuania,134.4
2018,Luxembourg,177.1
2018,Malta,124.3
2018,Netherlands,54.3
2018,Norway,134.1
2018,Poland,141.2
2018,Portugal,138.3
2018,Romania,227.9
2018,Slovakia,118.1
2018,Slovenia,107.1
2018,Spain,187
2018,Sweden,112.1
2018,EU,133.3
2021,Austria,79.8
2021,Belgium,115.2
2021,Bulgaria,124.2
2021,Croatia,113.1
2021,Cyprus,139.9
2021,Czechia,142.8
2021,Denmark,123.5
2021,Estonia,65.7
2021,Finland,92.6
2021,France,160.1
2021,Germany,39.5
2021,Greece,148.4
2021,Hungary,65.1
2021,Iceland,101.9
2021,Ireland,126.1
2021,Italy,129.4
2021,Latvia,68.8
2021,Lithuania,94.2
2021,Luxembourg,99.4
2021,Malta,113.2
2021,Netherlands,44.3
2021,Norway,130.3
2021,Poland,104.7
2021,Portugal,101.8
2021,Romania,155.8
2021,Slovakia,85.5
2021,Slovenia,82.4
2021,Spain,146.5
2021,Sweden,90.1
2021,EU,125
