Pathogen,Antimicrobial,Year,Sample_size,Percent_resistant,Surveillance,Host,Region
Escherichia coli,Aminopenicillins,2001,220,52.72727272,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2002,1167,47.04370179,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2003,1309,49.73262032,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2004,1585,50.41009463,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2005,1579,52.69157694,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2006,1618,54.2645241,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2007,1446,57.1230982,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2008,1425,55.15789473,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2009,1607,55.94275046,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2010,1957,56.92386305,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2011,3507,58.65412033,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2012,3898,56.25962031,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2013,4350,56.78160919,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2014,2876,58.90125173,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2015,2674,58.04038893,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2016,3736,58.00321199,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2017,4669,57.46412508,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2018,4445,55.79302587,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2019,3601,56.45653985,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2020,4009,56.49787977,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2021,4389,55.20619731,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2022,4205,56.57550535,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2023,4648,55.65834767,EARS,human_Blood_CSF,Belgium
Escherichia coli,Aminopenicillins,2024,5300,57.33962264,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2001,191,8.90052356,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2002,952,13.23529411,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2003,1219,11.56685808,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2004,1333,15.37884471,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2005,1461,16.83778234,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2006,1554,19.36936936,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2007,1393,19.16726489,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2008,1324,16.8429003,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2009,1504,19.94680851,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2010,1782,21.54882154,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2011,3549,21.52719075,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2012,3515,22.16216216,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2013,4113,22.95161682,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2014,2599,26.70257791,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2015,2565,26.58869395,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2016,3854,24.54592631,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2017,4382,23.80191693,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2018,4211,21.80004749,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2019,3925,19.05732484,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2020,4320,18.0787037,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2021,4721,18.53420885,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2022,4536,17.54850088,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2023,4957,18.23683679,EARS,human_Blood_CSF,Belgium
Escherichia coli,Fluoroquinolones,2024,5313,20.38396386,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2001,222,1.8018018,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2002,1181,2.79424216,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2003,1316,3.49544072,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2004,1587,2.64650283,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2005,1577,3.61445783,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2006,1615,2.91021671,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2007,1451,3.92832529,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2008,1409,4.18736692,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2009,1596,6.45363408,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2010,1952,5.17418032,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2011,3985,6.04767879,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2012,4097,6.88308518,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2013,4051,7.99802517,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2014,2802,9.74304068,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2015,2593,9.67990744,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2016,3737,10.48969761,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2017,4672,9.73886986,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2018,4644,9.02239448,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2019,3937,9.98221996,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2020,4320,9.88425925,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2021,4721,8.26096166,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2022,4500,8.75555555,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2023,4956,10.08878127,EARS,human_Blood_CSF,Belgium
Escherichia coli,Third-generation cephalosporins,2024,5311,11.91865938,EARS,human_Blood_CSF,Belgium
Acinetobacter spp.,Fluoroquinolones,2012,3213,66.4488017429194,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2013,4143,58.58073859522085,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2014,4265,59.460726846424386,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2015,5050,60.336633663366335,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2016,5619,52.269087026161245,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2017,6121,51.91962097696455,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2018,6507,53.31181804210849,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2019,5926,51.096861289233885,EARS,human_Blood_CSF,Europe
Acinetobacter spp.,Fluoroquinolones,2020,7396,63.22336398053001,EARS,human_Blood_CSF,Europe
