Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
Austria,108,0.9,0.0,3.7,28.7,0.9,0.0,0.0,0.0,14.8,18.5,0.0,0.0,14.8,11.1,20.4,56.5,13.9,0.9,0.0
Croatia,82,3.7,0.0,9.8,43.9,0.0,0.0,0.0,0.0,40.2,48.8,1.2,0.0,19.5,11.0,37.8,34.1,31.7,0.0,0.0
France,211,0.9,0.5,5.7,41.7,0.0,0.0,0.0,0.0,10.0,15.6,0.5,0.5,19.0,13.7,37.0,42.7,21.3,0.0,0.0
Germany,248,0.8,0.0,18.5,60.5,0.0,0.0,0.0,0.0,18.1,30.6,0.4,0.8,28.6,23.4,41.9,27.8,35.5,0.0,0.0
Hungary,182,1.1,0.0,6.6,41.2,0.0,0.0,0.0,0.5,30.8,43.4,0.5,0.0,23.6,13.7,37.9,31.9,26.9,0.0,0.0
Ireland,85,0.0,0.0,2.4,56.5,0.0,0.0,0.0,0.0,5.9,15.3,0.0,0.0,14.1,12.9,60.0,32.9,22.4,0.0,0.0
Italy,170,2.4,0.0,11.2,69.4,2.9,2.9,0.0,0.0,24.1,35.3,0.0,0.0,48.8,42.9,56.5,21.8,57.1,1.8,0.6
Poland,187,10.2,0.0,31.6,84.0,3.2,1.1,0.0,5.3,54.5,73.3,2.1,25.7,42.2,38.0,79.7,7.0,74.9,2.7,0.5
Portugal,96,9.4,0.0,28.1,74.0,2.1,2.1,0.0,1.0,43.8,51.0,4.2,3.1,42.7,34.4,66.7,15.6,62.5,2.1,1.0
Romania,85,15.3,0.0,72.9,90.6,1.2,1.2,0.0,5.9,51.8,74.1,4.7,0.0,65.9,41.2,77.6,5.9,83.5,0.0,0.0
Spain,170,1.8,0.0,10.0,64.7,1.2,1.2,0.0,0.0,21.8,43.5,0.6,0.0,22.4,25.9,49.4,22.9,42.9,0.6,0.0
Sweden,29,3.4,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4,0.0,89.7,0.0,0.0,0.0
Total (12 MSs),1653,3.6,0.1,16.2,58.2,1.0,0.7,0.0,1.0,26.7,39.0,1.0,3.3,30.0,24.3,49.2,28.4,41.3,0.7,0.2
Median (MSs),139,2.1,0.0,9.9,58.5,0.5,0.0,0.0,0.0,22.9,39.4,0.5,0.0,23.0,18.6,45.7,29.8,33.6,0.0,0.0
