Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
France,63,0.0,1.6,6.3,36.5,1.6,1.6,0.0,0.0,3.2,11.1,1.6,0.0,27.0,23.8,39.7,46.0,30.2,0.0,0.0
Ireland,103,1.9,0.0,9.7,19.4,1.0,1.0,0.0,0.0,2.9,3.9,1.0,0.0,24.3,21.4,33.0,59.2,23.3,0.0,0.0
Netherlands,92,2.2,1.1,8.7,23.9,2.2,2.2,0.0,6.5,9.8,15.2,1.1,0.0,17.4,15.2,20.7,52.2,18.5,2.2,1.1
Romania,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Sweden,1,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0
United Kingdom (Northern Ireland),37,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,16.2,5.4,24.3,73.0,5.4,0.0,0.0
Total (5 MSs + XI),298,1.3,0.7,7.7,22.8,1.3,1.3,0.0,2.0,5.0,9.1,1.0,0.0,21.5,17.8,29.5,55.7,20.8,0.7,0.3
Median (MSs + XI),50,0.0,0.0,7.5,13.8,0.5,0.5,0.0,0.0,3.0,7.5,0.5,0.0,16.8,10.3,28.7,51.1,11.9,0.0,0.0
Montenegro,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Total (1 non-MSs),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
"Total (5 MSs, XI, and 1 non-MSs)",300,1.3,0.7,7.7,22.7,1.3,1.3,0.0,2.0,5.3,9.3,1.0,0.0,21.3,17.7,29.3,55.7,20.7,0.7,0.3
"Median (MSs, XI, and non-MSs)",37,0.0,0.0,6.3,8.1,0.0,0.0,0.0,0.0,3.2,11.1,0.0,0.0,16.2,5.4,24.3,50.0,5.4,0.0,0.0
