Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
Belgium,4,25.0,0.0,0.0,50.0,25.0,25.0,0.0,0.0,75.0,75.0,0.0,0.0,25.0,25.0,25.0,0.0,50.0,0.0,0.0
Croatia,5,0.0,0.0,20.0,100,0.0,0.0,0.0,0.0,100,100,0.0,0.0,40.0,40.0,80.0,0.0,100,0.0,0.0
France,63,12.7,0.0,4.8,38.1,1.6,1.6,0.0,0.0,11.1,12.7,0.0,0.0,33.3,19.0,22.2,46.0,30.2,1.6,0.0
Germany,3,33.3,0.0,33.3,66.7,66.7,66.7,0.0,0.0,100,100,0.0,0.0,66.7,66.7,66.7,0.0,66.7,66.7,0.0
Ireland,21,0.0,0.0,0.0,42.9,4.8,4.8,0.0,0.0,19.0,23.8,0.0,0.0,9.5,9.5,38.1,28.6,14.3,4.8,0.0
Italy,3,0.0,0.0,66.7,66.7,33.3,0.0,0.0,0.0,33.3,33.3,0.0,0.0,33.3,33.3,66.7,33.3,66.7,33.3,33.3
Netherlands,116,15.5,1.7,12.9,44.8,15.5,14.7,0.0,3.4,33.6,34.5,0.0,0.0,40.5,27.6,37.1,22.4,41.4,11.2,6.0
Poland,34,17.6,0.0,8.8,58.8,5.9,8.8,0.0,0.0,64.7,73.5,2.9,5.9,38.2,26.5,44.1,14.7,55.9,2.9,2.9
Portugal,10,10.0,0.0,20.0,20.0,10.0,10.0,0.0,0.0,80.0,80.0,0.0,0.0,20.0,20.0,20.0,10.0,20.0,0.0,0.0
Romania,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,87.5,0.0,0.0,12.5,0.0,12.5,12.5,12.5,0.0,0.0
Slovakia,4,25.0,0.0,0.0,100,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,75.0,0.0,50.0,0.0,0.0
Spain,53,15.1,0.0,11.3,47.2,22.6,22.6,0.0,0.0,35.8,37.7,3.8,0.0,32.1,20.8,30.2,34.0,37.7,17.0,11.3
United Kingdom (Northern Ireland),54,1.9,0.0,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,22.2,18.5,48.1,20.4,0.0,0.0
Total (13 MSs),378,11.9,0.5,8.7,43.9,10.3,10.1,0.0,1.1,31.7,33.6,0.8,0.5,33.6,23.3,32.0,29.9,36.0,7.4,4.0
Median (MSs),10,10.0,0.0,10.0,50.0,10.0,10.0,0.0,0.0,50.0,50.0,0.0,0.0,20.0,20.0,40.0,10.0,30.0,10.0,0.0
