Country,NP1,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,199,3,1,0.5025125628140703,1,0.5025125628140703,1,0.5025125628140703,0,0,0,0,0,0,0,0
Belgium,170,4,3,1.764705882352941,2,1.176470588235294,0,0,0,0,0,0,1,0.5882352941176471,0,0
Bulgaria,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croatia,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyprus,120,16,16,13.33333333333333,13,10.83333333333333,4,3.333333333333333,0,0,1,0.8333333333333334,2,1.666666666666667,0,0
Czechia,178,1,1,0.5617977528089888,0,0,0,0,0,0,1,0.5617977528089888,0,0,0,0
Denmark,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,152,4,3,1.973684210526316,3,1.973684210526316,0,0,0,0,0,0,0,0,1,0.6578947368421052
Finland,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
France,220,1,1,0.4545454545454545,1,0.4545454545454545,0,0,0,0,0,0,0,0,0,0
Germany*,245,3,3,1.224489795918367,3,1.224489795918367, -,-, -,-,0,0,0,0,0,0
Greece,170,2,2,1.176470588235294,2,1.176470588235294,1,0.5882352941176471,0,0,0,0,0,0,0,0
Hungary,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italy,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Latvia,150,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0
Lithuania,100,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0
Luxembourg,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,170,6,6,3.529411764705882,5,2.941176470588235,0,0,0,0,1,0.5882352941176471,0,0,0,0
Netherlands*,301,2,2,0.6644518272425249,2,0.6644518272425249, -,-, -,-,0,0,0,0,0,0
Poland,175,5,4,2.285714285714286,2,1.142857142857143,0,0,0,0,2,1.142857142857143,0,0,0,0
Portugal,174,2,2,1.149425287356322,1,0.5747126436781609,0,0,0,0,0,0,1,0.5747126436781609,0,0
Romania,170,18,18,10.58823529411765,12,7.058823529411764,0,0,0,0,6,3.529411764705882,0,0,0,0
Slovakia,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slovenia,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spain,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sweden,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
United Kingdom ( Northern Ireland),170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total MSs (28 MSs),4451,74,67,1.505279712424174,51,1.14580993035273,6,0.1348011682767917,0,0,12,0.2696023365535835,4,0.08986744551786115,1,0.02246686137946529
Iceland,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Republic of North Macedonia,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total (4 non-MS),620,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
Total (32 MSs and non-MS),5071,74,67,1.321238414513903,51,1.005718793137448,6,0.1183198580161704,0,0,12,0.2366397160323407,4,0.0788799053441136,1,0.0197199763360284


,,"Countries with no data reported in panel 2 because no isolates resistant to CTX, CAZ and/or MER were detected in panel 1."
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes."
