Country,NP1,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,181,2,2,1.104972375690608,1,0.5524861878453038,0,0,0,0,1,0.5524861878453038,0,0,0,0
Belgium,171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croatia,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denmark,168,1,1,0.5952380952380952,0,0,0,0,0,0,1,0.5952380952380952,0,0,0,0
France,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany*,188,5,3,1.595744680851064,3,1.595744680851064, -,-, -,-,0,0,0,0,0,0
Italy*,170,18,18,10.58823529411765,11,6.470588235294119, -,-, -,-,7,4.117647058823529,0,0,0,0
Netherlands*,299,1,1,0.3344481605351171,1,0.3344481605351171, -,-, -,-,0,0,0,0,0,0
Portugal,171,6,6,3.508771929824561,6,3.508771929824561,2,1.169590643274854,0,0,0,0,0,0,0,0
Romania,170,1,1,0.5882352941176471,0,0,0,0,0,0,0,0,1,0.5882352941176471,0,0
Spain,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total (11 MSs),1964,35,32,1.629327902240326,22,1.120162932790224,2,0.1018329938900204,0,0,9,0.4582484725050917,1,0.05091649694501018,0,0
Republic of North Macedonia,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland,197,6,6,3.045685279187818,2,1.015228426395939,1,0.5076142131979695,0,0,1,0.5076142131979695,3,1.522842639593909,0,0
Total (2 non-MSs),197,6,6,3.045685279187818,2,1.015228426395939,1,0.5076142131979695,0,0,1,0.5076142131979695,3,1.522842639593909,0,0
Total (13 MSs and non-MS),2161,41,38,1.758445164275798,24,1.110596945858399,3,0.1388246182322999,0,0,10,0.4627487274409995,4,0.1850994909763998,0,0

,,"Countries with no data reported in panel 2 because no isolates resistant to CTX, CAZ and/or MER were detected in panel 1."
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes."
