Country,NP1,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,172,4,3,1.744186046511628,3,1.744186046511628,0,0,0,0,0,0,0,0,0,0
Belgium,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgaria,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croatia,84,2,2,2.380952380952381,1,1.19047619047619,0,0,0,0,1,1.19047619047619,0,0,0,0
Cyprus,32,4,4,12.5,4,12.5,1,3.125,0,0,0,0,0,0,0,0
Czechia,180,7,7,3.888888888888889,4,2.222222222222222,1,0.5555555555555556,0,0,3,1.666666666666667,0,0,0,0
Denmark,172,2,1,0.5813953488372093,0,0,0,0,0,0,1,0.5813953488372093,0,0,0,0
Estonia,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Germany*,195,2,2,1.025641025641026,1,0.5128205128205128, -,-, -,-,1,0.5128205128205128,0,0,0,0
Greece,68,1,1,1.470588235294118,1,1.470588235294118,0,0,0,0,0,0,0,0,0,0
Hungary,170,2,1,0.5882352941176471,0,0,0,0,0,0,1,0.5882352941176471,0,0,0,0
Ireland,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy*,170,4,4,2.352941176470588,2,1.176470588235294, -,-, -,-,2,1.176470588235294,0,0,0,0
Latvia,150,5,5,3.333333333333333,5,3.333333333333333,1,0.6666666666666667,0,0,0,0,0,0,0,0
Lithuania,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malta,208,1,1,0.4807692307692308,1,0.4807692307692308,0,0,0,0,0,0,0,0,0,0
Netherlands,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Poland,221,3,2,0.904977375565611,2,0.904977375565611,1,0.4524886877828055,0,0,0,0,0,0,0,0
Portugal,182,5,4,2.197802197802198,4,2.197802197802198,2,1.098901098901099,0,0,0,0,0,0,0,0
Romania,169,10,9,5.325443786982249,7,4.142011834319527,0,0,0,0,2,1.183431952662722,0,0,0,0
Slovakia,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slovenia,85,3,3,3.529411764705882,2,2.352941176470588,1,1.176470588235294,0,0,1,1.176470588235294,0,0,0,0
Spain,170,1,1,0.5882352941176471,1,0.5882352941176471,1,0.5882352941176471,0,0,0,0,0,0,0,0
Sweden,174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
United Kingdom ( Northern Ireland),170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total (28 MSs),4368,59,50,1.144688644688645,38,0.86996336996337,8,0.1831501831501831,0,0,12,0.2747252747252747,0,0,0,0
Iceland,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,41,1,1,2.439024390243902,1,2.439024390243902,0,0,0,0,0,0,0,0,0,0
Norway*,330,1,1,0.303030303030303,0,0, -, -, -, -,1,0.303030303030303,0,0,0,0
Republic of North Macedonia,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland,201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total (5 non-MSs),683,2,2,0.2928257686676428,1,0.1464128843338214,0,0,0,0,1,0.1464128843338214,0,0,0,0
Total (33 MSs and non-MSs),5051,61,52,1.029499109087309,39,0.7721243318154821,8,0.1583844783211245,0,0,13,0.2573747772718273,0,0,0,0

,,"Countries with no data reported in panel 2 because no isolates resistant to CTX, CAZ and/or MER were detected in panel 1."
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes."
