Country,NP1,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
France,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Germany,248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hungary,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italy*,170,6,6,3.529411764705882,6,3.529411764705882, -,-, -,-,0,0,0,0,0,0
Poland,187,6,2,1.06951871657754,1,0.53475935828877,0,0,0,0,1,0.53475935828877,0,0,0,0
Portugal,96,2,2,2.083333333333333,2,2.083333333333333,0,0,0,0,0,0,0,0,0,0
Romania,85,1,1,1.176470588235294,1,1.176470588235294,0,0,0,0,0,0,0,0,0,0
Spain,170,2,2,1.176470588235294,2,1.176470588235294,0,0,0,0,0,0,0,0,0,0
Sweden,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total (12 MSs),1653,18,13,0.7864488808227466,12,0.7259528130671506,0,0,0,0,1,0.06049606775559589,0,0,0,0
Total (12 MSs and non-MS),1653,18,13,0.7864488808227466,12,0.7259528130671506,0,0,0,0,1,0.06049606775559589,0,0,0,0

,,"Countries with no data reported in panel 2 because no isolates resistant to CTX, CAZ and/or MER were detected in panel 1."
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes."
