Country,NP2 ,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,64,64,100,49,76.5625, -, -, -, -,15,23.4375,0,0,0,0, -, -
Belgium*,103,101,98.05825242718447,99,96.11650485436894, -, -, -, -,2,1.941747572815534,0,0,0,0, -, -
Bulgaria,70,70,100,55,78.57142857142857,5,7.142857142857142,0,0,14,20,1,1.428571428571429,0,0,0,0
Croatia,22,22,100,16,72.72727272727273,7,31.81818181818182,0,0,6,27.27272727272727,0,0,0,0,0,0
Cyprus,37,37,100,35,94.5945945945946,9,24.32432432432433,0,0,1,2.702702702702703,1,2.702702702702703,0,0,0,0
Czechia*,84,84,100,60,71.42857142857143, -, -, -, -,24,28.57142857142857,0,0,0,0,, -
Denmark,19,19,100,9,47.36842105263158,4,21.05263157894737,0,0,5,26.31578947368421,5,26.31578947368421,0,0,0,0
Estonia,80,80,100,60,75,10,12.5,1,1.25,19,23.75,1,1.25,0,0,0,0
Finland*,1,1,100,1,100, -, -, -, -,0,0,0,0,0,0,, -
France,50,45,90,40,80,5,10,0,0,5,10,0,0,0,0,5,10
Germany*,140,140,100,134,95.71428571428572, -, -, -, -,6,4.285714285714286,0,0,0,0,, -
Greece,49,49,100,45,91.83673469387756,9,18.36734693877551,0,0,4,8.16326530612245,0,0,0,0,0,0
Hungary,203,197,97.04433497536947,159,78.32512315270937,75,36.94581280788177,13,6.403940886699508,34,16.7487684729064,4,1.970443349753695,0,0,2,0.9852216748768473
Ireland,52,51,98.07692307692307,51,98.07692307692307,3,5.769230769230769,1,1.923076923076923,0,0,0,0,0,0,0,0
Italy*,93,93,100,59,63.44086021505376, -, -, -, -,34,36.55913978494624,0,0,0,0,, -
Latvia,59,59,100,49,83.05084745762711,16,27.11864406779661,1,1.694915254237288,10,16.94915254237288,0,0,0,0,0,0
Lithuania,102,102,100,90,88.23529411764706,26,25.49019607843137,0,0,7,6.862745098039216,5,4.901960784313726,0,0,0,0
Luxembourg,30,29,96.66666666666667,28,93.33333333333333,0,0,3,10,1,3.333333333333333,0,0,0,0,0,0
Malta,32,32,100,22,68.75,7,21.875,2,6.25,7,21.875,3,9.375,0,0,0,0
Netherlands*,90,76,84.44444444444444,76,84.44444444444444,-,-,-,-,1,1.111111111111111,1,1.111111111111111,0,0,,-
Poland,77,77,100,47,61.03896103896103,11,14.28571428571428,1,1.298701298701299,23,29.87012987012987,7,9.090909090909092,0,0,0,0
Portugal,136,135,99.26470588235294,100,73.52941176470588,8,5.88235294117647,1,0.7352941176470588,23,16.91176470588236,12,8.823529411764707,0,0,0,0
Romania,137,137,100,89,64.96350364963503,17,12.40875912408759,0,0,41,29.92700729927008,7,5.109489051094891,0,0,0,0
Slovakia,72,71,98.61111111111111,44,61.11111111111111,27,37.5,0,0,27,37.5,0,0,0,0,1,1.388888888888889
Slovenia,40,40,100,22,55.00000000000001,4,10,2,5,18,45,0,0,0,0,0,0
Spain,149,149,100,112,75.16778523489933,6,4.026845637583892,1,0.6711409395973155,25,16.77852348993289,12,8.053691275167784,0,0,0,0
Sweden*,11,11,100,7,63.63636363636363, -, -, -, -,4,36.36363636363637,0,0,0,0,-, -
United Kingdom (Northern Ireland)*,25,25,100,13,52, -, -, -, -,12,48,0,0,0,0, -, -
Total (28 MSs ),2027,1996,98.47064627528367,1571,77.50370004933399,249,12.28416378885052,26,1.282683769116922,368,18.15490873211643,59,2.910705476073014,0,0,8,0.3946719289590528
Norway*,1,1,100,0,0, -, -, -, -,1,100,0,0,0,0, -, -
Switzerland,79,75,94.9367088607595,65,82.27848101265823,3,3.79746835443038,7,8.860759493670885,9,11.39240506329114,1,1.265822784810127,0,0,4,5.063291139240507
Total (2 non-MSs),80,76,95,65,81.25,3,3.75,7,8.75,10,12.5,1,1.25,0,0,4,5
Total (30 MSs and non-MSs),2107,2072,98.33887043189368,1636,77.64594209776934,252,11.96013289036545,33,1.566207878500237,378,17.94019933554817,60,2.84765068818225,0,0,12,0.5695301376364499

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
