Country,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,50,49,98,34,68, -, -, -, -,15,30,0,0,1,2, -, -
Belgium*,179,178,99.4413407821229,173,96.64804469273743, -, -, -, -,5,2.793296089385475,0,0,0,0, -, -
Bulgaria,208,207,99.51923076923077,153,73.5576923076923,39,18.75,6,2.884615384615385,31,14.90384615384615,23,11.05769230769231,0,0,0,0
Croatia,117,116,99.14529914529915,107,91.45299145299145,19,16.23931623931624,0,0,9,7.692307692307693,0,0,0,0,1,0.8547008547008548
Cyprus,70,70,100,67,95.71428571428572,19,27.14285714285714,0,0,1,1.428571428571429,2,2.857142857142857,0,0,0,0
Czechia*,127,127,100,63,49.60629921259843, -, -, -, -,65,51.18110236220473,1,0.7874015748031495,0,0, -, -
Denmark,19,19,100,17,89.47368421052632,7,36.84210526315789,0,0,0,0,2,10.52631578947368,0,0,0,0
Estonia,114,114,100,89,78.0701754385965,2,1.754385964912281,0,0,21,18.42105263157895,4,3.508771929824561,0,0,0,0
Finland*,3,3,100,3,100, -, -, -, -,0,0,0,0,0,0, -, -
France,38,37,97.36842105263158,33,86.8421052631579,3,7.894736842105263,3,7.894736842105263,3,7.894736842105263,1,2.631578947368421,0,0,1,2.631578947368421
Germany*,135,135,100,130,96.29629629629629, -, -, -, -,5,3.703703703703703,0,0,0,0, -, -
Greece,102,102,100,93,91.17647058823529,15,14.70588235294118,0,0,5,4.901960784313726,4,3.92156862745098,0,0,0,0
Hungary ,274,268,97.8102189781022,230,83.94160583941606,94,34.307,10,3.65,28,10.21897810218978,10,3.64963503649635,0,0,2,0.7299270072992701
Ireland,51,41,80.3921568627451,32,62.74509803921568,7,13.72549019607843,1,1.96078431372549,9,17.64705882352941,0,0,0,0,3,5.88235294117647
Italy*,183,183,100,121,66.12021857923497, -, -, -, -,62,33.87978142076503,0,0,0,0, -, -
Latvia,34,34,100,24,70.58823529411765,11,32.35294117647059,0,0,10,29.41176470588236,0,0,0,0,0,0
Lithuania,123,120,97.5609756097561,102,82.92682926829268,32,26.01626016260163,0,0,12,9.75609756097561,6,4.878048780487805,0,0,3,2.439024390243902
Luxembourg,3,3,100,1,33.33333333333333,0,0,0,0,2,66.66666666666666,0,0,0,0,0,0
Malta,145,145,100,131,90.3448275862069,24,16.55172413793104,8,5.517241379310345,7,4.827586206896552,7,4.827586206896552,0,0,0,0
Netherlands*,44,44,100,44,100, -, -, -, -,0,0,0,0,0,0, -, -
Poland,97,96,98.96907216494846,71,73.19587628865979,5,5.154639175257731,4,4.123711340206185,20,20.61855670103093,5,5.154639175257731,0,0,0,0
Portugal,216,216,100,175,81.01851851851852,13,6.018518518518518,1,0.4629629629629629,34,15.74074074074074,7,3.24074074074074,0,0,0,0
Romania,285,284,99.64912280701755,195,68.42105263157895,42,14.73684210526316,0,0,75,26.31578947368421,14,4.912280701754386,0,0,0,0
Slovakia,92,90,97.82608695652173,63,68.47826086956522,44,47.82608695652174,1,1.08695652173913,27,29.34782608695652,0,0,0,0,2,2.173913043478261
Slovenia,53,50,94.33962264150944,23,43.39622641509434,14,26.41509433962264,1,1.886792452830189,27,50.9433962264151,0,0,0,0,2,3.773584905660377
Spain,243,241,99.1769547325103,187,76.95473251028807,16,6.584362139917696,2,0.823045267489712,42,17.28395061728395,12,4.938271604938271,0,0,0,0
Sweden*,9,9,100,9,100, -, -, -, -,0,0,0,0,0,0, -, -
United Kingdom (Northern Ireland),13,12,92.3076923076923,9,69.23076923076923,0,0,1,7.692307692307693,3,23.07692307692308,0,0,0,0,0,0
Total (28 MSs ),3027,2993,98.8767756854972,2379,78.59266600594648,406,13.41261975553353,38,1.255368351503138,518,17.11265279154278,98,3.237528906508094,1,0.03303600925008258,14,0.4625041295011563
Norway*,9,9,100,0,0, -, -, -, -,9,100,0,0,0,0, -, -
Switzerland,14,14,100,13,92.85714285714286,1,7.142857142857142,1,7.142857142857142,1,7.142857142857142,0,0,0,0,0,0
Total (2 non-MSs),23,23,100,13,56.52173913043478,1,4.347826086956522,1,4.347826086956522,10,43.47826086956522,0,0,0,0,0,0
Total (30 MSs and non-MSs),3050,3016,98.88524590163934,2392,78.42622950819673,407,13.34426229508197,39,1.278688524590164,528,17.31147540983607,98,3.21311475409836,1,0.03278688524590164,14,0.459016393442623

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
