Country,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,77,77,100,66,85.71428571428571, -, -, -, -,11,14.28571428571428,0,0,0,0, -, -
Belgium*,198,194,97.97979797979798,179,90.40404040404042, -, -, -, -,15,7.575757575757576,0,0,0,0, -, -
Croatia,85,84,98.82352941176471,74,87.05882352941177,5,5.88235294117647,0,0,9,10.58823529411765,1,1.176470588235294,0,0,1,1.176470588235294
Denmark,13,13,100,2,15.38461538461539,0,0,0,0,11,84.61538461538461,0,0,0,0,0,0
France,44,41,93.18181818181817,23,52.27272727272727,3,6.818181818181817,0,0,18,40.90909090909091,0,0,0,0,2,4.545454545454546
Germany*,223,222,99.55156950672645,219,98.20627802690582, -, -, -, -,3,1.345291479820628,0,0,1,0.4484304932735426, -, -
Italy*,268,267,99.6268656716418,255,95.1492537313433, -, -, -, -,12,4.477611940298507,0,0,1,0.3731343283582089, -, -
Netherlands*,105,98,93.33333333333333,92,87.61904761904762, -, -, -, -,6,5.714285714285714,0,0,0,0, -, -
Portugal,173,172,99.42196531791907,154,89.01734104046243,20,11.5606936416185,0,0,10,5.780346820809249,8,4.624277456647398,1,0.5780346820809248,0,0
Romania,68,68,100,60,88.23529411764706,11,16.17647058823529,2,2.941176470588235,4,5.88235294117647,4,5.88235294117647,0,0,0,0
Spain,173,173,100,136,78.61271676300578,76,43.93063583815029,1,0.5780346820809248,25,14.45086705202312,12,6.936416184971097,0,0,0,0
Total (11 MSs),1427,1409,98.73861247372109,1260,88.29712683952347,115,8.05886475122635,3,0.2102312543798178,124,8.689558514365803,25,1.751927119831815,3,0.2102312543798178,3,0.2102312543798178
Switzerland,100,97,97,49,49,6,6,0,0,42,42,6,6,0,0,1,1
Total (1 non-MSs),100,97,97,49,49,6,6,0,0,42,42,6,6,0,0,0,0
Total (12 MSs and non-MSs),1527,1506,98.62475442043221,1309,85.72364112639161,121,7.924034053700066,3,0.1964636542239686,166,10.87098886705959,31,2.030124426981008,3,0.1964636542239686,4,0.2619515389652914

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
