Country,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,15,15,100,14,93.33333333333333, -, -, -, -,1,6.666666666666667,0,0,0,0, -, -
Belgium*,6,6,100,4,66.66666666666666, -, -, -, -,2,33.33333333333333,0,0,0,0, -, -
Bulgaria,12,12,100,10,83.33333333333334,7,58.33333333333334,0,0,0,0,2,16.66666666666666,0,0,0,0
Croatia,6,6,100,6,100,0,0,0,0,0,0,0,0,0,0,0,0
Czechia*,26,26,100,17,65.38461538461539, -, -, -, -,9,34.61538461538461,0,0,0,0, -, -
Denmark,14,14,100,9,64.28571428571429,0,0,0,0,4,28.57142857142857,1,7.142857142857142,0,0,0,0
Estonia,10,10,100,8,80,4,40,0,0,2,20,0,0,0,0,0,0
France,2,2,100,1,50,0,0,0,0,1,50,0,0,0,0,0,0
Germany*,12,12,100,11,91.66666666666666, -, -, -, -,1,8.333333333333332,0,0,0,0, -, -
Greece,1,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,26,26,100,23,88.46153846153845,6,23.07692307692308,0,0,3,11.53846153846154,0,0,0,0,0,0
Ireland,12,12,100,3,25,1,8.333333333333332,1,8.333333333333332,9,75,0,0,0,0,0,0
Italy*,19,19,100,16,84.21052631578947, -, -, -, -,3,15.78947368421053,0,0,0,0, -, -
Latvia,19,19,100,16,84.21052631578947,5,26.31578947368421,0,0,3,15.78947368421053,0,0,0,0,0,0
Lithuania,6,6,100,6,100,1,16.66666666666666,0,0,0,0,0,0,0,0,0,0
Luxembourg,5,5,100,3,60,0,0,0,0,2,40,0,0,0,0,0,0
Malta,4,4,100,4,100,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands*,1,1,100,1,100, -, -, -, -,0,0,0,0,0,0, -, -
Poland,18,18,100,12,66.66666666666666,3,16.66666666666666,0,0,5,27.77777777777778,1,5.555555555555555,0,0,0,0
Portugal,39,39,100,32,82.05128205128204,8,20.51282051282051,0,0,2,5.128205128205128,5,12.82051282051282,0,0,0,0
Romania,21,21,100,17,80.95238095238095,4,19.04761904761905,0,0,4,19.04761904761905,0,0,0,0,0,0
Slovakia,32,32,100,24,75,12,37.5,0,0,8,25,0,0,0,0,0,0
Slovenia,23,23,100,8,34.78260869565217,4,17.39130434782609,0,0,15,65.21739130434783,0,0,0,0,0,0
Spain,19,19,100,14,73.68421052631578,6,31.57894736842105,0,0,3,15.78947368421053,2,10.52631578947368,0,0,0,0
United Kingdom (Northern Ireland)*,3,3,100,3,100, -, -, -, -,0,0,0,0,0,0, -, -
Total (24 MSs + XI),351,351,100,263,74.92877492877493,61,17.37891737891738,1,0.2849002849002849,77,21.93732193732194,11,3.133903133903134,0,0,0,0
Norway*,4,4,100,0,0, -, -, -, -,4,100,0,0,0,0, -, -
Switzerland,3,3,100,0,0,0,0,0,0,3,100,0,0,0,0,0,0
Total (2 non-MSs),7,7,100,0,0,0,0,0,0,7,100,0,0,0,0,0,0
Total (26 MSs and non-MSs),358,358,100,263,73.46368715083798,61,17.0391061452514,1,0.2793296089385475,84,23.46368715083799,11,3.072625698324022,0,0,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
