Country,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*  ,63,63,100,51,80.95238095238095, -, -, -, -,12,19.04761904761905,0,0,0,0, -, -
Belgium*  ,28,28,100,23,82.14285714285714, -, -, -, -,5,17.85714285714286,0,0,0,0, -, -
Bulgaria  ,23,22,95.65217391304348,21,91.30434782608695,12,52.17391304347826,0,0,1,4.347826086956522,0,0,0,0,0,0
Croatia  ,15,15,100,15,100,5,33.33333333333333,0,0,0,0,0,0,0,0,0,0
Czechia*  ,21,21,100,21,100, -, -, -, -,0,0,0,0,0,0,, -
Denmark  ,48,48,100,37,77.08333333333334,3,6.25,0,0,6,12.5,5,10.41666666666667,0,0,0,0
Estonia  ,43,43,100,36,83.72093023255815,9,20.93023255813954,0,0,3,6.976744186046512,4,9.30232558139535,0,0,0,0
France  ,25,24,96,21,84,2,8,3,12,3,12,0,0,0,0,1,4
Germany*  ,98,98,100,84,85.71428571428571, -, -, -, -,14,14.28571428571428,0,0,0,0,, -
Greece  ,17,17,100,15,88.23529411764706,3,17.64705882352941,0,0,1,5.88235294117647,1,5.88235294117647,0,0,0,0
Hungary  ,39,38,97.43589743589743,34,87.17948717948718,9,23.07692307692308,1,2.564102564102564,4,10.25641025641026,0,0,0,0,1,2.564102564102564
Ireland  ,28,28,100,25,89.28571428571429,8,28.57142857142857,1,3.571428571428571,3,10.71428571428571,0,0,0,0,0,0
Italy*  ,69,69,100,65,94.20289855072464, -, -, -, -,4,5.797101449275362,0,0,0,0,, -
Latvia  ,35,35,100,32,91.42857142857143,9,25.71428571428571,0,0,3,8.571428571428571,0,0,0,0,0,0
Lithuania  ,30,30,100,22,73.33333333333333,5,16.66666666666666,1,3.333333333333333,2,6.666666666666667,6,20,0,0,0,0
Luxembourg  ,5,5,100,4,80,0,0,0,0,1,20,0,0,0,0,0,0
Malta  ,19,17,89.47368421052632,17,89.47368421052632,1,5.263157894736842,0,0,0,0,0,0,0,0,2,10.52631578947368
Netherlands*,3,3,100,3,100,-,-,-,-,0,0,0,0,0,0,,-
Poland  ,61,61,100,55,90.1639344262295,5,8.19672131147541,1,1.639344262295082,5,8.19672131147541,1,1.639344262295082,0,0,0,0
Portugal  ,113,113,100,99,87.61061946902655,9,7.964601769911504,1,0.8849557522123894,7,6.194690265486726,7,6.194690265486726,0,0,0,0
Romania  ,38,38,100,34,89.47368421052632,1,2.631578947368421,0,0,3,7.894736842105263,1,2.631578947368421,0,0,0,0
Slovakia  ,58,58,100,44,75.86206896551724,16,27.58620689655172,1,1.724137931034483,14,24.13793103448276,0,0,0,0,0,0
Slovenia  ,59,59,100,53,89.83050847457628,7,11.86440677966102,1,1.694915254237288,4,6.779661016949152,2,3.389830508474576,0,0,0,0
Spain  ,76,76,100,72,94.73684210526315,2,2.631578947368421,1,1.31578947368421,1,1.31578947368421,3,3.947368421052631,0,0,0,0
United Kingdom (Northern Ireland)*,48,48,100,35,72.91666666666666,0,0,0,0,13,27.08333333333333,0,0,0,0,0,0
Total (25 MSs),1062,1057,99.5291902071563,918,86.4406779661017,106,9.981167608286253,11,1.035781544256121,109,10.26365348399247,30,2.824858757062147,0,0,4,0.3766478342749529
Norway*,1,1,100,0,0, -, -, -, -,1,100,0,0,0,0, -, -
Switzerland,64,64,100,43,67.1875,7,10.9375,0,0,16,25,5,7.8125,0,0,0,0
Total (2 non-MSs),65,65,100,43,66.15384615384615,7,10.76923076923077,0,0,17,26.15384615384616,5,7.692307692307693,0,0,0,0
Total MSs and non-MSs (27 MSs),1127,1122,99.55634427684117,961,85.2706299911269,113,10.02661934338953,11,0.9760425909494232,126,11.18012422360249,35,3.105590062111801,0,0,4,0.354924578527063

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
