Country,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,30,30,100,19,63.33333333333333, -, -, -, -,11,36.66666666666666,0,0,0,0, -, -
Croatia,3,3,100,3,100,1,33.33333333333333,0,0,0,0,0,0,0,0,0,0
France,22,21,95.45454545454545,18,81.81818181818183,3,13.63636363636363,1,4.545454545454546,3,13.63636363636363,0,0,0,0,0,0
Germany*,114,114,100,93,81.57894736842105, -, -, -, -,21,18.42105263157895,0,0,0,0, -, -
Hungary,56,54,96.42857142857143,35,62.5,15,26.78571428571428,0,0,16,28.57142857142857,3,5.357142857142857,0,0,1,1.785714285714286
Ireland,16,16,100,15,93.75,6,37.5,1,6.25,1,6.25,0,0,0,0,0,0
Italy*,119,119,100,116,97.47899159663865, -, -, -, -,3,2.521008403361344,0,0,0,0, -, -
Poland,83,83,100,66,79.51807228915662,7,8.433734939759036,1,1.204819277108434,7,8.433734939759036,10,12.04819277108434,0,0,0,0
Portugal,73,73,100,66,90.41095890410958,4,5.47945205479452,0,0,4,5.47945205479452,3,4.10958904109589,0,0,0,0
Romania,76,76,100,64,84.21052631578947,12,15.78947368421053,3,3.947368421052631,1,1.31578947368421,11,14.47368421052632,0,0,0,0
Spain,250,250,100,242,96.8,15,6,4,1.6,2,0.8,6,2.4,0,0,0,0
Total (11MSs),842,839,99.6437054631829,737,87.52969121140143,63,7.482185273159145,10,1.187648456057007,69,8.194774346793348,33,3.919239904988123,0,0,1,0.1187648456057007
Total MSs and non-MSs,842,839,99.6437054631829,737,87.52969121140143,63,7.482185273159145,10,1.187648456057007,69,8.194774346793348,33,3.919239904988123,0,0,1,0.1187648456057007

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
