Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,317,8,2.52,1.1 - 4.9,8,2.52,1.1 - 4.9,-,-,-,-,-,-,0,0,0 - 1.2,0,0,0 - 1.2,0,0,0 - 1.2
Belgium*,313,6,3.19,1.5 - 5.8,2,1.06,0.2 - 2.8,-,-,-,-,-,-,4,2.13,0.9 - 4.6,0,0,0 - 1.2,0,0,0 - 1.2
Bulgaria,142,7,4.93,2.0 - 9.9,7,4.93,2.0 - 9.9,1,0.704225352112676, 0 - 3.9 ,0,0, 0 - 2.6 ,0,0,0 - 2.6,0,0,0 - 2.6,0,0,0 - 2.6
Croatia,93,3,3.23,0.7 - 9.1,3,3.23,0.7 - 9.1,0,0, 0 - 3.9 ,0,0, 0 - 3.9 ,0,0,0 - 3.9,0,0,0 - 3.9,0,0,0 - 3.9
Cyprus,155,0,0,0 - 2.4,0,0,0 - 2.4,0,0, 0 - 2.4 ,0,0, 0 - 2.4 ,0,0,0 - 2.4,0,0,0 - 2.4,0,0,0 - 2.4
Czechia*,299,29,9.7,6.6 - 13.6,26,8.7,5.8 - 12.5,-,-,-,-,-,-,3,1,0.2 - 2.9,0,0,0 - 1.2,0,0,0 - 1.2
Denmark,312,9,2.88,1.3 - 5.4,9,2.88,1.3 - 5.4,2,0.641025641025641, 0.1 - 2.3 ,0,0, 0 - 1.2 ,0,0,0 - 1.2,0,0,0 - 1.2,0,0,0 - 1.2
Estonia,150,5,3.33,1.1 - 7.6,4,2.67,0.7 - 6.7,1,0.666666666666667, 0 - 3.7 ,0,0, 0 - 2.4 ,0,0,0 - 2.4,1,0.67,0 - 3.7,0,0,0 - 2.4
Finland*,299,1,0.33,0 - 1.9,1,0.33,0 - 1.9,-,-,-,-,-,-,0,0,0 - 1.2,0,0,0 - 1.2,0,0,0 - 1.2
France,312,2,0.64,0.1 - 2.3,0,0,0 - 1.2,0,0, 0 - 1.2 ,0,0, 0 - 1.2 ,2,0.64,0.1 - 2.3,0,0,0 - 1.2,0,0,0 - 1.2
Germany*,363,2,1.38,0.5 - 3.2,2,1.38,0.5 - 3.2,-,-,-,-,-,-,0,0,0 - 1.0,0,0,0 - 1.0,0,0,0 - 1.0
Greece,69,1,1.45,0 - 7.8,1,1.45,0 - 7.8,0,0, 0 - 5.2 ,0,0, 0 - 5.2 ,0,0,0 - 5.2,0,0,0 - 5.2,0,0,0 - 5.2
