Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,310,49,15.8,11.9 - 20.4,34,11,7.7 - 15.0,-, -, -,-, -, -,15,4.8,2.7 - 7.9,0,0,0.0 - 1.2,1,0.3,0.0 - 1.8
Belgium*,310,178,57.4,51.7 - 63.0,173,55.8,50.1 - 61.4,-, -, -,-, -, -,5,1.6,0.5 - 3.7,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Bulgaria,442,207,46.8,42.1 - 51.6,153,34.6,30.2 - 39.3,39,8.8,6.4 - 11.9,6,1.4,0.5 - 2.9,31,7,4.8 - 9.8,23,5.2,3.3 - 7.7,0,0,0.0 - 0.8
Croatia,448,116,25.9,21.9 - 30.2,107,23.9,20.0 - 28.1,19,4.2,2.6 - 6.5,0,0,0.0 - 0.8,9,2,0.9 - 3.8,0,0,0.0 - 0.8,0,0,0.0 - 0.8
Cyprus,150,70,46.7,38.5 - 55.0,67,44.7,36.6 - 53.0,19,12.7,7.8 - 19.1,0,0,0.0 - 2.4,1,0.7,0.0 - 3.7,2,1.3,0.2 - 4.7,0,0,0.0 - 2.4
Czechia*,308,127,41.2,35.7 - 47.0,63,20.5,16.1 - 25.4,-, -, -,-, -, -,65,21.1,16.7 - 26.1,1,0.3,0.0 - 1.8,0,0,0.0 - 1.2
Denmark,652,19,2.9,1.8 - 4.5,17,2.6,1.5 - 4.1,7,1.1,0.4 - 2.2,0,0,0.0 - 0.6,0,0,0.0 - 0.6,2,0.3,0.0 - 1.1,0,0,0.0 - 0.6
Estonia,152,114,75,67.3 - 81.7,89,58.6,50.3 - 66.5,2,1.3,0.2 - 4.7,0,0,0.0 - 2.4,21,13.8,8.8 - 20.3,4,2.6,0.7 - 6.6,0,0,0.0 - 2.4
Finland*,305,3,1,0.2 - 2.9,3,1,0.2 - 2.9,-, -, -,-, -, -,0,0,0.0 - 1.2,0,0,0.0 - 1.2,0,0,0.0 - 1.2
France,330,37,11.2,8.0 - 15.1,33,10,7.0 - 13.8,3,0.9,0.2 - 2.6,3,0.9,0.2 - 2.6,3,0.9,0.2 - 2.6,1,0.3,0.0 - 1.7,0,0,0.0 - 1.1
Germany*,399,135,35.8,31.1 - 40.8,130,34.5,29.9 - 39.5,-, -, -,-, -, -,5,1.3,0.4 - 2.9,0,0,0.0 - 0.9,0,0,0.0 - 0.9
Greece,229,102,55.5,48.8 - 62.0,93,50.6,44.0 - 57.3,15,8.2,5.1 - 12.7,0,0,0.0 - 1.6,5,2.7,1.0 - 5.6,4,2.2,0.7 - 5.0,0,0,0.0 - 1.6
Hungary,434,268,61.8,57.0 - 66.3,230,53,48.2 - 57.8,94,21.7,17.9 - 25.8,10,2.3,4.1 - 4.2,28,6.5,4.3 - 9.2,10,2.3,1.1 - 4.2,0,0,0.0 - 0.8
Ireland,300,41,13.7,10.0 - 18.1,32,10.7,7.4 - 14.7,7,2.3,0.9 - 4.8,1,0.3,0.0 - 1.8,9,3,1.4 - 5.6,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Italy*,447,183,40.9,36.3 - 45.7,121,27.1,23.0 - 31.4,-, -, -,-, -, -,62,13.9,10.8 - 17.4,0,0,0.0 - 0.8,0,0,0.0 - 0.8
Latvia,150,34,22.7,16.2 - 30.2,24,16,10.5 - 22.9,11,7.3,3.7 - 12.7,0,0,0.0 - 2.4,10,6.7,3.2 - 11.9,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Lithuania,150,120,80,72.7 - 86.1,102,68,59.9 - 75.4,32,21.3,15.1 - 28.8,0,0,0.0 - 2.4,12,8,4.2 - 13.6,6,4,1.5 - 8.5,0,0,0.0 - 2.4
Luxembourg,33,3,9.1,1.9 - 24.3,1,3,0.1 - 15.8,0,0,0.0 - 10.6,0,0,0.0 - 10.6,2,6.1,0.7 - 20.2,0,0,0.0 - 10.6,0,0,0.0 - 10.6
Malta,170,145,85.3,79.1 - 90.3,131,77.1,70.0 - 83.2,24,14.1,9.3 - 20.3,8,4.7,2.1 - 9.1,7,4.1,1.7 - 8.3,7,4.1,1.7 - 8.3,0,0,0.0 - 2.2
Netherlands*,301,44,14.6,10.8 - 19.1,44,14.6,10.8 - 19.1,-, -, -,-, -, -,0,0,0.0 - 1.2,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Poland,352,96,27.3,22.7 - 32.3,71,20.2,16.1 - 24.8,5,1.4,0.5 - 3.3,4,1.1,0.3 - 2.9,20,5.7,3.5 - 8.6,5,1.4,0.5 - 3.3,0,0,0.0 - 1.0
Portugal,320,216,68.4,63.0 - 73.5,175,55.5,49.7 - 60.8,13,4.1,2.2 - 6.9,1,0.3,0.0 - 1.7,34,10.8,7.5 - 14.5,7,2.2,0.9 - 4.5,0,0,0.0 - 1.2
Romania,450,284,63.1,58.5 - 67.6,195,43.3,38.7 - 48.1,42,9.3,6.8 - 12.4,0,0,0.0 - 0.8,75,16.7,13.3 - 20.4,14,3.1,1.7 - 5.2,0,0,0.0 - 0.8
Slovakia,301,90,29.9,24.8 - 35.4,63,20.9,16.5 - 26.0,44,14.6,10.8 - 19.1,1,0.3,0.0 - 1.8,27,9,6.0 - 12.8,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Slovenia,169,50,29.6,22.8 - 37.1,23,13.6,8.8 - 19.7,14,8.3,4.6 - 13.5,1,0.6,0.0 - 3.3,27,16,10.8 - 22.4,0,0,0.0 - 2.2,0,0,0.0 - 2.2
Spain,557,241,43.3,39.1 - 47.5,187,33.6,29.7 - 37.7,16,2.9,1.7 - 4.6,2,0.4,0.0 - 1.3,42,7.5,5.5 - 10.1,12,2.2,1.1 - 3.7,0,0,0.0 - 0.7
Sweden*,300,9,3,1.4 - 5.6,9,3,1.4 - 5.6,-, -, -,-, -, -,0,0,0.0 - 1.2,0,0,0.0 - 1.2,0,0,0.0 - 1.2
United Kingdom (Northern Ireland),390,12,3.1,1.6 - 5.3,9,2.3,1.1 - 4.3,0,0,0.0 - 0.9,1,0.3,0.0 - 1.4,3,0.8,0.2 - 2.2,0,0,0.0 - 0.9,0,0,0.0 - 0.9
Total (28 MSs),8859,2993,34.2,33.2 -35.2,2379,27.2,26.3 - 28.1,406,6.7,6.0 - 7.3,38,0.6,0.4 - 0.8,518,5.9,5.4 - 6.4,98,1.1,0.9 - 1.4,1,"<0,1",0.0 - 0.1
Iceland,148,0,0,0.0 - 2.5,0,0,0.0 - 2.5,0,0,0.0 - 2.5,0,0,0.0 - 2.5,0,0,0.0 - 2.5,0,0,0.0 - 2.5,0,0,0.0 - 2.5
Norway*,336,9,2.7,1.2 - 5.0,,0,0.0 - 1.1,-, -, -,-, -, -,9,2.7,1.2 - 5.0,0,0,0.0 - 1.1,0,0,0.0 - 1.1
Switzerland,309,14,4.5,2.5 - 7.5,13,4.2,2.3 - 7.1,1,0.3,0.0 - 1.8,1,0.3,0.0 - 1.8,1,0.3,0.0 - 1.8,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Total (3 non-MSs),793,23,2.9,1.9 - 4.3,13,1.6,0.9 - 2.8,1,0.2,0.0 - 1.2,1,0.2,0.0 - 1.2,10,1.3,0.6 - 2.3,0,0,0.0 - 0.5,0,0,0.0 - 0.5
Total (31 MSs and non-MSs),9652,3016,31.2,30.3 - 32.2,2392,24.8,23.9 - 25.7,407,6.1,5.6 - 6.7,39,0.6,0.4 - 0.8,528,5.5,5.0 - 5.9,98,1,0.8 - 1.2,1,0,0.0 - 0.1

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
