Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,276,77,27.9,22.7 - 33.6 ,66,23.91,19.0 - 29.4 ,-, -, -,-, -, -,11,3.99,2.0 - 7.0 ,0,0,0 - 1.3 ,0,0,0 - 1.3
Belgium*,312,194,65.32,59.8 - 70.7 ,179,60.27,54.6 - 65.7 ,-, -, -,-, -, -,15,5.05,3.0 - 8.2 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Croatia,297,84,28.28,23.2 - 33.8 ,74,24.92,20.1 - 30.2 ,5,1.683501683501683,0.6 - 3.9,0,0,0 - 1.2,9,3.03,1.4 - 5.7 ,1,0.3367003367003367,0 - 1.9 ,0,0,0 - 1.2 
Denmark,309,13,4.21,2.3 - 7.1 ,2,0.65,0.1 - 2.3 ,0,0,0 - 1.2,0,0,0 - 1.2,11,3.56,1.8 - 6.3 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
France,280,41,14.64,10.7 - 19.3 ,23,8.21,5.3 - 12.1 ,3,1.071428571428571,0.2 - 3.1,0,0,0 - 1.3,18,6.43,3.9 - 10.0 ,0,0,0 - 1.3 ,0,0,0 - 1.3 
Germany*,342,222,65.49,60.2 - 70.5 ,219,64.61,59.3 - 69.7 ,-, -, -,-, -, -,3,0.89,0.2 - 2.5 ,0,0,0 - 1.1 ,1,0.3,0 - 1.6 
Italy*,301,267,88.7,84.6 - 92 ,255,84.72,80.1 - 88.6 ,-, -, -,-, -, -,12,3.99,2.1 - 6.9 ,0,0,0 - 1.2 ,1,0.33,0 - 1.8 
Netherlands*,307,98,31.92,26.7 - 37.5 ,92,29.97,24.9 - 35.4 ,-, -, -,-, -, -,6,1.95,0.7 - 4.2 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Portugal,325,172,54.15,48.6 - 59.7 ,154,48.48,43.1 - 54.2 ,20,6.296131614050688,3.8 - 9.3,0,0,0 - 1.1,10,3.15,1.5 - 5.6 ,8,2.52,1.1 - 4.8 ,1,0.31,0 - 1.7 
Romania,284,68,23.94,19.1 - 29.3 ,60,21.13,16.5 - 26.3 ,11,3.873239436619718,2.0 - 6.8,2,0.704225352112676,0.1 - 2.5,4,1.41,0.4 - 3.6 ,4,1.41,0.4 - 3.6 ,0,0,0 - 1.3 
Spain,394,173,43.91,38.9 - 49 ,136,34.52,29.8 - 39.4 ,76,19.28934010152284,15.5 - 23.5,1,0.2538071065989848,0 - 1.4,25,6.35,4.1 - 9.2 ,12,3.05,1.6 - 5.3 ,0,0,0 - 0.9 
Sweden,14,0,0,0 - 23.2 ,0,0,0 - 23.2 ,0,0,0 - 23.2,0,0,0 - 23.2,0,0,0 - 23.2 ,0,0,0 - 23.2 ,0,0,0 - 23.2 
Total (12 MSs),3441,1409,41.41,41.4 - 43.1,1260,37.03,35.4 - 38.7 ,115,6.086565324723931,5.1 - 7.3,3,0.1587799649927982,0 - 0.5,124,3.64,3.0 - 4.3 ,25,0.7341646335953737,0.5 - 1.1 ,3,0.09,0 - 0.3 
Switzerland,306,97,31.7,26.5 - 37.2 ,49,16.01,12.1 - 20.6 ,6,1.9,0.7 - 4.2,0,0,0 - 1.2,42,13.73,10.1 - 18.1 ,6,1.96,0.7 - 4.2 ,0,0,0 - 1.2 
Total (1 non-MSs),306,97,31.7,26.5 - 37.2 ,49,16.01,12.1 - 20.6 ,6,1.96078431372549,0.7 - 4.2,0,0,0 - 1.2,42,13.73,10.1 - 18.1 ,6,1.96,0.7 - 4.2 ,0,0,0 - 1.2 
Total (13 MSs and non-MSs),3747,1506,40.6,39.0 - 42.2,1309,35.3,33.8 - 36.9,121,5.5,4.6 - 6.6,3,0.1,0 - 0.4,166,4.5,3.8 - 5.2,31,0.8,0.6 - 1.2,3,0.1,0 - 0.2

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
