Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,321,15,4.67,2.6 - 7.6 ,14,4.36,2.4 - 7.2 ,-, -, -,-, -, -,1,0.31,0 - 1.7 ,0,0,0 - 1.1 ,0,0,0 - 1.1 
Belgium*,312,6,1.92,0.7 - 4.1 ,4,1.28,0.4 - 3.2 ,-, -, -,-, -, -,2,0.64,0.1 - 2.3 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Bulgaria,137,12,8.76,4.6 - 14.8 ,10,7.3,3.6 - 13.0 ,7,5.109489051094891,2.1 - 10.2,0,0,0 - 2.7,0,0,0 - 2.7 ,2,1.46,0.2 - 5.2 ,0,0,0 - 2.7 
Croatia,97,6,6.19,2.3 - 13.0 ,6,6.19,2.3 - 13.0 ,0,0,0 - 3.7,0,0,0 - 3.7,0,0,0 - 3.7 ,0,0,0 - 3.7 ,0,0,0 - 3.7 
Cyprus,155,0,0,0 - 2.4 ,0,0,0 - 2.4 ,0,0,0 - 2.4,0,0,0 - 2.4,0,0,0 - 2.4 ,0,0,0 - 2.4 ,0,0,0 - 2.4 
Czechia*,297,26,8.75,5.8 - 12.6 ,17,5.72,3.4 - 9.0 ,-, -, -,-, -, -,9,3.03,1.4 - 5.7 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Denmark,319,14,4.39,2.4 - 7.3 ,9,2.82,1.3 - 5.3 ,0,0,0 - 1.2,0,0,0 - 1.2,4,1.25,0.3 - 3.2 ,1,0.31,0 - 1.7 ,0,0,0 - 1.1 
Estonia,150,10,6.67,3.2 - 11.9 ,8,5.33,2.3 - 10.2 ,4,2.666666666666667,0.7 - 6.7,0,0,0 - 2.4,2,1.33,0.2 - 4.7 ,0,0,0 - 2.4 ,0,0,0 - 2.4 
Finland,302,0,0,0 - 1.2 ,0,0,0 - 1.2 ,0,0,0 - 1.2,0,0,0 - 1.2,0,0,0 - 1.2 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
France,318,2,0.63,0.1 - 2.3 ,1,0.31,0 - 1.7 ,0,0,0 - 1.2,0,0,0 - 1.2,1,0.31,0 - 1.7 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Germany*,378,12,3.17,1.7 - 5.5 ,11,2.91,1.5 - 5.1 ,-, -, -,-, -, -,1,0.26,0 - 1.5 ,0,0,0 - 1 ,0,0,0 - 1.0 
Greece,66,1,1.52,0 - 8.2 ,1,1.52,0 - 8.2 ,0,0,0 - 5.4,0,0,0 - 5.4,0,0,0 - 5.4 ,0,0,0 - 5.4 ,0,0,0 - 5.4 
Hungary,330,26,7.88,5.2 - 11.3 ,23,6.97,4.5 - 10.3 ,6,1.818181818181818,0.7 - 3.9,0,0,0 - 1.1,3,0.91,0.2 - 2.6 ,0,0,0 - 1.1 ,0,0,0 - 1.1 
Ireland,300,12,4,2.1 - 6.9 ,3,1,0.2 - 2.9 ,1,0.3333333333333333,0 - 1.8,1,0.3333333333333333,0 - 1.8,9,3,1.4 - 5.6 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Italy*,299,19,6.35,3.9 - 9.7 ,16,5.35,3.1 - 8.5 ,-, -, -,-, -, -,3,1,0.2 - 2.9 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Latvia,150,19,12.67,7.8 - 19.1 ,16,10.67,6.2 - 16.7 ,5,3.333333333333333,1.1 - 7.6,0,0,0 - 2-4,3,2,0.4 - 5.7 ,0,0,0 - 2.4 ,0,0,0 - 2.4 
Lithuania,150,6,4,1.5 - 8.5 ,6,4,1.5 - 8.5 ,1,0.6666666666666666,0 - 3.7,0,0,0 - 2-4,0,0,0 - 2.4 ,0,0,0 - 2.4 ,0,0,0 - 2.4 
Luxembourg,73,5,6.85,2.3 - 15.3 ,3,4.11,0.9 - 11.5 ,0,0,0 - 4.9,0,0,0 - 4.9,2,2.74,0.3 - 9.5 ,0,0,0 - 4.9 ,0,0,0 - 4.9 
Malta,150,4,2.67,0.7 - 6.7 ,4,2.67,0.7 - 6.7 ,0,0,0 - 2.4,0,0,0 - 2.4,0,0,0 - 2.4 ,0,0,0 - 2.4 ,0,0,0 - 2.4 
