Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,297,194,65.32,59.6 - 70.7 ,182,61.28,55.5 - 66.9 ,-, -, -,-, -, -,13,4.38,2.4 - 7.4 ,1,0.34,0 - 1.9 ,0,0,0 - 1.2 
Belgium*,311,81,26.63,21.9 - 32.0,66,21.7,17.4 - 26.9 ,-, -, -,-, -, -,15,4.93,2.7 - 7.8 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Bulgaria,609,221,36.29,32.5 - 40.2 ,204,33.5,29.8 - 37.4 ,100,16.42,13.6 - 19.6,6,0.9852216748768473,0.4 - 2.1,13,2.13,1.1 - 3.6 ,4,0.66,0.2 - 1.7 ,0,0,0 - 0.6 
Croatia,290,131,45.17,39.3 - 51.1 ,109,37.59,32.0 - 43.4 ,16,5.52,3.2 - 8.8,0,0,0 - 1.3,22,7.59,4.8 - 11.3 ,0,0,0 - 1.3 ,0,0,0 - 1.3 
Cyprus,81,7,8.64,3.5 - 17.0 ,5,6.17,2.0 - 13.8 ,0,0,0 - 4.5,0,0,0 - 4.5,2,2.47,0.3 - 8.6 ,0,0,0 - 4.5 ,0,0,0 - 4.5 
Czechia*,317,136,42.9,37.4 - 48.6 ,81,25.55,20.8 - 30.7 ,-, -, -,-, -, -,55,17.35,13.3 - 22.0 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Denmark,294,51,17.35,13.2 - 22.2 ,5,1.7,0.6 - 3.9 ,2,0.68,0.1 - 2.4,1,0.3401360544217687,0 - 1.9,43,14.63,10.8 - 19.2 ,3,1.02,0.2 - 3.0 ,0,0,0 - 1.2 
Estonia,158,27,17.09,11.6 - 23.9 ,17,10.76,6.4 - 16.7 ,2,1.27,0.2 - 4.5,0,0,0 - 2.3,10,6.33,3.1 - 11.3 ,0,0,0 - 2.3 ,0,0,0 - 2.3 
Finland*,300,19,6.33,3.9 - 9.7 ,0,0,0 - 1.2 ,-, -, -,-, -, -,19,6.33,3.9 - 9.7 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
France,294,20,6.8,4.2 - 10.3 ,13,4.42,2.4 - 7.4 ,3,1.02,0.2 - 3.0,0,0,0 - 1.3,7,2.38,1.0 - 4.8 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Germany*,348,154,44.25,39 - 49.6 ,118,33.91,28.9 - 39.1 ,-, -, -,-, -, -,36,10.34,7.4 - 14.0 ,0,0,0 - 1.1 ,0,0,0 - 1.1 
Greece,70,32,45.71,33.7 - 58.1 ,28,40,28.5 - 52.4 ,2,2.86,0.4 - 9.9,0,0,0 - 5.1,3,4.29,0.9 - 12.0 ,1,1.43,0 - 7.7 ,0,0,0 - 5.1 
Hungary,380,206,54.21,49.1 - 59.3 ,178,46.84,41.7 - 52.0 ,59,15.53,12.0 - 19.6,9,2.368421052631579,1.1 - 4.5,26,6.84,4.5 - 9.9 ,2,0.53,0.1 - 1.9 ,0,0,0 - 1.0 
Ireland,300,106,35.33,29.9 - 41.0 ,65,21.67,17.1 - 26.8 ,27,9,6.0 - 12.8,0,0,0 - 1.2,38,12.67,9.1 - 17.0 ,3,1,0.2 - 2.9 ,0,0,0 - 1.2 
Italy*,300,213,71,65.5 - 76.1 ,169,56.33,50.5 - 62.0 ,-, -, -,-, -, -,44,14.67,10.9 - 19.2 ,0,0,0 - 1.2 ,1,0.33,0 - 1.8 
Latvia,150,85,56.67,48.3 - 64.7 ,79,52.67,44.4 - 60.9 ,18,12,7.3 - 18.3,0,0,0 - 2.4,6,4,1.5 - 8.5 ,0,0,0 - 2.4 ,0,0,0 - 2.4 
