Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,173,63,36.4,29.3 - 44.1,51,29.5,22.8 - 36.9,-, -, -,-, -, -,12,6.9,3.6 - 11.8,0,0,0.0 - 2.1,0,0,0.0 - 2.1
Belgium*,156,28,18,12.3 - 24.9,23,14.7,9.6 - 21.3,-, -, -,-, -, -,5,3.2,1.1 - 7.3,0,0,0.0 - 2.3,0,0,0.0 - 2.3
Bulgaria,149,22,14.8,9.5 - 21.5,21,14.1,8.9 - 20.7,12,8.1,4.2 - 13.7,0,0,0.0 - 2.5,1,0.7,0.0 - 3.7,0,0,0.0 - 2.5,0,0,0.0 - 2.5
Croatia,117,15,12.8,7.4 - 20.3,15,12.8,7.4 - 20.3,5,4.3,1.4 - 9.7,0,0,0.0 - 3.1,0,0,0.0 - 3.1,0,0,0.0 - 3.1,0,0,0.0 - 3.1
Czechia*,158,21,13.3,8.4 - 19.6,21,13.3,8.4 - 19.6,-, -, -,-, -, -,0,0,0.0 - 2.3,0,0,0.0 - 2.3,0,0,0.0 - 2.3
Denmark,137,48,35,27.1 - 43.7,37,27,19.8 - 35.3,3,2.2,0.5 - 6.3,0,0,0.0 - 2.7,6,4.4,1.6 - 9.3,5,3.7,1.2 - 8.3,0,0,0.0 - 2.7
Estonia,143,43,30.1,22.7 - 38.3,36,25.2,18.3 - 33.1,9,6.3,2.9 - 11.6,0,0,0.0 - 2.6,3,2.1,0.4 - 6.0,4,2.8,0.8 - 7.0,0,0,0.0 - 2.6
Finland,130,0,0,0.0 - 2.8,0,0,0.0 - 2.8,0,0,0.0 - 2.8,0,0,0.0 - 2.8,0,0,0.0 - 2.8,0,0,0.0 - 2.8,0,0,0.0 - 2.8
France,255,24,9.4,6.1 - 13.7,21,8.2,5.2 - 12.3,2,0.8,0.1 - 2.8,3,1.2,0.2 - 3.4,3,1.2,0.2 - 3.4,0,0,0.0 - 1.4,0,0,0.0 - 1.4
Germany*,353,98,29.2,24.5 - 34.2,84,25,20.5 - 29.8,-, -, -,-, -, -,14,4.2,2.4 - 6.9,0,0,0.0 - 1.0,0,0,0.0 - 1.0
Greece,43,17,39.5,25.0 - 55.6,15,34.9,21.0 - 50.9,3,7,1.5 - 19.1,0,0,0.0 - 8.2,1,2.3,0.1 - 12.3,1,2.3,0.1 - 12.3,0,0,0.0 - 8.2
Hungary,180,38,21.1,15.4 - 27.8,34,18.9,13.5 - 25.4,9,5,2.3 - 9.3,1,0.6,0.0 - 3.1,4,2.2,0.6 - 5.6,0,0,0.0 - 2.0,0,0,0.0 - 2.0
Ireland,150,28,18.7,12.8 - 25.8,25,16.7,11.1 - 23.6,8,5.3,2.3 - 10.2,1,0.7,0.0 - 3.7,3,2,0.4 - 5.7,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Italy*,305,69,22.6,18.1 - 27.7,65,21.3,16.9 - 26.3,-, -, -,-, -, -,4,1.3,0.4 - 3.3,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Latvia,146,35,24,17.3 - 31.7,32,21.9,15.5 - 29.5,9,6.2,2.9 - 11.4,0,0,0.0 - 2.5,3,2.1,0.4 - 5.9,0,0,0.0 - 2.5,0,0,0.0 - 2.5
Lithuania,150,30,20,13.9 - 27.3,22,14.7,9.4 - 21.4,5,3.3,1.1 - 7.6,1,0.7,0.0 - 3.7,2,1.3,0.2 - 4.7,6,4,1.5 - 8.5,0,0,0.0 - 2.4
Luxembourg,42,5,11.9,4.0 - 25.6,4,9.5,2.7 - 22.6,0,0,0.0 - 8.4,0,0,0.0 - 8.4,1,2.4,0.1 - 12.6,0,0,0.0 - 8.4,0,0,0.0 - 8.4
Malta,150,17,11.3,6.7 - 17.5,17,11.3,6.7 - 17.5,1,0.7,0.0 - 3.7,0,0,0.0 - 2.4,0,0,0.0 - 2.4,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Netherland*,21,3,14.3,3.1 - 36.3,3,14.3,3.1 - 36.3,-,-,-,-,-,-,0,0,0.0 - 16.1,0,0,0.0 - 16.1,0,0,0.0 - 16.1
Poland,315,61,19.4,15.2 - 24.2,55,17.5,13.4 - 22.1,5,1.6,0.5 - 3.7,1,0.3,0.0 - 1.8,5,1.6,0.5 - 3.7,1,0.3,0.0 - 1.8,0,0,0.0 - 1.2
Portugal,252,113,45.2,39.0 - 51.6,99,39.6,33.6 - 46.0,9,3.6,1.7 - 6.7,1,0.4,0.0 - 2.2,7,2.8,1.1 - 5.6,7,2.8,1.1 - 5.6,0,0,0.0 - 1.5
Romania,148,38,25.7,18.9 - 33.5,34,23,16.5 - 30.6,1,0.7,0.0 - 3.7,0,0,0.0 - 2.5,3,2,0.4 - 5.8,1,0.7,0.0 - 3.7,0,0,0.0 - 2.5
Slovakia,150,58,39.3,31.5 - 47.6,44,29.8,22.8 - 38.0,16,10.9,6.2 - 16.7,1,0.7,0.0 - 3.7,14,9.5,5.2 - 15.2,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Slovenia,153,59,38.6,30.8 - 46.8,53,34.6,27.1 - 42.8,7,4.6,1.9 - 9.2,1,0.7,0.0 - 3.6,4,2.6,0.7 - 6.6,2,1.3,0.2 - 4.6,0,0,0.0 - 2.4
Spain,150,76,53.3,45.0 - 61.5,72,50.5,42.4 - 58.9,2,1.4,0.2 - 4.7,1,0.7,0.0 - 3.7,1,0.7,0.0 - 3.7,3,2.1,0.4 - 5.7,0,0,0.0 - 2.4
Sweden,75,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8
United Kingdom (Northern Ireland)*,300,48,16,12.0 - 20.7,35,11.7,8.3 - 15.9,0,0,0.0 - 1.2,0,0,0.0 - 1.2,13,4.3,2.3 - 7.3,0,0,0.0 - 1.2,0,0,0.0 - 1.2
