Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,158,30,19,13.2 - 26.0,19,12,7.4 - 18.1,-, -, -,-, -, -,11,7,3.5 - 12.1,0,0,0.0 - 2.3,0,0,0.0 - 2.3
Croatia,82,3,3.7,0.8 - 10.3,3,3.7,0.8 - 10.3,1,1.2,0.0 - 6.6,0,0,0.0 - 0.0,0,0,0.0 - 4.4,0,0,0.0 - 4.4,0,0,0.0 - 4.4
France,330,21,6.4,4.0 - 9.6,18,5.5,3.3 - 8.5,3,0.9,0.2 - 2.6,1,0.3,0.3 - 0.0,3,0.9,0.2 - 2.6,0,0,0.0 - 1.1,0,0,0.0 - 1.1
Germany*,359,114,32.3,27.5 - 37.4,93,26.4,22.0 - 31.4,-, -, -,-, -, -,21,6,3.7 - 8.8,0,0,0.0 - 1.0,0,0,0.0 - 1.0
Hungary,567,54,9.5,7.2 - 12.2,35,6.2,4.3 - 8.5,15,2.6,1.5 - 4.3,0,0,0.0 - 0.7,16,2.8,1.6 - 4.5,3,0.5,0.1 - 1.5,0,0,0.0 - 0.7
Ireland,92,16,17.4,10.3 - 26.7,15,16.3,9.4 - 25.5,6,6.5,2.4 - 13.7,1,1.1,1.1 - 0.0,1,1.1,0.0 - 5.9,0,0,0.0 - 3.9,0,0,0.0 - 3.9
Italy*,373,119,31.9,27.2 - 36.9,116,31.1,26.4 - 36.1,-, -, -,-, -, -,3,0.8,0.2 - 2.3,0,0,0.0 - 1.0,0,0,0.0 - 1.0
Poland,308,83,27.3,22.4 - 32.6,66,21.7,17.3 - 26.8,7,2.3,0.9 - 4.6,1,0.3,0.3 - 0.0,7,2.3,0.9 - 4.6,10,3.3,1.6 - 5.9,0,0,0.0 - 1.2
Portugal,130,73,56.9,48.0 - 65.6,66,51.5,42.6 - 60.4,4,3.1,0.8 - 7.7,0,0,0.0 - 0.0,4,3.1,0.8 - 7.7,3,2.3,0.5 - 6.6,0,0,0.0 - 2.8
Romania,150,76,50.7,42.4 - 58.9,64,42.7,34.6 - 51.0,12,8,4.2 - 13.6,3,2,2.0 - 0.4,1,0.7,0.0 - 3.7,11,7.3,3.7 - 12.7,0,0,0.0 - 2.4
Spain,540,250,46.3,42.0 - 50.6,242,44.8,40.6 - 49.1,15,2.8,1.6 - 4.5,4,0.7,0.7 - 0.2,2,0.4,0.0 - 1.3,6,1.1,0.4 - 2.4,0,0,0.0 - 0.7
Sweden,29,0,0,0.0 - 11.9,0,0,0.0 - 11.9,0,0,0.0 - 11.9,0,0,0.0 - 0.0,0,0,0.0 - 11.9,0,0,0.0 - 11.9,0,0,0.0 - 11.9
Total (12 MSs),3118,839,27,25.5 - 28.7,737,23.8,22.3 - 25.3,63,2.8,2.2 - 3.6,10,0.5,0.2 - 0.8,69,2.2,1.7 - 2.8,33,1.1,0.7 - 1.5,0,0,0.0 - 0.1
Total (12 MSs and non-MSs),3118,839,27,25.5 - 28.7,737,23.8,22.3 - 25.3,63,2.8,2.2 - 3.6,10,0.5,0.2 - 0.8,69,2.2,1.7 - 2.8,33,1.1,0.7 - 1.5,0,0,0.0 - 0.1

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
