Country,Animal popultaion / Meats categories
,"Broilers, 2024",,"Broiler meat at retail, 2024",,"Turkeys, 2024",,"Turkey meat at retail, 2024",,"Pigs, 2023",,"Pig meat at retail, 2023",,"Calves, 2023",,"Bovine meat at retail, 2023"
,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP
Austria,313,0,325,0,159, -,173, -,297,0,319,0,274,0,309,0
Belgium,310,0,311,0, -, -,156, -,311,0,312,0,312,0,313,0
Bulgaria,442,0,152,0, -, -,149, -,223,0,137,0, -, -,142,0
Croatia,448,0,146,0,82, -,117, -,290,0,97,0,297,0,93,0
Cyprus,200,0,147,0, -, -, -, -,81,0,155,0, -, -,155,0
Czechia*,308,0,295,0, -, -,158, -,317,5,297,0, -, -,299,0
Denmark,714,0,324,0, -, -,142, -,296,0,340,0,312,0,283,0
Estonia,151,0,150,0, -, -,143, -,149,0,136,0, -, -,136,0
Finland,305,0,290,0, -, -,130, -,300,0,302,0, -, -,299,0
France,330,0,255,0,330, -,255, -,294,0,318,0,280,0,312,0
Germany,399,0,402,0,359, -,376, -,348,0,379,0,343,0,365,0
Greece,80,0, -, -, -, -, -, -,15,0, -, -, -, -, -, -
Hungary,413,0,328,0,541, -,177, -,380,0,330,0, -, -,165,0
Ireland, -, -,300,0,92, -,150, -,300,0,300,0, -, -,300,0
Italy*,447,0,301,0,373, -,305, -,300,19,299,0,301,4,301,0
Latvia,150,0,153,0, -, -,146, -,150,0,150,0, -, -,150,0
Lithuania,150,0,150,0, -, -,150, -,150,0,150,0, -, -,150,0
Luxembourg, -, -,115,0, -, -,42, -,168,0,73,0, -, -,96,0
Malta,170,0, -, -, -, -, -, -,161,0,150,0, -, -,150,0
Netherlands *,301,1, -, -, -, -, -, -,300,0, -, -,300,0,-,-
Poland,352,0,315,0,308, -,315, -,309,0,311,0, -, -,311,0
Portugal,309,0,269,0,128, -,252, -,334,7,239,0,204,0,259,0
Romania,450,0,303,0,150, -,148, -,300,1,312,0,284,0,303,0
Slovakia,150,0,150,0, -, -,150, -,149,0,150,0, -, -,150,0
Slovenia,169,0,153,0, -, -,153, -,153,0,153,0, -, -,153,0
Spain,557,0,508,0,540, -,150, -,413,22,297,1,394,1,297,0
Sweden,305,0,300,0,29, -,75, -,302,0,298,0,14,0,304,0
United Kingdom (Northern Ireland),390,0,300,0, -, -,300, -,294,0,96,0, -, -,98,0
Total (28 MSs),8313,1,6442,0,3091,0,4312,0,7084,54,6100,1,3315,5,5893,0
Iceland,148,1,135,0, -, -, -, -, -, -, -, -, -, -, -, -
Norway,336,0,327,0,-, -,113, -,333,0,283,0, -, -,286,0
Republic of North Macedonia, -, -,4,0, -, -, -, -, -, -, -, -, -, -, -, -
Switzerland,309,0,310,0,-, -,160, -,308,0,309,0,306,0,308,0
Total (4 non-MSs),793,1,776,0,0,0,273,0,641,0,592,0,306,0,594,0
Total ( 32 MSs and non-MSs),9106,2,7218,0,3091,0,4585,0,7725,54,6692,1,3621,5,6487,0

,"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes:
-Netherlands 2024 – broilers
-Italy 2023 – calves
-Italy 2023 – pigs
-Czechia 2023 – pigs
",,,,,,,,Number of isolates tested through  CP-monitoring ,,,,,,48525
,,,,,,,,,Total of number of presumptive CP-producers,,,,,,62
