Country,NP1,NP2(a),ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Belgium,168,6,6,3.571428571428571,5,2.976190476190476,0,0,1,0.5952380952380952,0,0,1,0.5952380952380952,0,0
Cyprus,110,11,7,6.363636363636363,6,5.454545454545454,1,0.9090909090909091,1,0.9090909090909091,1,0.9090909090909091,0,0,0,0
Denmark,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,149,7,3,2.013422818791946,1,0.6711409395973155,0,0,0,0,0,0,2,1.342281879194631,0,0
Germany*,274,6,3,1.094890510948905,3,1.094890510948905,,,,,0,0,0,0,0,0
Greece,121,1,1,0.8264462809917356,0,0,0,0,0,0,1,0.8264462809917356,0,0,0,0
Hungary,170,1,1,0.5882352941176471,1,0.5882352941176471,0,0,0,0,0,0,0,0,0,0
Ireland,170,1,1,0.5882352941176471,0,0,0,0,0,0,1,0.5882352941176471,0,0,0,0
Malta,127,9,8,6.299212598425196,8,6.299212598425196,2,1.574803149606299,0,0,0,0,0,0,0,0
Netherlands*,300,1,1,0.3333333333333334,1,0.3333333333333334,,,,,0,0,0,0,0,0
Poland,184,9,7,3.804347826086957,7,3.804347826086957,2,1.08695652173913,0,0,0,0,0,0,0,0
Portugal,170,2,2,1.176470588235294,2,1.176470588235294,0,0,0,0,0,0,0,0,0,0
Romania,170,7,7,4.117647058823529,5,2.941176470588235,1,0.5882352941176471,0,0,2,1.176470588235294,0,0,0,0
Spain,170,1,1,0.5882352941176471,0,0,0,0,0,0,1,0.5882352941176471,0,0,0,0
Total (14 MSs),2478,63,48,1.937046004842615,39,1.573849878934625,6,0.2421307506053269,2,0.08071025020177562,6,0.2421307506053269,3,0.1210653753026634,0,0
Switzerland,229,1,1,0.4366812227074235,1,0.4366812227074235,0,0,0,0,0,0,0,0,0,0
Total MSs and non-MS,2707,64,49,1.810121906169191,40,1.477650535648319,6,0.2216475803472479,2,0.07388252678241596,6,0.2216475803472479,3,0.110823790173624,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
