Country,NP1,NP2(a),ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,181,2,2,1.104972375690608,1,0.5524861878453038,0,0,0,0,1,0.5524861878453038,0,0,0,0
Denmark,168,1,1,0.5952380952380952,0,0,0,0,0,0,1,0.5952380952380952,0,0,0,0
France,190,1,0,0,0,0,0,0,0,0,0,,0,0,0,0
Germany*,188,5,3,1.595744680851064,3,1.595744680851064,,,,,0,0,0,0,0,0
Italy*,170,18,18,10.58823529411765,11,6.470588235294119,,,,,7,4.117647058823529,0,0,0,0
Netherlands*,299,1,1,0.3344481605351171,1,0.3344481605351171,,,,,0,0,0,0,0,0
Portugal,171,6,6,3.508771929824561,6,3.508771929824561,2,1.169590643274854,0,0,0,0,0,0,0,0
Romania,170,1,1,0.5882352941176471,0,0,0,0,0,0,0,0,1,0.5882352941176471,0,0
Total (7 MSs),1537,35,32,2.081977878985036,22,1.431359791802212,2,0.1301236174365648,0,0,9,0.5855562784645413,1,0.06506180871828238,0,0
Switzerland,190,6,6,3.157894736842105,2,1.052631578947368,1,0.5263157894736842,0,0,1,0.5263157894736842,3,1.578947368421053,0,0
Total MSs and non-MS,1727,41,38,2.200347423277359,24,1.389693109438332,3,0.1737116386797916,0,0,10,0.5790387955993052,4,0.231615518239722,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
