Country,NP1,NP2(a),ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Belgium,86,4,3,3.488372093023256,3,3.488372093023256,1,1.162790697674419,0,0,0,0,0,0,0,0
Germany*,230,6,1,0.4347826086956522,1,0.4347826086956522,,,,,0,0,0,0,0,0
Italy*,170,2,1,0.5882352941176471,1,0.5882352941176471,,,,,0,0,0,0,1,0.5882352941176471
Poland,178,7,6,3.370786516853932,5,2.808988764044944,0,0,0,0,1,0.5617977528089888,0,0,0,0
Portugal,170,3,2,1.176470588235294,2,1.176470588235294,0,0,0,0,0,0,0,0,0,0
Spain,170,5,5,2.941176470588235,5,2.941176470588235,0,0,0,0,0,0,0,0,0,0
Total (6 MSs),1004,27,18,1.792828685258964,17,1.693227091633466,1,0.099601593625498,0,0,1,0.099601593625498,0,0,1,0.099601593625498
Norway,110,1,1,0.9090909090909091,0,0,0,0,0,0,1,0.9090909090909091,0,0,0,0
Total MSs and non-MS,1114,28,19,1.70556552962298,17,1.526032315978456,1,0.08976660682226212,0,0,2,0.1795332136445242,0,0,1,0.08976660682226212

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
