Country,NP1,NP2(a),ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,172,4,3,1.744186046511628,3,1.744186046511628,0,0,0,0,0,0,0,0,0,0
Croatia,84,2,2,2.380952380952381,1,1.19047619047619,0,0,0,0,1,1.19047619047619,0,0,0,0
Cyprus,32,4,4,12.5,4,12.5,1,3.125,0,0,0,0,0,0,0,0
Czechia,180,7,7,3.888888888888889,4,2.222222222222222,1,0.5555555555555556,0,0,3,1.666666666666667,0,0,0,0
Denmark,172,2,1,0.5813953488372093,0,0,0,0,0,0,1,0.5813953488372093,0,0,0,0
Estonia,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany*,195,2,2,1.025641025641026,1,0.5128205128205128,,,,,1,0.5128205128205128,0,0,0,0
Greece,68,1,1,1.470588235294118,1,1.470588235294118,0,0,0,0,0,0,0,0,0,0
Hungary,170,2,1,0.5882352941176471,0,0,0,0,0,0,1,0.5882352941176471,0,0,0,0
Ireland,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy*,170,4,4,2.352941176470588,2,1.176470588235294,,,,,2,1.176470588235294,0,0,0,0
Latvia,150,5,5,3.333333333333333,5,3.333333333333333,1,0.6666666666666667,0,0,0,0,0,0,0,0
Malta,208,1,1,0.4807692307692308,1,0.4807692307692308,0,0,0,0,0,0,0,0,0,0
Poland,221,3,2,0.904977375565611,2,0.904977375565611,1,0.4524886877828055,0,0,0,0,0,0,0,0
Portugal,182,5,4,2.197802197802198,4,2.197802197802198,2,1.098901098901099,0,0,0,0,0,0,0,0
Romania,169,10,9,5.325443786982249,7,4.142011834319527,0,0,0,0,2,1.183431952662722,0,0,0,0
Slovenia,85,3,3,3.529411764705882,2,2.352941176470588,1,1.176470588235294,0,0,1,1.176470588235294,0,0,0,0
Spain,170,1,1,0.5882352941176471,1,0.5882352941176471,1,0.5882352941176471,0,0,0,0,0,0,0,0
Total (19 MSs),2919,59,50,1.71291538198013,38,1.301815690304899,8,0.2740664611168208,0,0,12,0.4110996916752312,0,0,0,0
Montenegro,41,1,1,2.439024390243902,1,2.439024390243902,0,0,0,0,0,0,0,0,0,0
Norway*,330,1,1,0.303030303030303,0,0,,,,,1,0.303030303030303,0,0,0,0
Total (2 non-MSs),371,2,2,0.5390835579514826,1,0.2695417789757413,0,0,0,0,1,0.2695417789757413,0,0,0,0
Total MSs and non-MSs,3290,61,52,1.580547112462006,39,1.185410334346505,8,0.243161094224924,0,0,13,0.3951367781155016,0,0,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
