Country,NP2,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,86,82,95.34883720930233,58,67.44186046511628,20,23.25581395348837,11,12.79069767441861,22,25.58139534883721,2,2.325581395348837,0,0
Belgium,182,177,97.25274725274726,169,92.85714285714286,8,4.395604395604396,8,4.395604395604396,5,2.747252747252747,3,1.648351648351648,0,0
Bulgaria,65,65,100,37,56.92307692307692,4,6.153846153846154,2,3.076923076923077,22,33.84615384615385,6,9.230769230769232,0,0
Croatia,41,41,100,34,82.92682926829268,8,19.51219512195122,0,0,7,17.07317073170732,0,0,0,0
Cyprus,46,46,100,39,84.78260869565217,6,13.04347826086956,0,0,3,6.521739130434782,4,8.695652173913043,0,0
Czechia*,83,83,100,69,83.13253012048193,,,,,15,18.07228915662651,1,1.204819277108434,0,0
Denmark,12,12,100,8,66.66666666666666,1,8.333333333333332,1,8.333333333333332,4,33.33333333333333,0,0,0,0
Estonia,66,65,98.48484848484848,39,59.09090909090909,15,22.72727272727273,0,0,20,30.3030303030303,6,9.090909090909092,0,0
Finland*,5,5,100,5,100,,,,0,0,0,0,0,0,0
France,31,30,96.7741935483871,17,54.83870967741935,4,12.90322580645161,1,3.225806451612903,12,38.70967741935484,1,3.225806451612903,0,0
Germany*,148,148,100,140,94.5945945945946,,,,,8,5.405405405405405,0,0,0,0
Hungary,186,184,98.9247311827957,140,75.26881720430107,65,34.94623655913978,2,1.075268817204301,35,18.81720430107527,9,4.838709677419355,0,0
Ireland,25,24,96,21,84,4,16,2,8,3,12,0,0,0,0
Italy*,126,121,96.03174603174604,86,68.25396825396825,,,,,44,34.92063492063492,9,7.142857142857142,0,0
Latvia,59,57,96.61016949152543,30,50.84745762711864,7,11.86440677966102,0,0,27,45.76271186440678,0,0,0,0
Lithuania,13,13,100,8,61.53846153846154,1,7.692307692307693,0,0,5,38.46153846153847,0,0,0,0
Luxembourg,26,26,100,25,96.15384615384616,1,3.846153846153846,6,23.07692307692308,1,3.846153846153846,0,0,0,0
Malta,52,52,100,47,90.38461538461539,9,17.30769230769231,2,3.846153846153846,3,5.769230769230769,2,3.846153846153846,0,0
Netherlands*,27,25,92.5925925925926,23,85.18518518518519,,,,,2,7.407407407407407,0,0,0,0
Poland,161,157,97.51552795031056,110,68.32298136645963,36,22.36024844720497,0,0,44,27.32919254658385,3,1.863354037267081,0,0
Portugal,59,59,100,53,89.83050847457628,6,10.16949152542373,0,0,3,5.084745762711865,3,5.084745762711865,0,0
Romania,120,120,100,75,62.5,11,9.166666666666666,0,0,43,35.83333333333334,2,1.666666666666667,0,0
Slovakia,80,75,93.75,62,77.5,32,40,0,0,12,15,1,1.25,0,0
Slovenia,51,50,98.0392156862745,37,72.54901960784314,16,31.37254901960784,4,7.84313725490196,13,25.49019607843137,0,0,0,0
Spain,160,160,100,126,78.75,19,11.875,0,0,26,16.25,8,5,0,0
Sweden*,5,5,100,2,40,,,,,3,60,0,0,0,0
Total (26 MSs),1915,1882,98.27676240208876,1460,76.2402088772846,273,14.25587467362924,39,2.036553524804178,382,19.94778067885117,60,3.133159268929504,0,0
Switzerland,54,51,94.44444444444444,44,81.48148148148148,13,24.07407407407407,3,5.555555555555555,6,11.11111111111111,1,1.851851851851852,0,0
Total MSs and non-MSs,1969,1933,98.17166074149314,1504,76.38395124428644,286,14.52513966480447,42,2.133062468257999,388,19.7054342305739,61,3.098019299136618,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
