Country,NP2,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,37,32,86.48648648648648,29,78.37837837837837,7,18.91891891891892,8,21.62162162162162,2,5.405405405405405,1,2.702702702702703,2,5.405405405405405
Belgium,182,175,96.15384615384616,163,89.56043956043956,15,8.241758241758241,14,7.692307692307693,4,2.197802197802198,8,4.395604395604396,0,0
Bulgaria,288,286,99.30555555555556,214,74.30555555555556,5,1.736111111111111,4,1.388888888888889,54,18.75,18,6.25,1,0.3472222222222222
Croatia,86,86,100,69,80.23255813953489,27,31.3953488372093,0,0,17,19.76744186046512,0,0,0,0
Cyprus,32,32,100,25,78.125,5,15.625,0,0,3,9.375,4,12.5,0,0
Czechia*,108,108,100,83,76.85185185185185,,,,,26,24.07407407407407,1,0.9259259259259258,0,0
Denmark,9,9,100,5,55.55555555555556,3,33.33333333333333,0,0,4,44.44444444444444,0,0,0,0
Estonia,84,84,100,63,75,1,1.19047619047619,2,2.380952380952381,14,16.66666666666666,7,8.333333333333332,0,0
Finland*,4,4,100,4,100,,,,,0,0,0,0,0,0
France,38,36,94.73684210526315,28,73.68421052631578,3,7.894736842105263,1,2.631578947368421,7,18.42105263157895,1,2.631578947368421,0,0
Germany*,133,133,100,130,97.74436090225564,,,,,3,2.255639097744361,0,0,0,0
Hungary,186,186,100,151,81.18279569892472,65,34.94623655913978,0,0,28,15.05376344086022,7,3.763440860215054,0,0
Ireland,28,27,96.42857142857143,19,67.85714285714286,5,17.85714285714286,1,3.571428571428571,8,28.57142857142857,0,0,0,0
Italy*,231,224,96.96969696969697,140,60.60606060606061,,,,,86,37.22943722943723,2,0.8658008658008658,1,0.4329004329004329
Latvia,57,57,100,14,24.56140350877193,1,1.754385964912281,1,1.754385964912281,42,73.68421052631578,1,1.754385964912281,0,0
Lithuania,94,91,96.80851063829788,59,62.76595744680851,11,11.70212765957447,0,0,31,32.97872340425532,1,1.063829787234043,0,0
Luxembourg,8,8,100,8,100,0,0,0,0,0,0,0,0,0,0
Malta,57,57,100,51,89.47368421052632,5,8.771929824561402,1,1.754385964912281,5,8.771929824561402,1,1.754385964912281,0,0
Netherlands*,47,47,100,39,82.97872340425532,,,,,8,17.02127659574468,0,0,0,0
Poland,121,120,99.17355371900827,79,65.28925619834712,16,13.22314049586777,0,0,35,28.92561983471074,6,4.958677685950414,0,0
Portugal,181,181,100,169,93.37016574585635,21,11.60220994475138,0,0,0,0,12,6.629834254143646,0,0
Romania,331,330,99.69788519637463,218,65.86102719033232,59,17.82477341389728,1,0.3021148036253776,98,29.60725075528701,14,4.229607250755287,0,0
Slovakia,134,128,95.52238805970148,105,78.35820895522389,66,49.25373134328358,1,0.7462686567164178,23,17.16417910447761,0,0,0,0
Slovenia,74,73,98.64864864864865,60,81.08108108108108,23,31.08108108108108,1,1.351351351351351,13,17.56756756756757,0,0,0,0
Spain,240,240,100,190,79.16666666666666,32,13.33333333333333,1,0.4166666666666667,39,16.25,11,4.583333333333333,0,0
Sweden*,9,9,100,5,55.55555555555556,,,,,4,44.44444444444444,0,0,0,0
United Kingdom (Northern Ireland),5,5,100,3,60,1,20,0,0,2,40,0,0,0,0
Total (26 MSs + XI),2804,2768,98.71611982881598,2123,75.7132667617689,371,13.23109843081312,36,1.283880171184023,556,19.82881597717546,95,3.388017118402283,4,0.1426533523537803
Norway*,2,2,100,1,50,,,,,1,50,0,0,0,0
Switzerland,22,21,95.45454545454545,8,36.36363636363637,0,0,3,13.63636363636363,13,59.09090909090909,0,0,0,0
Total (2 non-MSs),24,23,95.83333333333334,9,37.5,0,0,3,12.5,14,58.33333333333334,0,0,0,0
Total MSs and non-MSs,2828,2791,98.6916548797737,2132,75.3889674681754,371,13.11881188118812,39,1.379066478076379,570,20.15558698727015,95,3.359264497878359,4,0.1414427157001414

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
