Country,NP2,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,8,8,100,8,100,,,,,0,0,0,0,0,0
Belgium*,6,6,100,2,33.33333333333333,,,,,4,66.66666666666666,0,0,0,0
Bulgaria,7,7,100,7,100,1,14.28571428571428,0,0,0,0,0,0,0,0
Croatia,4,3,75,3,75,0,0,0,0,0,0,0,0,0,0
Czechia*,29,29,100,26,89.65517241379311,,,,,3,10.3448275862069,0,0,0,0
Denmark,9,9,100,9,100,2,22.22222222222222,0,0,0,0,0,0,0,0
Estonia,5,5,100,4,80,1,20,0,0,0,0,1,20,0,0
Finland*,1,1,100,1,100,,,,,0,0,0,0,0,0
France,2,2,100,0,0,0,0,0,0,2,100,0,0,0,0
Germany*,2,2,100,2,100,,,,,0,0,0,0,0,0
Greece,1,1,100,1,100,0,0,0,0,0,0,0,0,0,0
Hungary,41,41,100,40,97.5609756097561,14,34.14634146341464,0,0,1,2.439024390243902,0,0,0,0
Ireland,2,2,100,1,50,0,0,0,0,1,50,0,0,0,0
Italy*,30,30,100,29,96.66666666666667,,,,,1,3.333333333333333,0,0,0,0
Latvia,10,10,100,9,90,3,30,0,0,1,10,0,0,0,0
Lithuania,8,8,100,8,100,1,12.5,0,0,0,0,0,0,0,0
Luxembourg,4,4,100,2,50,0,0,0,0,2,50,0,0,0,0
Malta,5,5,100,5,100,0,0,0,0,0,0,0,0,0,0
Netherlands*,1,1,100,1,100,,,,,0,0,0,0,0,0
Poland,13,13,100,11,84.61538461538461,2,15.38461538461539,0,0,2,15.38461538461539,0,0,0,0
Portugal,32,32,100,25,78.125,5,15.625,0,0,4,12.5,3,9.375,0,0
Romania,24,24,100,23,95.83333333333334,1,4.166666666666666,0,0,1,4.166666666666666,0,0,0,0
Slovakia,1,1,100,1,100,0,0,0,0,0,0,0,0,0,0
Slovenia,13,13,100,6,46.15384615384615,3,23.07692307692308,0,0,7,53.84615384615385,0,0,0,0
Spain,11,11,100,9,81.81818181818183,1,9.090909090909092,0,0,0,0,2,18.18181818181818,0,0
United Kingdom (Northern Ireland)*,2,2,100,2,100,,,,,0,0,0,0,0,0
Total (25 MSs + XI),271,270,99.63099630996311,235,86.71586715867159,34,12.54612546125461,0,0,29,10.70110701107011,6,2.214022140221402,0,0
Switzerland,2,2,100,2,100,0,0,0,0,0,0,0,0,0,0
Total MSs and non-MSs,273,272,99.63369963369964,237,86.81318681318682,34,12.45421245421245,0,0,29,10.62271062271062,6,2.197802197802198,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
