Matrix,NP2(a),ESBL and/or AmpC,,ESBL(b),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,P%,n,O%,P%,n,O%,P%,n,O%,P%,n,O%,P%
"Broiler meat, retail, 2022, N=6998, 28 RCs",1969,1933,27.7,1504,76.38395124428644,21.6,388,19.7,5.6,61,3.098019299136618,0.9,0,0,0
"Broiler meat, BCP, 2022, N=332, 9 RCs",205,204,58.8,177,86.34146341463415,51,28,13.7,8.1,1,0.4878048780487805,0.3,0,0,0
"Turkey meat, retail, 2022, N=4050, 24 RCs",949,941,23.3,822,86.61749209694415,20.4,95,10,2.4,36,3.793466807165438,0.9,0,0,0
"Turkey meat, BCP, 2022, N=45, 3 RCs",32,32,68.9,26,81.25,56,6,18.8,12.9,0,0,0,0,0,0
"Pig meat, retail, 2023, N=7059, 30 RCs",358,358,5.1,263,73.46368715083798,3.7,84,23.5,1.2,11,3.072625698324022,0.2,0,0,0
"Pig meat, BCP, 2023, N=290, 9 RCs",12,12,3.8,7,58.33333333333334,2.2,5,41.7,1.6,0,0,0,0,0,0
"Cattle meat, retail, 2023, N=7112, 30 RCs",273,272,4,237,86.81318681318682,3.5,29,10.6,0.4,6,2.197802197802198,0.2,0,0,0
"Cattle meat, BCP, 2023, N=742, 14 RCs",3,3,0.4,2,66.66666666666666,0.3,1,33.3,0.1,0,0,0,0,0,0

Information regarding the origin of the meat samples collected at BCPs can be found in the respective country datasets available on Zenodo
