Country,NP2,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,74,74,100,57,77.02702702702703,6,8.108108108108109,0,0,13,17.56756756756757,4,5.405405405405405,0,0
Belgium,36,33,91.66666666666666,28,77.77777777777779,7,19.44444444444445,0,0,4,11.11111111111111,1,2.777777777777778,0,0
Croatia,11,11,100,10,90.9090909090909,2,18.18181818181818,0,0,1,9.090909090909092,0,0,0,0
Czechia*,26,26,100,22,84.61538461538461,,,,,4,15.38461538461539,0,0,0,0
Denmark,59,59,100,53,89.83050847457628,5,8.47457627118644,0,0,3,5.084745762711865,3,5.084745762711865,0,0
France,24,23,95.83333333333334,15,62.5,2,8.333333333333332,0,0,8,33.33333333333333,0,0,0,0
Germany*,151,151,100,138,91.3907284768212,,,,,13,8.609271523178808,0,0,0,0
Hungary,36,36,100,30,83.33333333333334,10,27.77777777777778,0,0,6,16.66666666666666,0,0,0,0
Ireland,50,49,98,45,90,11,22,0,0,4,8,0,0,0,0
Italy*,56,55,98.21428571428571,52,92.85714285714286,,,,,9,16.07142857142857,6,10.71428571428571,0,0
Latvia,35,34,97.14285714285714,33,94.28571428571428,0,0,0,0,1,2.857142857142857,0,0,0,0
Lithuania,8,8,100,8,100,0,0,0,0,0,0,0,0,0,0
Luxembourg,5,5,100,4,80,0,0,0,0,1,20,0,0,0,0
Malta,1,1,100,1,100,0,0,0,0,0,0,0,0,0,0
Poland,77,77,100,70,90.9090909090909,8,10.38961038961039,0,0,6,7.792207792207792,1,1.298701298701299,0,0
Portugal,60,60,100,50,83.33333333333334,11,18.33333333333333,1,1.666666666666667,2,3.333333333333333,8,13.33333333333333,0,0
Romania,20,20,100,14,70,2,10,0,0,4,20,2,10,0,0
Slovakia,51,50,98.0392156862745,41,80.3921568627451,13,25.49019607843137,0,0,7,13.72549019607843,2,3.92156862745098,0,0
Slovenia,47,47,100,42,89.36170212765957,9,19.14893617021277,0,0,5,10.63829787234043,0,0,0,0
Spain,96,96,100,87,90.625,8,8.333333333333332,2,2.083333333333333,1,1.041666666666667,8,8.333333333333332,0,0
Total (20 MSs),923,915,99.1332611050921,800,86.6738894907909,94,10.18418201516793,3,0.3250270855904659,92,9.967497291440953,35,3.791982665222102,0,0
Switzerland,26,26,100,22,84.61538461538461,3,11.53846153846154,1,3.846153846153846,3,11.53846153846154,1,3.846153846153846,0,0
Total MSs and non-MSs,949,941,99.15700737618546,822,86.61749209694415,97,10.22128556375132,4,0.4214963119072708,95,10.01053740779768,36,3.793466807165438,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
