Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria,338,24.2603550295858,19.8 - 29.2 ,17.15976331360947,13.3 - 21.6 ,5.917159763313609,3.7 - 9.0,3.254437869822486,1.6 - 5.8,6.508875739644972,4.1 - 9.7 ,0.591715976331361,0.1 - 2.1 ,0,0 - 1.1 
Belgium,312,56.73076923076923,51.0 - 62.3 ,54.16666666666667,48.5 - 59.8 ,2.564102564102564,1.1 - 5.0,2.564102564102564,1.1 - 5.0,1.602564102564103,0.5 - 3.7 ,0.9615384615384616,0.2 - 2.8 ,0,0 - 1.2 
Bulgaria,150,43.33333333333334,35.3 - 51.7 ,24.66666666666667,18.0 - 32.4 ,2.666666666666667,0.7 - 6.7,1.333333333333333,0.2 - 4.7,14.66666666666667,9.4 - 21.4 ,4,1.5 - 8.5 ,0,0 - 2.4 
Croatia,131,31.29770992366413,23.5 - 40.0 ,25.95419847328244,18.7 - 34.3 ,6.106870229007634,2.7 - 11.7,0,0 - 2.8,5.34351145038168,2.2 - 10.7 ,0,0 - 2.8 ,0,0 - 2.8 
Cyprus,152,30.26315789473684,23.1 - 38.2 ,25.65789473684211,18.9 - 33.4 ,3.947368421052631,1.5 - 8.4,0,0 - 2.4,1.973684210526316,0.4 - 5.7 ,2.631578947368421,0.7 - 6.6 ,0,0 - 2.4 
Czechia*,296,28.04054054054054,23.0 - 33.5 ,23.31081081081081,18.6 - 28.6 ,,,,,5.067567567567568,2.9 - 8.2 ,0.3378378378378379,0 - 1.9 ,0,0 - 1.2 
Denmark,352,3.409090909090909,1.8 - 5.9 ,2.272727272727272,1.0 - 4.4 ,0.2840909090909091,0 - 1.6,0.2840909090909091,0 - 1.6,1.136363636363636,0.3 - 2.9 ,0,0 - 1 ,0,0 - 1.0 
Estonia,148,44.58435708435709,36.4 - 53.0 ,26.75061425061425,20.1 - 34.9 ,10.28869778869779,5.8 - 16.2,0,0 - 2.5,13.71826371826372,8.5 - 20.1 ,4.115479115479116,1.5 - 8.6 ,0,0 - 2.5 
Finland*,300,1.666666666666667,0.5 - 3.8 ,1.666666666666667,0.5 - 3.8 ,,,,,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2 
France,323,9.287925696594428,6.4 - 13.0 ,5.263157894736842,3.1 - 8.3 ,1.238390092879257,0.3 - 3.1,0.3095975232198142,0 - 1.7,3.715170278637771,1.9 - 6.4 ,0.3095975232198142,0 - 1.7 ,0,0 - 1.1 
Germany*,467,32.97644539614561,28.7 - 37.4 ,31.19393483419179,27.1 - 35.7 ,,,,,1.782510561953817,0.7 - 3.3 ,0,0 - 0.8 ,0,0 - 0.8 
Hungary,300,61.33333333333333,55.6 - 66.9 ,46.66666666666666,40.9 - 52.5 ,21.66666666666667,17.1 - 26.8,0.6666666666666667,0.1 - 2.4,11.66666666666667,8.3 - 15.9 ,3,1.4 - 5.6 ,0,0 - 1.2 
Ireland,300,7.999999999999999,5.2 - 11.7 ,6.999999999999999,4.4 - 10.5 ,1.333333333333333,0.4 - 3.4,0.6666666666666666,0.1 - 2.4,0.9999999999999999,0.2 - 2.9 ,0,0 - 1.2 ,0,0 - 1.2 
Italy*,302,40.06622516556292,34.5 - 45.8 ,28.47682119205298,23.5 - 33.9 ,,,,,14.56953642384106,10.8 - 19.1 ,2.980132450331126,1.4 - 5.6 ,0,0 - 1.2 
Latvia,151,37.74834437086093,30.0 - 46.0 ,19.86754966887417,13.8 - 27.1 ,4.635761589403973,1.9 - 9.3,0,0 - 2.4,17.88079470198675,12.1 - 24.9 ,0,0 - 2.4 ,0,0 - 2.4 
Lithuania,150,8.666666666666668,4.7 - 14.4 ,5.333333333333334,2.3 - 10.2 ,0.6666666666666667,0 - 3.7,0,0 - 2.4,3.333333333333333,1.1 - 7.6 ,0,0 - 2.4 ,0,0 - 2.4 
Luxembourg,57,45.61403508771929,32.4 - 59.3 ,43.85964912280701,30.7 - 57.6 ,1.754385964912281,0 - 9.4,10.52631578947368,4.0 - 21.5,1.754385964912281,0 - 9.4 ,0,0 - 6.3 ,0,0 - 6.3 
Malta,150,34.66666666666667,27.1 - 42.9 ,31.33333333333334,24.0 - 39.4 ,6,2.8 - 11.1,1.333333333333333,0.2 - 4.7,2,0.4 - 5.7 ,1.333333333333333,0.2 - 4.7 ,0,0 - 2.4 
Netherlands*,187,13.36898395721925,8.8 - 19.1 ,12.29946524064171,8.0 - 17.9 ,,,,,1.06951871657754,0.1 - 3.8 ,0,0 - 2 ,0,0 - 2.0 
Poland,403,38.95781637717121,34.2 - 43.9 ,27.29528535980149,23.0 - 31.9 ,8.933002481389577,6.3 - 12.2,0,0 - 0.9,10.9181141439206,8.0 - 14.4 ,0.7444168734491315,0.2 - 2.2 ,0,0 - 0.9 
Portugal,218,27.06422018348624,21.3 - 33.5 ,24.31192660550459,18.8 - 30.6 ,2.752293577981652,1.0 - 5.9,0,0 - 1.7,1.376146788990826,0.3 - 4.0 ,1.376146788990826,0.3 - 4 ,0,0 - 1.7 
Romania,303,39.6039603960396,34.1 - 45.4 ,24.75247524752475,20.0 - 30.0 ,3.630363036303631,1.8 - 6.4,0,0 - 1.2,14.19141914191419,10.5 - 18.6 ,0.6600660066006601,0.1 - 2.4 ,0,0 - 1.2 
Slovakia,150,50.62500000000001,42.4 - 58.9 ,41.85,34.0 - 50.3 ,21.6,15.1 - 28.8,0,0 - 2.4,8.1,4.2 - 13.6 ,0.675,0 - 3.7 ,0,0 - 2.4 
Slovenia,153,32.6797385620915,25.3 - 40.7 ,24.18300653594771,17.6 - 31.8 ,10.45751633986928,6.1 - 16.4,2.61437908496732,0.7 - 6.6,8.496732026143789,4.6 - 14.1 ,0,0 - 2.4 ,0,0 - 2.4 
Spain,300,53.33333333333334,47.5 - 59.1 ,42,36.4 - 47.8 ,6.333333333333332,3.9 - 9.7,0,0 - 1.2,8.666666666666668,5.7 - 12.4 ,2.666666666666667,1.2 - 5.2 ,0,0 - 1.2 
Sweden*,296,1.689189189189189,0.6 - 3.9 ,0.6756756756756757,0.1 - 2.4 ,,,,,1.013513513513514,0.2 - 2.9 ,0,0 - 1.2 ,0,0 - 1.2 
Total (26 MSs),6389,29.57993646880837,28.5 - 30.7 ,22.94724083127536,21.9 - 24.0 ,6.019796836797497,5.3 - 6.7,0.8599709766853567,0.6 - 2.8,6.004004107909032,5.4 - 6.6 ,0.9,0.7 - 1.2 ,0,0 - 0.1 
Norway,302,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2 
Switzerland,307,16.61237785016286,12.6 - 21.3 ,14.33224755700325,10.6 - 18.8 ,4.234527687296417,2.3 - 7.1,0.9771986970684038,0.6 - 1.1,1.954397394136808,0.7 - 4.2 ,0.3257328990228013,0 - 1.8 ,0,0 - 1.2 
Total non-MS (2 non-MSs),609,8.4,6.3 - 10.9,7.2,5.3 - 9.6,2.1,1.1 - 3.6,0.5,0.1 - 1.4,1,0.4 - 2.1,0.2,0 - 0.9,0,0 - 0.6
Total MSs and non-MSs,6998,27.7,26.7 - 28.8,21.6,20.6 - 22.6,5.6,4.9 - 6.2,0.8,0.6 - 1.1,5.6,5.1 - 6.1,0.9,0.7 - 1.1,0,0 - 0.1

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
