Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria,301,10.6312292358804,7.4 - 14.7 ,9.634551495016611,6.5 - 13.5 ,2.325581395348837,0.9 - 4.7,2.6578073089701,1.2 - 5.2,0.6644518272425249,0.1 - 2.4 ,0.3322259136212625,0 - 1.8 ,0.6644518272425249,0.1 - 2.4 
Belgium,248,72.11538461538461,66.2 - 77.7 ,67.17032967032968,61.1 - 73.1 ,6.181318681318682,3.4 - 9.8,5.769230769230769,3.1 - 9.3,1.648351648351648,0.4 - 4.1 ,3.296703296703297,1.4 - 6.3 ,0,0 - 1.5 
Bulgaria,456,62.71929824561403,58.1 - 67.2 ,46.92982456140351,42.3 - 51.6 ,1.096491228070175,0.4 - 2.5,0.8771929824561403,0.2 - 2.2,11.84210526315789,9.0 - 15.2 ,3.947368421052631,2.4 - 6.2 ,0.2192982456140351,0 - 1.2 
Croatia,144,59.72222222222222,51.2 - 67.8 ,47.91666666666666,39.5 - 56.4 ,18.75,12.7 - 26.1,0,0 - 2-5,11.80555555555556,7.0 - 18.2 ,0,0 - 2.5 ,0,0 - 2.5 
Cyprus,154,20.77922077922078,14.7 - 28.0 ,16.23376623376623,10.8 - 23.0 ,3.246753246753247,1.1 - 7.4,0,0 - 2.4,1.948051948051948,0.4 - 5.6 ,2.597402597402597,0.7 - 6.5 ,0,0 - 2.4 
Czechia*,293,36.86006825938566,31.3 - 42.7 ,28.32764505119454,23.2 - 33.9 ,,,,,8.87372013651877,5.9 - 12.7 ,0.341296928327645,0 - 1.9 ,0,0 - 1.3 
Denmark,697,1.291248206599713,0.6 - 2.4 ,0.7173601147776184,0.2 - 1.7 ,0.430416068866571,0.1 - 1.3,0,0 - 0.5,0.5738880918220947,0.2 - 1.5 ,0,0 - 0.5 ,0,0 - 0.5 
Estonia,150,56.00000000000001,47.7 - 64.1 ,42.00000000000001,34.0 - 50.3 ,0.6666666666666667,0 - 3.7,1.333333333333333,0.2 - 4.7,9.333333333333334,5.2 - 15.2 ,4.666666666666667,1.9 - 9.4 ,0,0 - 2.4 
Finland*,301,1.32890365448505,0.4 - 3.4 ,1.32890365448505,0.4 - 3.4 ,,,,,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2 
France,406,8.866995073891625,6.3 - 12.1 ,6.896551724137931,4.6 - 9.8 ,0.7389162561576355,0.2 - 2.1,0.2463054187192118,0 - 1.4,1.724137931034483,0.7 - 3.5 ,0.2463054187192118,0 - 1.4 ,0,0 - 0.9 
Germany*,333,41.14114114114114,35.8 - 46.6 ,40.21314547630337,34.9 - 45.7 ,,,,,0.9279956648377701,0.2 - 2.6 ,0,0 - 1.1 ,0,0 - 1.1 
Hungary,300,62,56.2 - 67.5 ,50.33333333333333,44.5 - 56.1 ,21.66666666666667,17.1 - 26.8,0,0 - 1.2,9.333333333333334,6.3 - 13.2 ,2.333333333333333,0.9 - 4.7 ,0,0 - 1.2 
Ireland,300,9.000000000000002,6.0 - 12.8 ,6.333333333333334,3.9 - 9.7 ,1.666666666666667,0.5 - 3.9,0.3333333333333333,0 - 1.8,2.666666666666667,1.2 - 5.2 ,0,0 - 1.2 ,0,0 - 1.2 
Italy*,479,46.76409185803757,42.2 - 51.3 ,29.22755741127349,25.2 - 33.5 ,,,,,17.95407098121085,14.6 - 21.7 ,0.417536534446764,0.1 - 1.5 ,0.208768267223382,0 - 1.2 
Latvia,150,38,30.2 - 46.3 ,9.333333333333332,5.2 - 15.2 ,0.6666666666666666,0 - 3.7,0.6666666666666666,0 - 3.7,28,21.0 - 35.9 ,0.6666666666666666,0 - 3.7 ,0,0 - 2.4 
Lithuania,150,60.66666666666667,52.4 - 68.5 ,39.33333333333333,31.5 - 47.6 ,7.333333333333333,3.7 - 12.7,0,0 - 2.4,20.66666666666667,14.5 - 28.0 ,0.6666666666666667,0 - 3.7 ,0,0 - 2.4 
