Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria*,317,2.523659305993691,1.1 - 4.9,2.523659305993691,1.1 - 4.9,,,,,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2
Belgium*,313,3.194888178913738,1.5 - 5.8,1.1,0.2 - 2.8,,,,,2.129925452609158,0.9 - 4.6,0,0 - 1.2,0,0 - 1.2
Bulgaria,142,4.929577464788732,2.0 - 9.9,4.929577464788732,2.0 - 9.9,0.704225352112676, 0 - 3.9 ,0, 0 - 2.6 ,0,0 - 2.6,0,0 - 2.6,0,0 - 2.6
Croatia,93,3.225806451612903,0.7 - 9.1,3.2,0.7 - 9.1,0, 0 - 3.9 ,0, 0 - 3.9 ,0,0 - 3.9,0,0 - 3.9,0,0 - 3.9
Cyprus,155,0,0 - 2.4,0,0 - 2.4,0, 0 - 2.4 ,0, 0 - 2.4 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4
Czechia*,299,9.698996655518394,6.6 - 13.6,8.7,5.8 - 12.5,,,,,1.003344481605351,0.2 - 2.9,0,0 - 1.2,0,0 - 1.2
Denmark,312,2.884615384615385,1.3 - 5.4,2.884615384615385,1.3 - 5.4,0.641025641025641, 0.1 - 2.3 ,0, 0 - 1.2 ,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2
Estonia,150,3.333333333333333,1.1 - 7.6,2.7,0.7 - 6.7,0.6666666666666667, 0 - 3.7 ,0, 0 - 2.4 ,0,0 - 2.4,0.6666666666666667,0 - 3.7,0,0 - 2.4
Finland*,299,0.3344481605351171,0 - 1.9,0.3344481605351171,0 - 1.9,,,,,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2
France,312,0.641025641025641,0.1 - 2.3,0,0 - 1.2,0, 0 - 1.2 ,0, 0 - 1.2 ,0.641025641025641,0.1 - 2.3,0,0 - 1.2,0,0 - 1.2
Germany*,363,1.377410468319559,0.5 - 3.2,1.377410468319559,0.5 - 3.2,,,,,0,0 - 1.0,0,0 - 1.0,0,0 - 1.0
Greece,69,1.449275362318841,0 - 7.8,1.449275362318841,0 - 7.8,0, 0 - 5.2 ,0, 0 - 5.2 ,0,0 - 5.2,0,0 - 5.2,0,0 - 5.2
Hungary,165,24.84848484848485,18.5 - 32.2,24.2,17.9 - 31.5,8.484848484848486, 4.7 - 13.8 ,0, 0 - 2.2 ,0.6060606060606061,0 - 3.3,0,0 - 2.2,0,0 - 2.2
Ireland,300,0.6666666666666667,0.1 - 2.4,0.3,0 - 1.8,0, 0 - 1.2 ,0, 0 - 1.2 ,0.3333333333333334,0 - 1.8,0,0 - 1.2,0,0 - 1.2
Italy*,301,9.966777408637874,6.8 - 13.9,9.6,6.6 - 13.5,,,,,0.3322259136212625,0 - 1.8,0,0 - 1.2,0,0 - 1.2
Latvia,150,6.666666666666667,3.2 - 11.9,6,2.8 - 11.1,2, 0.4 - 5.7 ,0, 0 - 2.4 ,0.6666666666666667,0 - 3.7,0,0 - 2.4,0,0 - 2.4
Lithuania,300,5.333333333333334,3.1 - 8.5,5.333333333333334,3.1 - 8.5,0.6666666666666667, 0.1 - 2.4 ,0, 0 - 1.2 ,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2
Luxembourg,96,4.166666666666666,1.2 - 10.3,2.1,0.3 - 7.3,0, 0 - 3.8 ,0, 0 - 3.8 ,2.083333333333333,0.3 - 7.3,0,0 - 3.8,0,0 - 3.8
Malta,150,4,1.5 - 8.5,4,1.5 - 8.5,0, 0 - 2.4 ,0, 0 - 2.4 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4
Netherlands*,284,0.3521126760563381,0 - 2.0,0.3521126760563381,0 - 2.0,,,,,0,0 - 1.3,0,0 - 1.3,0,0 - 1.3
Poland,309,4.207119741100324,2.3 - 7.1,3.6,1.8 - 6.3,0.6472491909385114, 0.1 - 2.3 ,0, 0 - 1.2 ,0.6472491909385114,0.1 - 2.3,0,0 - 1.2,0,0 - 1.2
Portugal,277,11.55234657039711,8.0 - 15.9,9,5.9 - 13.0,1.805054151624549, 0.6 - 4.2 ,0, 0 - 1.3 ,1.444043321299639,0.4 - 3.7,1.083032490974729,0.2 - 3.1,0,0 - 1.3
Romania,303,7.920792079207921,5.1 - 11.6,7.6,4.9 - 11.2,0.33003300330033, 0 - 1.8 ,0, 0 - 1.2 ,0.33003300330033,0 - 1.8,0,0 - 1.2,0,0 - 1.2
Slovakia,149,0.6711409395973155,0 - 3.7,0.6711409395973155,0 - 3.7,0, 0 - 2.4 ,0, 0 - 2.4 ,0,0 - 2.5,0,0 - 2.5,0,0 - 2.5
Slovenia,153,8.49673202614379,4.6 - 14.1,3.9,1.5 - 8.3,1.960784313725491, 0.4 - 5.6 ,0, 0 - 2.4 ,4.57516339869281,1.9 - 9.2,0,0 - 2.4,0,0 - 2.4
Spain,297,3.703703703703703,1.9 - 6.5,3,1.4 - 5.7,0.3367003367003367, 0 - 1.9 ,0, 0 - 1.2 ,0,0 - 1.2,0.6734006734006733,0.1 - 2.4,0,0 - 1.2
Sweden,304,0,0 - 1.2,0,0 - 1.2,0, 0 - 1.2 ,0, 0 - 1.2 ,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2
United Kingdom (Northern Ireland)*,98,2.040816326530612,0.3 - 7.2,2.040816326530612,0.3 - 7.2,,,,,0,0 - 3.7,0,0 - 3.7,0,0 - 3.7
Total (27 MSs + XI) ,6460,4.426330641015388,3.9 - 5.0,3.9,3.4 - 4.4,0.8503045867176302, 0.6 - 1.2 ,0, 0 - 0.1 ,0.4754206984794306,0.3 - 0.7,0.09836290313367528,0 - 0.2,0,0 - 0.1
Norway,286,0,0 - 1.3,0,0 - 1.3,0, 0 - 1.3 ,0, 0 - 1.3 ,0,0 - 1.3,0,0 - 1.3,0,0 - 1.3
Switzerland,366,0.546448087431694,0.1 - 2.0,0.546448087431694,0.1 - 2.0,0, 0 - 1.0 ,0, 0 - 1.0 ,0,0 - 1.0,0,0 - 1.0,0,0 - 1.0
Total (2 non-MSs),652,0.3,0 - 1.1,0.3,0 - 1.1,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6
Total MSs and non-MSs,7112,4,3.6 - 4.5,3.5,3.1 - 4.0,0.7,0.5 - 1.0,0,0 - 0.1,0.4,0.3 - 0.6,0.1,0 - 0.2,0,0 - 0.1

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
