Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria*,297,65.31986531986533,59.6 - 70.7 ,61.27946127946128,55.5 - 66.9 ,,,,,4.377104377104377,2.4 - 7.4 ,0.3367003367003367,0 - 1.9 ,0,0 - 1.2 
Belgium*,311,26.659521257592,1932-09-21 00:00:00,21.78277956413005,17.4 - 26.9 ,,,,,4.876741693461951,2.7 - 7.8 ,0,0 - 1.2 ,0,0 - 1.2 
Bulgaria,609,36.28899835796388,32.5 - 40.2 ,33.4975369458128,29.8 - 37.4 ,16.42036124794745,13.6 - 19.6,0.9852216748768473,0.4 - 2.1,2.134646962233169,1.1 - 3.6 ,0.6568144499178982,0.2 - 1.7 ,0,0 - 0.6 
Croatia,290,45.17241379310345,39.3 - 51.1 ,37.58620689655173,32.0 - 43.4 ,5.517241379310345,3.2 - 8.8,0,0 - 1.3,7.586206896551724,4.8 - 11.3 ,0,0 - 1.3 ,0,0 - 1.3 
Cyprus,81,8.641975308641975,3.5 - 17.0 ,6.172839506172839,2.0 - 13.8 ,0,0 - 4.5,0,0 - 4.5,2.469135802469136,0.3 - 8.6 ,0,0 - 4.5 ,0,0 - 4.5 
Czechia*,317,42.90220820189275,37.4 - 48.6 ,25.55205047318612,20.8 - 30.7 ,,,,,17.35015772870662,13.3 - 22.0 ,0,0 - 1.2 ,0,0 - 1.2 
Denmark,294,17.3469387755102,13.2 - 22.2 ,1.700680272108844,0.6 - 3.9 ,0.6802721088435374,0.1 - 2.4,0.3401360544217687,0 - 1.9,14.62585034013605,10.8 - 19.2 ,1.020408163265306,0.2 - 3.0 ,0,0 - 1.2 
Estonia,158,17.08860759493671,11.6 - 23.9 ,10.75949367088608,6.4 - 16.7 ,1.265822784810126,0.2 - 4.5,0,0 - 2.3,6.329113924050632,3.1 - 11.3 ,0,0 - 2.3 ,0,0 - 2.3 
Finland*,300,6.333333333333334,3.9 - 9.7 ,0,0 - 1.2 ,,,,,6.333333333333334,3.9 - 9.7 ,0,0 - 1.2 ,0,0 - 1.2 
France,294,6.802721088435375,4.2 - 10.3 ,4.421768707482994,2.4 - 7.4 ,1.020408163265306,0.2 - 3.0,0,0 - 1.3,2.380952380952381,1.0 - 4.8 ,0,0 - 1.2 ,0,0 - 1.2 
Germany*,348,44.25287356321839,39 - 49.6 ,33.9080459770115,28.9 - 39.1 ,,,,,10.3448275862069,7.4 - 14.0 ,0,0 - 1.1 ,0,0 - 1.1 
Greece,70,45.71428571428572,33.7 - 58.1 ,40,28.5 - 52.4 ,2.857142857142857,0.4 - 9.9,0,0 - 5.1,4.285714285714286,0.9 - 12.0 ,1.428571428571429,0 - 7.7 ,0,0 - 5.1 
Hungary,380,54.21052631578947,49.1 - 59.3 ,46.8421052631579,41.7 - 52.0 ,15.52631578947368,12.0 - 19.6,2.368421052631579,1.1 - 4.5,6.842105263157894,4.5 - 9.9 ,0.5263157894736842,0.1 - 1.9 ,0,0 - 1.0 
Ireland,300,35.33333333333333,29.9 - 41.0 ,21.66666666666667,17.1 - 26.8 ,9,6.0 - 12.8,0,0 - 1.2,12.66666666666666,9.1 - 17.0 ,0.9999999999999999,0.2 - 2.9 ,0,0 - 1.2 
Italy*,300,71.00000000000001,65.5 - 76.1 ,56.33333333333334,50.5 - 62.0 ,,,,,14.66666666666667,10.9 - 19.2 ,0,0 - 1.2 ,0.3333333333333333,0 - 1.8 
Latvia,150,56.66666666666666,48.3 - 64.7 ,52.66666666666666,44.4 - 60.9 ,12,7.3 - 18.3,0,0 - 2.4,4,1.5 - 8.5 ,0,0 - 2.4 ,0,0 - 2.4 
Lithuania,150,31.33333333333334,24 - 39.4 ,27.33333333333334,20.4 - 35.2 ,6.000000000000001,2.8 - 11.1,0,0 - 2.4,3.333333333333333,1.1 - 7.6 ,0.6666666666666667,0 - 3.7 ,0,0 - 2.4 
Luxembourg,168,21.42857142857143,15.5 - 28.4 ,19.64285714285714,13.9 - 26.5 ,1.785714285714286,0.4 - 5.1,0,0 - 2.2,1.785714285714286,0.4 - 5.1 ,0,0 - 2.2 ,0,0 - 2.2 
Malta,209,26.31578947368421,20.5 - 32.8 ,23.92344497607655,18.3 - 30.3 ,1.435406698564593,0.3 - 4.1,0,0 - 1.8,0.4784688995215311,0 - 2.6 ,1.913875598086124,0.5 - 4.8 ,0,0 - 1.7 
Netherlands*,300,14.33333333333333,10.6 - 18.8 ,7.666666666666666,4.9 - 11.3 ,,,,,6.666666666666667,4.1 - 10.1 ,0,0 - 1.2 ,0,0 - 1.2 
Poland,309,46.92556634304207,41.3 - 52.7 ,30.42071197411004,25.3 - 35.9 ,6.472491909385115,4.0 - 9.8,0,0 - 1.2,14.56310679611651,10.8 - 19.0 ,1.941747572815534,0.7 - 4.2 ,0,0 - 1.2 
Portugal,334,71.52824785212184,66.4 - 76.3 ,57.41083051288727,52 - 62.8 ,13.48997656860193,10.0 - 17.6,0,0 - 1.1,8.15673001822442,5.4 - 11.5 ,5.960687321010153,3.7 - 9.1 ,0.6274407706326477,0.1 - 2.1 
Romania,300,73.66666666666667,68.3 - 78.6 ,50.66666666666667,44.9 - 56.5 ,7.333333333333333,4.7 - 10.9,2,0.7 - 4.3,17,12.9 - 21.7 ,6.000000000000001,3.6 - 9.3 ,0,0 - 1.2 
Slovakia,140,61.42857142857142,52.8 - 69.5 ,40,31.8 - 48.6 ,26.42857142857143,19.3 - 34.5,2.857142857142857,0.8 - 7.2,20,13.7 - 27.6 ,1.428571428571429,0.2 - 5.1 ,0,0 - 2.6 
Slovenia,154,51.94805194805194,43.8 - 60.1 ,21.42857142857143,15.2 - 28.8 ,11.68831168831169,7.1 - 17.8,0,0 - 2.4,30.51948051948052,23.4 - 38.4 ,0,0 - 2.4 ,0,0 - 2.4 
Spain,413,81.84019370460048,77.8 - 85.4 ,64.2,59.3 - 68.8 ,15.98062953995157,12.6 - 19.9,0,0 - 0.9,13.80145278450363,10.6 - 17.5 ,3.9,2.2 - 6.2 ,0.2421307506053269,0 - 1.3 
Sweden*,302,3.311258278145695,1.6 - 6.0 ,0.6622516556291391,0.1 - 2.4 ,,,,,2.649006622516556,1.2 - 5.2 ,0,0 - 1.2 ,0,0 - 1.2 
United Kingdom (Northern Ireland),294,37.07482993197279,31.5 - 42.9 ,23.46938775510204,18.7 - 28.7 ,9.523809523809526,6.4 - 13.5,0.6802721088435375,0.1 - 2.4,13.60544217687075,9.9 - 18.1 ,0,0 - 1.2 ,0,0 - 1.2 
Total (27 MSs + XI),7572,40.8590867414358,39.8 - 42.0 ,30.75700234916647,29.7 - 31.8 ,9.423751410414747,8.6 - 10.3,0.55201891107032,0.4 - 0.8,9.05475543296582,8.4 - 9.7 ,1.073843616501071,0.8 - 1.3 ,0.05302931439511461,0 - 0.1 
Iceland,143,1.398601398601399,0.2 - 5.0 ,1.398601398601399,0.2 - 5.0 ,0,0 - 2.6,0,0 - 2.6,0,0 - 2.5 ,0,0 - 2.5 ,0,0 - 2.5 
Norway*,333,19.51951951951952,15.4 - 24.2 ,1.801801801801802,0.7 - 3.9 ,,,,,17.71771771771772,13.8 - 22.3 ,0,0 - 1.1 ,0,0 - 1.1 
Switzerland,308,6.168831168831169,3.8 - 9.5 ,3.896103896103896,2.0 - 6.7 ,0.3246753246753247,0 - 1.8,0,0 - 1.2,1.948051948051948,0.7 - 4.2 ,0.3246753246753247,0 - 1.8 ,0,0 - 1.2
Total (3 non-MSs),784,11,8.9 - 13.4,2.5,1.6 - 3.9,0.2,0 - 1.2,0,0 - 0.8,8.3,6.5 - 10.5,0.1,0 - 0.7,0,0 - 0.5
Total MSs and non-MSs,8356,38.1,37.0 - 39.1,28.1,27.1 - 29.1,8.7,7.9 - 9.4,0.5,0.3 - 0.7,9,8.4 - 9.6,1,0.8 - 1.2,0,0 - 0.1

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
