Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria,141,17.73049645390071,11.8 - 25.1 ,16.31205673758866,10.6 - 23.5 ,2.836879432624114,0.8 - 7.1,0,0 - 2.6,1.418439716312057,0.2 - 5.0 ,0,0 - 2.6 ,0,0 - 2.6 
Croatia,94,11.70212765957447,6.0 - 20.0 ,10.63829787234043,5.2 - 18.7 ,2.127659574468085,0.3 - 7.5,0,0 - 3.9,1.063829787234043,0 - 5.8 ,0,0 - 3.8 ,0,0 - 3.8 
France,420,1.904761904761905,0.8 - 3.7 ,1.190476190476191,0.4 - 2.8 ,0.4761904761904762,0.1 - 1.7,0,0 - 0.9,0.7142857142857143,0.1 - 2.1 ,0,0 - 0.9 ,0,0 - 0.9 
Germany*,351,39.03133903133903,33.9 - 44.4 ,36.09665188612557,31.1 - 41.5 ,,,,,2.934687145213461,1.4 - 5.2 ,0,0 - 1.0 ,0,0 - 1.0 
Hungary,300,19,14.7 - 23.9 ,13.66666666666667,10 .0- 18.1 ,6.333333333333332,3.9 - 9.7,0,0 - 1.2,5,2.8 - 8.1 ,0.3333333333333333,0 - 1.8 ,0,0 - 1.2 
Ireland,98,14.28571428571428,8.0 - 22.8 ,13.26530612244898,7.3 - 21.6 ,1.020408163265306,0 - 5.6,0,0 - 3.7,1.020408163265306,0 - 5.6 ,0,0 - 3.7 ,0,0 - 3.7 
Italy*,397,29.2191435768262,24.8 - 34.0 ,26.70025188916877,22.4 - 31.3 ,,,,,2.518891687657431,1.2 - 4.6 ,0,0 - 0.9 ,0,0 - 0.9 
Poland,374,24.06417112299465,19.8 - 28.7 ,20.58823529411764,16.6 - 25.0 ,2.13903743315508,0.9 - 4.2,0.5347593582887701,0.1 - 1.9,2.67379679144385,1.3 - 4.9 ,0.8021390374331552,0.2 - 2.3 ,0,0 - 1.0 
Portugal,284,51.05633802816902,45.1 - 57 ,47.04476861167002,41.3 - 53.2 ,2.552816901408451,1.0 - 5.0,0,0 - 1.3,0,0 - 1.3 ,4.011569416498994,1.9 - 6.8 ,0,0 - 1.3 
Romania,149,47.65100671140939,39.4 - 56 ,22.464046021093,15.8 - 29.7 ,12.93384467881112,7.9 - 19.2,0,0 - 2.5,0.6807286673058485,0 - 3.7 ,24.50623202301054,18.1 - 32.6 ,0,0 - 2.4 
Spain,566,63.07420494699647,58.9 - 67.1 ,61.48409893992933,57.3 - 65.5 ,2.473498233215548,1.4 - 4.1,0.176678445229682,0 - 1.0,0.5300353356890459,0.1 - 1.5 ,1.060070671378092,0.4 - 2.3 ,0,0 - 0.6 
Sweden,34,0,0 - 10.3 ,0,0 - 10.3 ,0,0 - 10.3,0,0 - 10.3,0,0 - 10.3 ,0,0 - 10.3 ,0,0 - 10.3 
Total (12 MSs),3208,32.1362813782664,0 - 0.1 ,28.5795724696042,27.0 - 30.2 ,3.113349068974561,2.5 - 3.9,0.1228953579858379,0 - 0.4,1.76261680429277,1.3 - 2.3 ,1.794092104369426,1.4 - 2.3 ,0,0 - 0.1 
Norway*,110,10,5.1 - 17.2 ,1.818181818181818,0.2 - 6.4 ,,,,,8.181818181818183,3.8 - 15.0 ,0,0 - 3.3 ,0,0 - 3.3 
Total MSs and non-MSs,3318,31.4,29.8 - 33.0,27.7,26.2 - 29.3,3.113349068974561,2.5 - 3.9,0.1228953579858379,0 - 0.4,2,1.5 - 2.5,1.7,1.3 - 2.3,0,0 - 0.1

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
