Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria*,321,4.672897196261682,2.6 - 7.6 ,4.361370716510903,2.4 - 7.2 ,,,,,0.3115264797507788,0 - 1.7 ,0,0 - 1.1 ,0,0 - 1.1 
Belgium*,312,1.923076923076923,0.7 - 4.1 ,1.282051282051282,0.4 - 3.2 ,,,,,0.641025641025641,0.1 - 2.3 ,0,0 - 1.2 ,0,0 - 1.2 
Bulgaria,137,8.75912408759124,4.6 - 14.8 ,7.299270072992702,3.6 - 13.0 ,5.109489051094891,2.1 - 10.2,0,0 - 2.7,0,0 - 2.7 ,1.45985401459854,0.2 - 5.2 ,0,0 - 2.7 
Croatia,97,6.185567010309279,2.3 - 13.0 ,6.185567010309279,2.3 - 13.0 ,0,0 - 3.7,0,0 - 3.7,0,0 - 3.7 ,0,0 - 3.7 ,0,0 - 3.7 
Cyprus,155,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4 
Czechia*,297,8.8,5.8 - 12.6 ,5.7,3.4 - 9.0 ,,,,,3.03030303030303,1.4 - 5.7 ,0,0 - 1.2 ,0,0 - 1.2 
Denmark,319,4.38871473354232,2.4 - 7.3 ,2.821316614420063,1.3 - 5.3 ,0,0 - 1.2,0,0 - 1.2,1.253918495297806,0.3 - 3.2 ,0.3134796238244514,0 - 1.7 ,0,0 - 1.1 
Estonia,150,6.666666666666667,3.2 - 11.9 ,5.333333333333334,2.3 - 10.2 ,2.666666666666667,0.7 - 6.7,0,0 - 2.4,1.333333333333333,0.2 - 4.7 ,0,0 - 2.4 ,0,0 - 2.4 
Finland,302,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2 
France,318,0.628930817610063,0.1 - 2.3 ,0.3144654088050315,0 - 1.7 ,0,0 - 1.2,0,0 - 1.2,0.3144654088050315,0 - 1.7 ,0,0 - 1.2 ,0,0 - 1.2 
Germany*,378,3.174603174603174,1.7 - 5.5 ,2.91005291005291,1.5 - 5.1 ,,,,,0.2645502645502645,0 - 1.5 ,0,0 - 1 ,0,0 - 1.0 
Greece,66,1.515151515151515,0 - 8.2 ,1.515151515151515,0 - 8.2 ,0,0 - 5.4,0,0 - 5.4,0,0 - 5.4 ,0,0 - 5.4 ,0,0 - 5.4 
Hungary,330,7.878787878787878,5.2 - 11.3 ,6.969696969696969,4.5 - 10.3 ,1.818181818181818,0.7 - 3.9,0,0 - 1.1,0.9090909090909091,0.2 - 2.6 ,0,0 - 1.1 ,0,0 - 1.1 
Ireland,300,4,2.1 - 6.9 ,1,0.2 - 2.9 ,0.3333333333333333,0 - 1.8,0.3333333333333333,0 - 1.8,3,1.4 - 5.6 ,0,0 - 1.2 ,0,0 - 1.2 
Italy*,299,6.354515050167224,3.9 - 9.7 ,5.351170568561873,3.1 - 8.5 ,,,,,1.003344481605351,0.2 - 2.9 ,0,0 - 1.2 ,0,0 - 1.2 
Latvia,150,12.66666666666667,7.8 - 19.1 ,10.66666666666667,6.2 - 16.7 ,3.333333333333333,1.1 - 7.6,0,0 - 2-4,2,0.4 - 5.7 ,0,0 - 2.4 ,0,0 - 2.4 
Lithuania,150,4,1.5 - 8.5 ,4,1.5 - 8.5 ,0.6666666666666666,0 - 3.7,0,0 - 2-4,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4 
Luxembourg,73,6.849315068493151,2.3 - 15.3 ,4.10958904109589,0.9 - 11.5 ,0,0 - 4.9,0,0 - 4.9,2.73972602739726,0.3 - 9.5 ,0,0 - 4.9 ,0,0 - 4.9 
Malta,150,2.666666666666667,0.7 - 6.7 ,2.666666666666667,0.7 - 6.7 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4 
Netherlands*,291,0.3436426116838488,0 - 1.9 ,0.3436426116838488,0 - 1.9 ,,,,,0,0 - 1.3 ,0,0 - 1.3 ,0,0 - 1.3 
Poland,310,5.806451612903226,3.5 - 9.0 ,3.870967741935484,2.0 - 6.7 ,0.967741935483871,0.2 - 2.8,0,0 - 1.2,1.612903225806452,0.5 - 3.7 ,0.3225806451612903,0 - 1.8 ,0,0 - 1.2 
Portugal,257,15.17509727626459,11 - 20.2 ,12.45136186770428,8.7 - 17.1 ,3.11284046692607,1.4 - 6.0,0,0 - 1.4,0.7782101167315174,0.1 - 2.8 ,1.945525291828794,0.6 - 4.5 ,0,0 - 1.4 
Romania,312,6.730769230769231,4.2 - 10.1 ,5.448717948717949,3.2 - 8.6 ,1.282051282051282,0.4 - 3.3,0,0 - 1.2,1.282051282051282,0.4 - 3.2 ,0,0 - 1.2 ,0,0 - 1.2 
Slovakia,149,21.47651006711409,15.2 - 28.9 ,16.10738255033557,10.6 - 23.0 ,8.053691275167784,4.2 - 13.7,0,0 - 2.5,5.369127516778524,2.3 - 10.3 ,0,0 - 2.4 ,0,0 - 2.4 
Slovenia,153,15.03267973856209,9.8 - 21.7 ,5.22875816993464,2.3 - 10.0 ,2.61437908496732,0.7 - 4.4,0,0 - 2.4,9.803921568627452,5.6 - 15.7 ,0,0 - 2.4 ,0,0 - 2.4 
Spain,297,6.397306397306397,3.9 - 9.8 ,4.713804713804714,2.6 - 7.8 ,2.02020202020202,0.7 - 4.4,0,0 - 1.2,1.01010101010101,0.2 - 2.9 ,0.6734006734006733,0.1 - 2.4 ,0,0 - 1.2 
Sweden,298,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2 ,0,0 - 1.2 ,0,0 - 1.2 
United Kingdom (Northern Ireland)*,96,3.125,0.6 - 8.9 ,3.125,0.6 - 8.9 ,,,,,0,0 - 3.8 ,0,0 - 3.8 ,0,0 - 3.8 
