Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria,181,40.88397790055249,33.6 - 48.4 ,31.49171270718232,24.8 - 38.8 ,3.314917127071824,1.2 - 7.1,0,0 - 2.0,7.182320441988951,3.9 - 12.0,2.209944751381216,0.6 - 5.6 ,0,0 - 2.0 
Belgium,156,21.74145299145299,15.6 - 29.1 ,18.44729344729345,12.8 - 25.6 ,4.611823361823362,1.8 - 9.0,0,0 - 2.3,2.635327635327635,0.7 - 6.4 ,0.6588319088319088,0 - 3.5 ,0,0 - 2.3 
Croatia,110,10,5.1 - 17.2 ,9.090909090909092,4.4 - 16.1 ,1.818181818181818,0.2 - 6.4,0,0 - 3.3,0.9090909090909092,0 - 5.0 ,0,0 - 3.3 ,0,0 - 3.3 
Czechia*,152,17.10526315789474,2024-05-11 00:00:00,14.47368421052632,9.3 - 21.1 ,,,,,2.631578947368421,0.7 - 6.6 ,0,0 - 2.4 ,0,0 - 2.4 
Denmark,113,52.21238938053098,42.6 - 61.7 ,46.90265486725664,37.5 - 56.5 ,4.424778761061947,1.5 - 10.0,0,0 - 3.2,2.654867256637168,0.6 - 7.6 ,2.654867256637168,0.6 - 7.6 ,0,0 - 3.2 
Finland*,151,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4 
France,321,7.165109034267912,4.6 - 10.6 ,4.672897196261682,2.6 - 7.6 ,0.6230529595015575,0.1 - 2.4,0,0 - 1.1,2.49221183800623,1.1 - 4.9 ,0,0 - 1.1 ,0,0 - 1.1 
Germany*,439,35.07972665148063,30.6 - 39.7 ,32.05961773446575,27.8 - 36.7 ,,,,,3.020108917014889,1.6 - 5.0 ,0,0 - 0.8 ,0,0 - 0.8 
Hungary,150,24,17.4 - 31.6 ,20,13.9 - 27.3 ,6.666666666666667,3.2 - 11.9,0,0 - 2.4,4,1.5 - 8.5 ,0,0 - 2.4 ,0,0 - 2.4 
Ireland,150,32.66666666666666,25.2 - 40.8 ,30,22.8 - 38.0 ,7.333333333333333,3.7 - 12.7,0,0 - 2.4,2.666666666666667,0.7 - 6.7 ,0,0 - 2.4 ,0,0 - 2.4 
Italy*,294,18.70748299319728,14.4 - 23.6 ,17.68707482993197,13.5 - 22.5 ,,,,,3.061224489795918,1.4 - 5.7 ,2.040816326530612,0.8 - 4.4 ,0,0 - 1.2 
Latvia,149,22.81879194630872,16.3 - 30.4 ,22.14765100671141,15.8 - 29.7 ,0,0 - 2.5,0,0 - 2.5,0.6711409395973155,0 - 3.7 ,0,0 - 2.4 ,0,0 - 2.4 
Lithuania,150,5.333333333333334,2.3 - 10.2 ,5.333333333333334,2.3 - 10.2 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4 
Luxembourg,23,21.73913043478261,7.5 - 43.7 ,17.39130434782609,5.0 - 38.8 ,0,0 - 14.8,0,0 - 14.8,4.347826086956522,0.1 - 21.9 ,0,0 - 14.8 ,0,0 - 14.8 
Malta,45,2.222222222222222,0.1 - 11.8 ,2.222222222222222,0.1 - 11.8 ,0,0 - 7.9,0,0 - 7.9,0,0 - 7.9 ,0,0 - 7.9 ,0,0 - 7.9 
Poland,305,25.24590163934426,20.5 - 30.5 ,22.95081967213115,18.4 - 28.1 ,2.622950819672131,1.1 - 5.1,0,0 - 1.2,1.967213114754099,0.7 - 4.2 ,0.3278688524590164,0 - 1.8 ,0,0 - 1.2 
Portugal,218,27.52293577981651,1934-07-21 00:00:00,22.93577981651376,17.5 - 29.1 ,5.045871559633027,2.6 - 8.9,0.4587155963302753,0 - 2.5,0.9174311926605505,0.1 - 3.3 ,3.669724770642202,1.6 - 7.1 ,0,0 - 1.7 
Romania,150,13.33333333333333,8.3 - 19.8 ,9.333333333333332,5.2 - 15.2 ,1.333333333333333,0.2 - 4.7,0,0 - 2.4,2.666666666666667,0.7 - 6.7 ,1.333333333333333,0.2 - 4.7 ,0,0 - 2.4 
Slovakia,149,33.55704697986577,26 - 41.7 ,27.51677852348993,20.5 - 35.4 ,8.724832214765101,4.7 - 14.5,0,0 - 2.5,4.697986577181208,1.9 - 9.4 ,1.342281879194631,0.2 - 4.8 ,0,0 - 2.4 
Slovenia,153,30.71895424836601,23.5 - 38.7 ,27.45098039215686,20.6 - 35.2 ,5.882352941176471,2.7 - 10.9,0,0 - 2.4,3.267973856209151,1.1 - 7.5 ,0,0 - 2.4 ,0,0 - 2.4 
Spain,150,64,55.8 - 71.7 ,57.99999999999999,49.7 - 66.0 ,5.333333333333333,2.3 - 10.2,1.333333333333333,0.2 - 4.7,0.6666666666666666,0 - 3.7 ,5.333333333333333,2.3 - 10.2 ,0,0 - 2.4 
Sweden,81,0,0 - 4.5 ,0,0 - 4.5 ,0,0 - 4.5,0,0 - 4.5,0,0 - 4.5 ,0,0 - 4.5 ,0,0 - 4.5 
Total (22 MSs),3790,24.24710634417425,22.9 - 25.6 ,21.19965582004305,19.9 - 22.5 ,3.24048990995036,2.6 - 4.0,0.1034198907430966,0 - 0.3,2.437960419304951,2.0 - 3.0 ,0.9274849421268836,0.6 - 1.3 ,0,0 - 0.1 
Norway,121,0,0 - 3.0 ,0,0 - 3.0 ,0,0 - 3.0,0,0 - 3.0,0,0 - 3.0 ,0,0 - 3.0 ,0,0 - 3.0 
Switzerland,139,18.70503597122302,12.6 - 26.2 ,15.8273381294964,10.2 - 23.0 ,2.158273381294964,0.5 - 6.2,0.7194244604316548,0 - 3.9,2.158273381294964,0.4 - 6.2 ,0.7194244604316548,0 - 3.9 ,0,0 - 2.6 
Total (2 non-MSs),260,10,6.6 - 14.3,8.5,"5,4 - 12.5",1.2,0.2 - 3.3,0.4,0 - 2.1,1.2,0.2 - 3.3,0.4,0 - 2.1,0,0 - 1.4
Total MSs and non-MSs,4050,23.3,22.0 - 24.7,20.4,19.1 - 21.6,3.1,2.5 - 3.7,0.1,0 - 0.3,2.4,1.9 - 2.9,0.9,0.6 - 1.2,0,0 - 0.1

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
