Country,Animal popultaion/meat
,"Broilers, 2022",,"Meat from broilers at retail, 2022",,"Fattening turkeys, 2022",,"Meat from turkeys at retail, 2022",,"Fattening pigs, 2023",,"Meat from pigs at retail, 2023",,Cattle under 1 year,,"Meat from cattle at retail, 2023"
,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP,Ns,nCP
Austria,298,0,340,0,137,0,177,0,297,0,319,0,274,0,309,0
Belgium,189,0,312,0,,,156,0,311,0,312,0,312,0,313,0
Bulgaria,456,0,150,0,,,,,223,0,137,0,,,142,0
Croatia,144,0,131,0,94,0,110,0,290,0,97,0,297,0,93,0
Cyprus,188,0,152,0,,,,,81,0,155,0,,,155,0
Czechia,293,0,296,0,,,152,0,317,5,297,0,,,299,0
Denmark,697,0,352,0,,,113,0,296,0,340,0,312,0,283,0
Estonia,150,0,148,0,,,,,149,0,136,0,,,136,0
Finland,301,0,300,0,,,151,0,300,0,302,0,,,299,0
France,406,0,323,0,420,0,321,0,294,0,318,0,280,0,312,0
Germany,386,0,462,0,351,0,442,0,348,0,379,0,343,0,365,0
Greece,91,0,156,0,,,,,15,0
Hungary,300,0,300,0,300,0,150,0,380,0,330,0,,,165,0
Ireland,300,0,300,0,98,0,150,0,300,0,300,0,,,300,0
Italy,609,0,170,0,397,1,241,0,300,19,299,0,301,4,301,0
Latvia,150,0,151,0,,,149,0,150,0,150,0,,,150,0
Lithuania,,,,,,,,,150,0,150,0,,,150,0
Luxembourg,45,0,57,0,,,23,0,168,0,73,0,,,96,0
Malta,126,0,,,,,,,161,0,150,0,,,150,0
Netherlands,300,0,,,,,,,300,0,,,300,0,,,"> MSTR: Netherlands reported 'Cattle under 1 year' matrix as 'Cattle, meat production animals'"
Poland,308,0,403,0,375,0,305,0,309,0,311,0,,,311,0
Portugal,,,,,,,,,334,7,239,0,204,0,259,0
Romania,450,0,303,0,149,0,150,0,300,1,312,0,284,0,303,0
Slovakia,150,0,150,0,,,150,0,149,0,150,0,,,150,0
Slovenia,151,0,153,0,,,153,0,153,0,153,0,,,153,0
Spain,564,0,265,0,566,0,133,0,413,22,297,1,394,1,297,0
Sweden,302,0,296,0,34,0,81,0,302,0,298,0,14,0,304,0
United Kingdom (Northern Ireland),,,,,,,,,294,0,96,0,,,98,0
Total (27 MSs + XI),7354,0,5670,0,2921,1,3307,0,7084,54,6100,1,3315,5,5893,0
Iceland,150,0
Norway,363,0,302,0,110,0,121,0,333,0,283,0,,,286,0
Switzerland,510,0,307,0,,,139,0,308,0,309,0,306,0,308,0
Total (3 non-MSs),1023,0,609,0,110,0,260,0,641,0,592,0,306,0,594,0
Total MSs and non-MSs,8377,0,6279,0,3031,1,3567,0,7725,54,6692,1,3621,5,6487,0
