"Complete suceptibility (CS), multidrug resistance (MDR) and combined resistance (CoR) to ciprofloxacin (CIP) and cefotaxime (CTX) in indicator E. coli, legal categories, 2019"

Page by:
Matrix: Cattle (bovine animals) - calves (under 1 year)

EU Or Non EU,Country,Metrics,N,n - number of susceptible,%,n - multi resistant,%,Co-resistant to CIP and CTX EUCAST,%r,Co-resistant to CIP and CTX CLINICAL,%r
EU,Belgium,,172,34,0.197674418604651,107,0.622093023255814,2,0.0116279069767442,0,0
,Croatia,,84,53,0.630952380952381,13,0.154761904761905,0,0,0,0
,Denmark,,172,150,0.872093023255814,11,0.063953488372093,0,0,0,0
,France,,153,61,0.398692810457516,62,0.405228758169935,0,0,0,0
,Germany,,217,115,0.529953917050691,67,0.308755760368664,1,0.00460829493087558,0,0
,Italy,,169,25,0.14792899408284,124,0.733727810650888,5,0.029585798816568,1,0.00591715976331361
,Netherlands,,294,161,0.547619047619048,61,0.207482993197279,0,0,0,0
,Portugal,,174,134,0.770114942528736,21,0.120689655172414,4,0.0229885057471264,2,0.0114942528735632
,Spain,,170,75,0.441176470588235,53,0.311764705882353,1,0.00588235294117647,0,0
,Total,,1605,808,0.503426791277259,519,0.323364485981308,13,0.00809968847352025,3,0.00186915887850467
non EU,Norway,,314,294,0.936305732484077,1,0.00318471337579618,0,0,0,0
,Republic of North Macedonia,,18,8,0.444444444444444,2,0.111111111111111,1,0.0555555555555556,1,0.0555555555555556
,Switzerland,,199,120,0.603015075376884,51,0.256281407035176,0,0,0,0
,Total,,531,422,0.794726930320151,54,0.101694915254237,1,0.00188323917137476,1,0.00188323917137476
Total,,,2136,1230,0.575842696629214,573,0.268258426966292,14,0.00655430711610487,4,0.00187265917602996



Page by:
Matrix: Pigs - fattening pigs

EU Or Non EU,Country,Metrics,N,n - number of susceptible,%,n - multi resistant,%,Co-resistant to CIP and CTX EUCAST,%r,Co-resistant to CIP and CTX CLINICAL,%r
EU,Austria,,174,69,0.396551724137931,35,0.201149425287356,0,0,0,0
,Belgium,,175,73,0.417142857142857,60,0.342857142857143,1,0.00571428571428571,0,0
,Bulgaria,,104,12,0.115384615384615,61,0.586538461538462,0,0,0,0
,Croatia,,85,36,0.423529411764706,32,0.376470588235294,0,0,0,0
,Cyprus,,34,0,0,29,0.852941176470588,0,0,0,0
,Czechia,,313,145,0.463258785942492,64,0.204472843450479,0,0,0,0
,Denmark,,190,80,0.421052631578947,59,0.310526315789474,0,0,0,0
,Estonia,,71,41,0.577464788732394,15,0.211267605633803,0,0,0,0
,Finland,,174,135,0.775862068965517,14,0.0804597701149425,0,0,0,0
,France,,188,56,0.297872340425532,53,0.281914893617021,0,0,0,0
,Germany,,246,116,0.471544715447155,72,0.292682926829268,4,0.016260162601626,0,0
,Greece,,146,21,0.143835616438356,102,0.698630136986301,2,0.0136986301369863,0,0
,Hungary,,170,50,0.294117647058824,51,0.3,0,0,0,0
,Ireland,,170,55,0.323529411764706,65,0.382352941176471,0,0,0,0
,Italy,,169,18,0.106508875739645,119,0.70414201183432,1,0.00591715976331361,0,0
,Latvia,,152,70,0.460526315789474,35,0.230263157894737,0,0,0,0
,Lithuania,,99,56,0.565656565656566,23,0.232323232323232,0,0,0,0
,Luxembourg,,37,14,0.378378378378378,10,0.27027027027027,0,0,0,0
,Malta,,71,13,0.183098591549296,27,0.380281690140845,1,0.0140845070422535,1,0.0140845070422535
,Netherlands,,304,136,0.447368421052632,74,0.243421052631579,0,0,0,0
,Poland,,175,48,0.274285714285714,76,0.434285714285714,1,0.00571428571428571,0,0
,Portugal,,156,6,0.0384615384615385,116,0.743589743589744,7,0.0448717948717949,3,0.0192307692307692
,Romania,,170,24,0.141176470588235,115,0.676470588235294,5,0.0294117647058824,1,0.00588235294117647
,Slovakia,,85,17,0.2,47,0.552941176470588,0,0,0,0
,Slovenia,,85,41,0.482352941176471,19,0.223529411764706,0,0,0,0
,Spain,,170,10,0.0588235294117647,130,0.764705882352941,2,0.0117647058823529,1,0.00588235294117647
,Sweden,,174,124,0.71264367816092,19,0.109195402298851,0,0,0,0
,United Kingdom,,208,61,0.293269230769231,82,0.394230769230769,1,0.00480769230769231,0,0
,Total,,4295,1527,0.355529685681024,1604,0.373457508731083,25,0.00582072176949942,6,0.00139697322467986
non EU,Iceland,,14,9,0.642857142857143,3,0.214285714285714,0,0,0,0
,Norway,,285,260,0.912280701754386,8,0.0280701754385965,0,0,0,0
,Republic of North Macedonia,,19,6,0.315789473684211,6,0.315789473684211,0,0,0,0
,Switzerland,,189,111,0.587301587301587,23,0.121693121693122,0,0,0,0
,Total,,507,386,0.761341222879684,40,0.0788954635108481,0,0,0,0
Total,,,4802,1913,0.398375676801333,1644,0.342357351103707,25,0.00520616409829238,6,0.00124947938359017



Page by:
Matrix: Gallus gallus (fowl) - broilers

EU Or Non EU,Country,Metrics,N,n - number of susceptible,%,n - multi resistant,%,Co-resistant to CIP and CTX EUCAST,%r,Co-resistant to CIP and CTX CLINICAL,%r
EU,Belgium,,169,13,0.0769230769230769,115,0.680473372781065,11,0.0650887573964497,1,0.00591715976331361
,Denmark,,159,101,0.635220125786164,18,0.113207547169811,0,0,0,0
,Netherlands,,315,111,0.352380952380952,105,0.333333333333333,0,0,0,0
,Total,,643,225,0.349922239502333,238,0.370139968895801,11,0.0171073094867807,1,0.0015552099533437
Total,,,643,225,0.349922239502333,238,0.370139968895801,11,0.0171073094867807,1,0.0015552099533437



Page by:
Matrix: Total

EU Or Non EU,Country,Metrics,N,n - number of susceptible,%,n - multi resistant,%,Co-resistant to CIP and CTX EUCAST,%r,Co-resistant to CIP and CTX CLINICAL,%r
EU,Austria,,174,69,0.396551724137931,35,0.201149425287356,0,0,0,0
,Belgium,,516,120,0.232558139534884,282,0.546511627906977,14,0.0271317829457364,1,0.00193798449612403
,Bulgaria,,104,12,0.115384615384615,61,0.586538461538462,0,0,0,0
,Croatia,,169,89,0.526627218934911,45,0.266272189349112,0,0,0,0
,Cyprus,,34,0,0,29,0.852941176470588,0,0,0,0
,Czechia,,313,145,0.463258785942492,64,0.204472843450479,0,0,0,0
,Denmark,,521,331,0.63531669865643,88,0.168905950095969,0,0,0,0
,Estonia,,71,41,0.577464788732394,15,0.211267605633803,0,0,0,0
,Finland,,174,135,0.775862068965517,14,0.0804597701149425,0,0,0,0
,France,,341,117,0.343108504398827,115,0.337243401759531,0,0,0,0
