"Frequency distribution of indicator E. coli isolates completely susceptible and resistant to 1 to 11 antimicrobials for legislative categories, 2019"

Page by:
Matrix: Cattle (bovine animals) - calves (under 1 year)

Country,Resistant to n AMB,    0,,,,    1,,,,    2,,,,    3,,,,    4,,,,    5,,,,    6,,,,    7,,,,    8,,,,Total
,Metrics,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r,N,Susceptible,n,%r
Belgium,,172,34,0,0,172,0,13,0.0755813953488372,172,0,18,0.104651162790698,172,0,16,0.0930232558139535,172,0,40,0.232558139534884,172,0,25,0.145348837209302,172,0,19,0.11046511627907,172,0,6,0.0348837209302326,172,0,1,0.00581395348837209,172,34,138,0.802325581395349
Croatia,,84,53,0,0,84,0,3,0.0357142857142857,84,0,15,0.178571428571429,84,0,4,0.0476190476190476,84,0,5,0.0595238095238095,84,0,1,0.0119047619047619,84,0,2,0.0238095238095238,84,0,1,0.0119047619047619,,,,,84,53,31,0.369047619047619
Denmark,,172,150,0,0,172,0,4,0.0232558139534884,172,0,7,0.0406976744186047,172,0,2,0.0116279069767442,172,0,9,0.0523255813953488,,,,,,,,,,,,,,,,,172,150,22,0.127906976744186
France,,153,61,0,0,153,0,14,0.0915032679738562,153,0,16,0.104575163398693,153,0,18,0.117647058823529,153,0,26,0.169934640522876,153,0,10,0.065359477124183,153,0,6,0.0392156862745098,153,0,2,0.0130718954248366,,,,,153,61,92,0.601307189542484
Germany,,217,115,0,0,217,0,24,0.110599078341014,217,0,11,0.0506912442396313,217,0,10,0.0460829493087558,217,0,35,0.161290322580645,217,0,15,0.0691244239631336,217,0,6,0.0276497695852535,217,0,1,0.00460829493087558,,,,,217,115,102,0.470046082949309
Italy,,169,25,0,0,169,0,13,0.0769230769230769,169,0,7,0.0414201183431953,169,0,13,0.0769230769230769,169,0,30,0.177514792899408,169,0,35,0.207100591715976,169,0,29,0.171597633136095,169,0,13,0.0769230769230769,169,0,4,0.0236686390532544,169,25,144,0.85207100591716
Netherlands,,294,161,0,0,294,0,50,0.170068027210884,294,0,22,0.0748299319727891,294,0,15,0.0510204081632653,294,0,27,0.0918367346938776,294,0,14,0.0476190476190476,294,0,4,0.0136054421768707,294,0,1,0.00340136054421769,,,,,294,161,133,0.452380952380952
Norway,,314,294,0,0,314,0,12,0.0382165605095541,314,0,7,0.0222929936305732,314,0,1,0.00318471337579618,,,,,,,,,,,,,,,,,,,,,314,294,20,0.0636942675159236
Portugal,,174,134,0,0,174,0,9,0.0517241379310345,174,0,10,0.0574712643678161,174,0,7,0.0402298850574713,174,0,6,0.0344827586206897,174,0,2,0.0114942528735632,174,0,1,0.00574712643678161,174,0,4,0.0229885057471264,174,0,1,0.00574712643678161,174,134,40,0.229885057471264
Republic of North Macedonia,,18,8,0,0,18,0,5,0.277777777777778,18,0,3,0.166666666666667,,,,,18,0,1,0.0555555555555556,,,,,,,,,,,,,18,0,1,0.0555555555555556,18,8,10,0.555555555555556
