"Combined resistance (CoR) to ciprofloxacin (CIP) and cefotaxime (CTX) in indicator E. coli, legislative categories, 2019"

Page by:
Matrix: Cattle (bovine animals) - calves (under 1 year)

Reporting Country,Multi Resistance patterns of isolates resistant to both Cip and Ctx (number of isolates),Metrics,N,"Resistant to both CIP and CTX , applying ECCOFs",%r,"Resistant to both CIP and CTX , applying clinical",%r
Belgium,CHL-AMP-CTX-CAZ-CIP-SMX-TMP-TET,,172,1,0.00581395348837209,0,0
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,172,1,0.00581395348837209,0,0
,Total,,172,2,0.0116279069767442,0,0
Germany,AMP-CTX-CAZ-CIP-TET,,217,1,0.00460829493087558,0,0
,Total,,217,1,0.00460829493087558,0,0
Italy,AMP-CTX-CAZ-CIP-SMX-TMP-TET,,169,1,0.00591715976331361,0,0
,GEN-CHL-AMP-CTX-CAZ-CIP-SMX-TMP-TET,,169,3,0.0177514792899408,0,0
,GEN-CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,169,1,0.00591715976331361,1,0.00591715976331361
,Total,,169,5,0.029585798816568,1,0.00591715976331361
Portugal,CHL-AMP-CTX-CAZ-CIP-SMX-TMP-TET,,174,1,0.00574712643678161,0,0
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,174,1,0.00574712643678161,1,0.00574712643678161
,GEN-CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP,,174,1,0.00574712643678161,1,0.00574712643678161
,GEN-CHL-AMP-CTX-NAL-CIP-SMX-TMP-TET,,174,1,0.00574712643678161,0,0
,Total,,174,4,0.0229885057471264,2,0.0114942528735632
Republic of North Macedonia,GEN-CHL-AMP-CTX-CAZ-CIP-SMX-TMP-TET,,18,1,0.0555555555555556,1,0.0555555555555556
,Total,,18,1,0.0555555555555556,1,0.0555555555555556
Spain,CHL-AMP-CTX-CAZ-CIP-SMX-TET,,170,1,0.00588235294117647,0,0
,Total,,170,1,0.00588235294117647,0,0
Total,,,920,14,0.0152173913043478,4,0.00434782608695652



Page by:
Matrix: Pigs - fattening pigs

Reporting Country,Multi Resistance patterns of isolates resistant to both Cip and Ctx (number of isolates),Metrics,N,"Resistant to both CIP and CTX , applying ECCOFs",%r,"Resistant to both CIP and CTX , applying clinical",%r
Belgium,AMP-CTX-CAZ-CIP-SMX-TMP,,175,1,0.00571428571428571,0,0
,Total,,175,1,0.00571428571428571,0,0
Germany,AMP-CTX-CAZ-CIP,,246,1,0.0040650406504065,0,0
,AMP-CTX-CAZ-NAL-CIP,,246,1,0.0040650406504065,0,0
,AMP-CTX-CAZ-NAL-CIP-SMX-TMP,,246,1,0.0040650406504065,0,0
,CHL-AMP-CTX-NAL-CIP-SMX-TMP-TET,,246,1,0.0040650406504065,0,0
,Total,,246,4,0.016260162601626,0,0
Greece,AMP-CTX-CAZ-NAL-CIP-SMX-TET,,146,1,0.00684931506849315,0,0
,AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,146,1,0.00684931506849315,0,0
,Total,,146,2,0.0136986301369863,0,0
Italy,AMP-CTX-CAZ-CIP-SMX-TET,,169,1,0.00591715976331361,0,0
,Total,,169,1,0.00591715976331361,0,0
Malta,AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,71,1,0.0140845070422535,1,0.0140845070422535
,Total,,71,1,0.0140845070422535,1,0.0140845070422535
Poland,AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,175,1,0.00571428571428571,0,0
,Total,,175,1,0.00571428571428571,0,0
Portugal,AMP-CTX-CAZ-NAL-CIP-SMX-TET,,156,1,0.00641025641025641,0,0
,AMP-CTX-CAZ-NAL-CIP-TMP-TET,,156,1,0.00641025641025641,1,0.00641025641025641
,CHL-AMP-CTX-CAZ-CIP-SMX-TET,,156,1,0.00641025641025641,0,0
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TET,,156,2,0.0128205128205128,1,0.00641025641025641
,CHL-AMP-CTX-NAL-CIP-COL-SMX-TMP-TET,,156,1,0.00641025641025641,0,0
,GEN-CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,156,1,0.00641025641025641,1,0.00641025641025641
,Total,,156,7,0.0448717948717949,3,0.0192307692307692
Romania,AMP-CTX-CAZ-NAL-CIP,,170,1,0.00588235294117647,1,0.00588235294117647
,CHL-AMP-CTX-CAZ-CIP-SMX-TET,,170,2,0.0117647058823529,0,0
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,170,2,0.0117647058823529,0,0
,Total,,170,5,0.0294117647058824,1,0.00588235294117647
Spain,AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,170,1,0.00588235294117647,1,0.00588235294117647
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,170,1,0.00588235294117647,0,0
,Total,,170,2,0.0117647058823529,1,0.00588235294117647
United Kingdom,CHL-AMP-CTX-CAZ-CIP-SMX-TMP-TET,,208,1,0.00480769230769231,0,0
,Total,,208,1,0.00480769230769231,0,0
Total,,,1686,25,0.0148279952550415,6,0.00355871886120996



Page by:
Matrix: Gallus gallus (fowl) - broilers

Reporting Country,Multi Resistance patterns of isolates resistant to both Cip and Ctx (number of isolates),Metrics,N,"Resistant to both CIP and CTX , applying ECCOFs",%r,"Resistant to both CIP and CTX , applying clinical",%r
Belgium,AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,169,1,0.00591715976331361,0,0
,CHL-AMP-CTX-CAZ-CIP-SMX-TMP-TET,,169,1,0.00591715976331361,1,0.00591715976331361
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TET,,169,1,0.00591715976331361,0,0
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP,,169,3,0.0177514792899408,0,0
,CHL-AMP-CTX-CAZ-NAL-CIP-SMX-TMP-TET,,169,5,0.029585798816568,0,0
,Total,,169,11,0.0650887573964497,1,0.00591715976331361
Total,,,169,11,0.0650887573964497,1,0.00591715976331361
