Source: Annex_C_E.coli_EUSR_AMR_2020-2021.pdf
Page: 2
"Table 1: Occurrence of resistance (%) to selected antimicrobials, using harmonised ECOFFs, complete susceptibility and multiresistance to all antimicrobials"

-- Table 1 (auto-detected) --
,,,,,,,,,,,,,,,,,,,Resistance,Resistance
,,,,,,,,,,,,,,,,,,,to both,to both
,,GEN,AMK,CHL,AMP,CTX,CAZ,MEM,TGC,NAL,CIP,AZM,COL,SMX,TMP,TET
Country,N,,,,,,,,,,,,,,,,CS,MDR,"CIP/CTX,","CIP/CTX,"
,,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%)
,,,,,,,,,,,,,,,,,,,applying,applying

,,,,,,,,,,,,,,,,,,,ECOFFs,CBPs
Austria,175,0,0.6,4.0,21.1,1.1,1.1,0,0,4.6,6.3,1.7,0,22.3,14.3,50.9,38.3,16.6,0.6,0
Belgium,170,0,1.2,15.9,30.0,0,0,0,0,3.5,4.1,1.2,0,33.5,33.5,40.0,41.8,28.8,0,0
Bulgaria,100,4.0,0,38.0,63.0,1.0,1.0,0,0,12.0,26.0,4.0,1.0,74.0,41.0,65.0,11.0,64.0,0,0
Croatia,85,1.2,0,12.9,27.1,0,0,0,0,10.6,12.9,1.2,0,34.1,24.7,50.6,37.6,29.4,0,0
Cyprus,22,4.5,0,31.8,59.1,4.5,4.5,0,0,9.1,9.1,9.1,0,63.6,59.1,77.3,9.1,59.1,0,0
Czechia,178,0,0,5.1,35.4,2.2,2.2,0,0,2.8,4.5,1.7,0.6,27.5,22.5,34.8,46.1,23.6,0.6,0
Denmark,65,0,0,4.6,38.5,1.5,1.5,0,0,0,0,4.6,0,41.5,30.8,29.2,52.3,33.9,0,0
Estonia,143,0,0,2.1,27.3,1.4,0.7,0,0.7,2.1,3.5,0,0,25.9,24.5,35.0,49.6,21.7,0,0
Finland,170,0,0,0,8.2,0,0,0,0,0,0,0,0,12.4,12.4,14.1,77.7,8.2,0,0
France,232,0,0.4,8.6,25.4,0.9,0.9,0,0.9,2.6,2.6,1.3,0,29.3,21.1,42.2,44.0,23.7,0.9,0.4
Germany,190,2.6,0,6.3,28.9,0,0,0,0,1.1,1.6,2.6,0,29.5,23.7,32.1,49.5,22.6,0,0
Greece,73,2.7,0,53.4,65.8,0,0,0,0,6.8,11.0,8.2,0,64.4,50.7,71.2,20.6,67.1,0,0
Hungary,170,3.5,0,14.1,45.3,4.7,4.1,0,4.7,4.7,7.6,2.4,0,31.8,24.7,47.1,30.6,35.3,0.6,0
Ireland,170,3.5,0,9.4,28.2,0,0,0,0,0.6,2.4,0.6,0,37.1,36.5,51.8,38.2,32.9,0,0
Italy,170,4.7,0,39.4,57.6,0.6,0.6,0,0,8.2,17.1,0,0,48.2,38.2,65.9,22.4,55.3,0.6,0
Latvia,152,0.7,0,9.9,30.3,1.3,1.3,0,0,3.9,6.6,2.6,1.3,28.9,21.7,27.6,50.7,25.7,0,0
Lithuania,100,6.0,1.0,13.0,36.0,1.0,1.0,0,0,7.0,12.0,2.0,3.0,32.0,18.0,38.0,43.0,26.0,1.0,1.0
Luxembourg,205,0,0,6.8,25.4,0,0,0,0,2.4,4.9,0,0,22.9,22.0,37.6,50.5,21.0,0,0
Malta,126,2.4,0,20.6,29.4,0,0,0,0,4.8,11.1,0,0,45.2,39.7,59.5,27.8,38.9,0,0
Netherlands,300,0.7,0.7,9.3,22.3,0,0,0,0,0.7,2.0,1.7,0,24.0,24.3,31.0,50.7,20.3,0,0
Poland,212,0.9,0.5,17.5,47.2,1.9,1.9,0,0.5,9.0,16.5,0.9,0,35.8,30.2,47.2,34.0,39.1,1.4,0
Portugal,55,1.8,0,49.1,70.9,5.5,5.5,0,0,10.9,16.4,9.1,1.8,60.0,58.2,72.7,10.9,72.7,1.8,0
Romania,169,4.1,0,30.8,59.8,4.7,4.7,0,0,18.3,33.7,3.0,0.6,53.8,33.7,61.5,14.8,55.6,1.8,1.8
Slovakia,85,7.1,0,8.2,42.4,0,0,0,0,9.4,9.4,1.2,0,40.0,27.1,44.7,32.9,34.1,0,0
Slovenia,85,0,0,10.6,18.8,2.4,1.2,0,4.7,0,5.9,0,0,17.6,17.6,27.1,57.6,23.5,1.2,0
Spain,170,4.7,0,41.2,83.5,1.2,1.2,0,0,27.1,50.6,4.7,0,58.8,60.0,78.8,6.5,78.8,1.2,0.6
Sweden,173,0,0,7.5,24.9,0.6,0.6,0,0,1.7,1.7,1.5,0,22.5,19.7,16.8,63.6,19.6,0,0
