Source: Annex_C_E.coli_EUSR_AMR_2020-2021.pdf
Page: 3
to both to both

-- Table 1 (auto-detected) --
,,,,,,,,,,,,,,,,,,,Resistance,Resistance
,,,,,,,,,,,,,,,,,,,to both,to both
,,GEN,AMK,CHL,AMP,CTX,CAZ,MEM,TGC,NAL,CIP,AZM,COL,SMX,TMP,TET
Country,N,,,,,,,,,,,,,,,,CS,MDR,"CIP/CTX,","CIP/CTX,"
,,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%)
,,,,,,,,,,,,,,,,,,,applying,applying

,,,,,,,,,,,,,,,,,,,ECOFFs,CBPs
United Kingdom
(Northern,68,0,1.5,17.6,41.2,0,0,0,0,4.4,4.4,1.5,0,64.7,45.6,66.2,17.6,47.1,0,0
Ireland)
Total (28 MSs),4013,1.7,0.2,15.1,36.3,1.1,1.1,0,0.4,5.6,9.7,1.8,0.2,34.9,28.7,44.0,39.7,33.1,0.4,0.1
Median (MSs),-,1.1,0,11.8,32.8,0.9,0.9,0,0,4.5,6.4,1.6,0,33.8,25.9,45.9,38.3,31.2,0,0
Iceland,85,0,0,9.4,25.9,1.2,1.2,0,1.2,0,0,0,0,32.9,23.5,38.8,44.7,28.2,0,0
Norway,318,0,0,0.3,6.6,0,0,0,0,0.9,0.9,0,0,7.5,6.3,6.0,85.8,3.5,0,0
Switzerland,170,1.2,0,2.9,16.5,0,0,0,0.6,3.5,4.1,0,0,29.4,14.7,30.0,51.8,14.7,0,0
Total (28 MSs
and 3 non-,4586,1.5,0.2,13.5,33.3,1.0,0.9,0,0.4,5.1,8.7,1.5,0.2,32.8,26.5,40.8,43.4,30.3,0.4,0.1
MSs)
Median (MSs
,-,0.9,0,9.9,30.0,0.9,0.7,0,0,3.9,5.9,1.3,0,32.9,24.7,42.2,41.8,28.8,0,0
and non-MSs)
