Source: Annex_C_E.coli_EUSR_AMR_2020-2021.pdf
Page: 5
"Table 3: Occurrence of resistance (%) to selected antimicrobials, using harmonised ECOFFs, complete susceptibility and multiresistance to all antimicrobials"

-- Table 1 (auto-detected) --
,,,,,,,,,,,,,,,,,,Resistance,Resistance
,,,,,,,,,,,,,,,,,,to both,to both
,,GEN,CHL,AMP,CTX,CAZ,MEM,TGC,NAL,CIP,AZM,COL,SMX,TMP,TET
Country,N,,,,,,,,,,,,,,,CS,MDR,"CIP/CTX,","CIP/CTX,"
,,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%)
,,,,,,,,,,,,,,,,,,applying,applying

,,,,,,,,,,,,,,,,,,ECOFFs,CBPs
Austria,170,3.5,2.9,34.7,0,0,0,0,46.5,47.6,0.6,0,37.1,25.9,26.5,32.4,32.9,0,0
Belgium,165,6.1,18.2,82.4,6.7,6.7,0,0,45.5,49.7,6.1,0,69.1,64.8,56.4,6.1,70.3,5.4,0
Bulgaria,100,16.0,25.0,60.0,1.0,0,0,0,74.0,77.0,6.0,6.0,81.0,40.0,52.0,2.0,72.0,1.0,1.0
Croatia,85,8.2,8.2,50.6,0,0,0,0,56.5,62.4,0,0,42.4,28.2,45.9,24.7,45.9,0,0
Cyprus,99,7.1,24.2,81.8,7.1,7.1,0,0,72.7,87.9,3.0,10.1,67.7,56.6,73.7,5.0,79.8,7.1,5.0
Czechia,195,1.0,3.1,36.4,0,0,0,0,66.2,71.8,0,0,21.5,14.4,19.0,15.9,23.1,0,0
Denmark,172,2.3,0,20.3,0,0,0,0,14.5,16.3,0.6,0,19.8,10.5,9.3,58.1,12.8,0,0
Estonia,82,0,4.9,39.0,0,0,0,0,48.8,51.2,0,0,19.5,15.9,13.4,37.8,24.4,0,0
Finland,170,0.6,0,4.1,0,0,0,0,4.7,4.7,0,0,3.5,1.8,9.4,82.9,2.4,0,0
France,222,2.7,3.6,37.4,0.5,0.5,0,0,29.7,30.6,0.5,0.9,36.9,31.5,41.9,30.6,38.3,0.4,0
Germany,214,9.3,5.1,64.0,2.3,2.3,0,0,52.3,60.7,2.8,8.9,50.9,38.8,31.8,15.4,49.5,1.4,0
Greece,170,17.6,29.4,72.9,0.6,0.6,0,0,68.2,72.9,5.9,0.6,58.8,53.5,61.8,9.4,68.8,0.6,0.6
Hungary,170,8.8,14.7,51.2,1.2,1.2,0,0,82.4,88.8,0.6,0,34.7,20.6,37.6,6.5,45.3,1.2,0.6
Ireland,170,0,5.3,50.0,0,0,0,0,15.9,17.1,0.6,0,32.4,27.1,31.2,31.8,28.2,0,0
Italy,170,2.9,21.2,55.9,1.2,1.2,0,0,48.2,54.1,1.2,0,46.5,37.1,47.6,24.1,52.4,0.6,0.6
Latvia,150,0,2.7,41.3,0.7,0.7,0,0,57.3,60.7,0,0,28.0,30.7,26.7,22.0,37.3,0.7,0.7
Lithuania,100,12.0,33.0,86.0,5.0,5.0,0,0,75.0,92.0,5.0,0,76.0,63.0,62.0,1.0,85.2,5.0,1.0
Luxembourg(a),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0
Malta(a),3,0,33.3,33.3,33.3,33.3,0,0,33.3,33.3,0,0,33.3,33.3,33.3,66.7,33.3,33.3,33.3
Netherlands,305,3.0,3.6,43.6,0.3,0,0,0,29.2,34.4,0,0,41.0,30.8,30.2,31.8,38.0,0.3,0
Poland,175,9.1,24.0,77.7,2.3,1.7,0,0,70.3,85.1,1.7,1.7,57.1,53.1,52.0,7.4,71.4,1.7,0.6
Portugal,156,9.6,21.8,64.1,3.2,3.2,0,0,69.2,74.4,5.8,0,46.2,34.0,50.6,10.3,54.5,3.2,1.9
Romania,168,17.3,25.6,63.1,3.6,3.0,0,0,82.1,87.5,11.3,4.2,57.1,42.3,56.5,6.0,71.4,3.6,3.6
Slovakia,84,10.7,14.3,82.1,0,0,0,0,88.1,96.4,1.2,0,50.0,39.3,59.5,2.4,64.3,0,0
Slovenia,85,0,2.4,56.5,1.2,1.2,0,0,51.8,63.5,0,0,25.9,24.7,34.1,17.6,34.1,0,0
Spain,170,12.4,8.8,32.9,1.8,1.8,0,0,60.6,65.9,6.5,0,26.5,18.8,30.0,19.4,31.2,1.2,1.2
Sweden,172,0.6,0,12.8,0,0,0,0,10.5,12.2,0,0,15.1,9.3,7.0,71.5,10.5,0,0
Total (27 MSs),3924,6.1,11.1,49.8,1.5,1.4,0,0,49.7,55.1,2.3,1.2,40.5,31.7,36.9,24.6,43.8,1.2,0.6
Median (MSs),-,3.5,8.2,50.6,0.7,0.6,0,0,52.3,60.7,0.6,0,37.1,30.8,34.1,19.4,38.3,0.6,0
Iceland,85,1.2,0,7.1,0,0,0,0,7.1,7.1,0,0,4.7,10.6,3.5,78.8,3.5,0,0
Norway,247,0,0.4,2.0,0,0,0,0,12.1,12.6,0,0,0.4,2.8,3.6,79.8,0.4,0,0
