Source: Annex_C_E.coli_EUSR_AMR_2020-2021.pdf
Page: 7
"Table 4: Occurrence of resistance (%) to selected antimicrobials, using harmonised ECOFFs, complete susceptibility and multiresistance to all antimicrobials"

-- Table 1 (auto-detected) --
,,,,,,,,,,,,,,,,,,Resistance,Resistance
,,,,,,,,,,,,,,,,,,to both,to both
,,GEN,CHL,AMP,CTX,CAZ,MEM,TGC,NAL,CIP,AZM,COL,SMX,TMP,TET
Country,N,,,,,,,,,,,,,,,CS,MDR,"CIP/CTX,","CIP/CTX,"
,,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%)
,,,,,,,,,,,,,,,,,,applying,applying

,,,,,,,,,,,,,,,,,,ECOFFs,CBPs
Austria,170,1.2,2.9,40.6,0,0,0,0,13.5,21.8,0,0.6,11.8,11.8,30.6,44.1,15.9,0,0
Belgium,95,6.3,26.3,69.5,6.3,7.4,0,0,24.2,34.7,1.1,0,40.0,31.6,67.4,17.9,49.5,2.1,0
France,171,0.6,10.5,54.4,0.6,0.6,0,0,9.9,15.2,0.6,2.9,32.2,31.0,52.6,31.6,38.6,0,0
Germany,213,2.8,11.3,54.5,1.4,0.9,0,0,20.2,32.4,0,7.5,25.4,12.7,39.0,27.7,33.3,0.5,0
Hungary,170,2.9,24.7,54.7,0,0,0,0,38.8,58.2,2.9,1.8,38.2,22.4,68.2,18.2,50.6,0,0
Italy,170,2.4,15.9,52.4,1.8,1.8,0,0,22.9,33.5,1.2,0,44.1,45.3,47.1,31.2,47.6,0.6,0
Poland,182,8.8,25.3,74.2,2.2,1.6,0,0,45.1,73.6,1.1,12.1,45.6,39.6,67.6,13.2,64.8,1.6,1.1
Portugal,142,3.5,31.7,69.7,3.5,3.5,0,0.7,64.8,72.5,7.0,23.9,51.4,37.3,71.8,14.1,69.0,3.5,2.1
Romania,31,41.9,74.2,93.5,0,0,0,0,64.5,87.1,22.6,3.2,80.6,54.8,90.3,3.2,90.3,0,0
Spain,170,2.4,21.8,60.0,3.5,3.5,0,0,36.5,56.5,1.8,0,37.6,30.0,59.4,18.2,53.5,3.5,1.2
Sweden,44,0,2.3,9.1,0,0,0,0,4.5,4.5,0,0,9.1,2.3,9.1,79.6,4.6,0,0
Total (11 MSs),1558,4.0,18.8,57.4,1.8,1.7,0,0.1,30.1,43.8,2.0,5.3,35.7,28.2,54.1,25.7,45.9,1.2,0.4
Median (MSs),-,2.8,21.8,54.7,1.4,0.9,0,0,24.2,34.7,1.1,1.8,38.2,31.0,59.4,18.2,49.5,0.5,0
Norway,120,0.8,1.7,18.3,1.7,1.7,0,0,1.7,2.5,0,0,5.8,6.7,8.3,75.0,5.0,0,0
United Kingdom,197,1.5,4.1,59.9,1.0,1.0,0,0,6.6,14.2,1.0,0,16.8,14.7,55.3,28.9,24.4,0.5,0.5
Total (11 MSs
and 2 non-,1875,3.5,16.2,55.2,1.7,1.7,0,0.1,25.8,38.1,1.8,4.4,31.8,25.4,51.3,29.2,41.0,1.0,0.4
MSs)
Median (MSs
,-,2.4,15.9,54.7,1.4,1.0,0,0,22.9,33.5,1.1,0.6,37.6,30.0,55.3,27.7,47.6,0.5,0
and non-MSs)
