Source: Annex_C_E.coli_EUSR_AMR_2020-2021.pdf
Page: 9
"Table 6: Occurrence of resistance (%) to selected antimicrobials, using harmonised ECOFFs, complete susceptibility and multiresistance to all antimicrobials"

-- Table 1 (auto-detected) --
,,,,,,,,,,,,,,,,,,,Resistance,Resistance
,,,,,,,,,,,,,,,,,,,to both,to both
,,GEN,AMK,CHL,AMP,CTX,CAZ,MEM,TGC,NAL,CIP,AZM,COL,SMX,TMP,TET
Country,N.x,,,,,,,,,,,,,,,,CS,MDR,"CIP/CTX,","CIP/CTX,"
,,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%)
,,,,,,,,,,,,,,,,,,,applying,applying

,,,,,,,,,,,,,,,,,,,ECOFFs,CBPs
Finland(a),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0
Germany(a),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,33.3,0,0,0
Italy,21,0,0,0,4.8,0,0,0,0,4.8,4.8,0,0,0,0,4.8,90.5,0,0,0
Netherlands,79,1.3,0,3.8,5.1,1.3,1.3,0,1.3,1.3,1.3,1.3,0,7.6,3.8,11.4,84.8,5.1,1.3,1.3
Spain(a),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0
Sweden(a),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0
Total (6 MSs),110,0.9,0,2.7,4.6,0.9,0.9,0,0.9,1.8,1.8,0.9,0,5.4,2.7,10.9,85.4,3.6,0.9,0.9
Median (MSs),-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,95.2,0,0,0
