Source: Annex D - AMR in indicator E. coli.pdf
Page: 4
"Table 2: Occurrence of resistance (%) to selected antimicrobials in indicator Escherichia coli from calves under 1 year of age, using harmonised ECOFFs,"

-- Table 1 (auto-detected) --
N,GEN,CHL,AMP,CTX,CAZ,MEM,TGC,NAL,CIP,AZM,COL,SMX,TMP,TET,CS,MDR,"Resistance
to both
CIP/CTX,
applying
ECOFFs"
172,5.2,31.4,66.9,2.3,2.3,0,0,12.2,24.4,4.1,2.3,61,50,73.3,19.8,62.2,1.2
84,3.6,10.7,13.1,0,0,0,0,7.1,7.1,0,0,32.1,11.9,27.4,63.1,15.5,0
172,0.6,5.8,6.4,0,0,0,0,0,0,0,0,9.3,1.2,11.6,87.2,6.4,0
153,6.5,20.3,35.3,0,0,0,0,5.9,6.5,3.9,0.7,45.8,28.8,54.9,39.9,40.5,0
217,2.8,10.1,33.6,2.3,1.8,0,0,5.5,12.4,2.8,0.5,27.6,27.2,37.3,53,30.9,0.5
169,20.1,36.1,63.9,4.1,4.1,0,0,21.9,46.2,3,1.8,71,65.1,79.9,14.8,73.4,3
294,1.7,12.6,20.1,0,0,0,0,1.4,3.4,0,0,20.7,16.7,43.2,54.8,20.7,0
174,1.7,10.9,9.8,2.3,1.7,0,0,4,5.7,0,0,14.9,5.2,21.8,77,12.1,2.3
170,3.5,16.5,21.8,0.6,0.6,0,0,5.3,8.2,0.6,0.6,41.8,18.2,51.8,44.1,31.2,0.6
1605,4.8,16.9,30.2,1.3,1.2,0,0,6.5,12.3,1.6,0.6,34.6,24.9,45,50.3,32.3,0.8
-,3.5,12.6,21.8,0.6,0.6,0.0,0.0,5.5,7.1,0.6,0.5,32.1,18.2,43.2,53.0,30.9,0.5
314,0.3,0.3,2.2,0.3,0.3,0,0,0,0,0.3,0,3.2,0.6,2.2,93.6,0.3,0
18,5.6,11.1,22.2,5.6,5.6,0,0,0,5.6,0,0,33.3,5.6,38.9,44.4,11.1,5.6
199,4,7,26.1,1,1,0,0,4,4.5,0.5,0,31.2,13.1,36.2,60.3,25.6,0
2136,4.1,13.5,25.7,1.2,1.1,0,0,5.3,9.7,1.3,0.5,29.7,20.1,37.8,57.6,26.8,0.7
-,3.6,11.0,22.0,0.8,0.8,0.0,0.0,4.7,6.1,0.4,0.0,31.7,14.9,38.1,53.9,23.2,0.3
