Source: Annex D - AMR in indicator E. coli.pdf
Page: 5
"Table 3: Occurrence of resistance (%) to selected antimicrobials in indicator Escherichia coli from broilers, using harmonised ECOFFs, 28 EU MSs and 4 non-"

-- No tables auto-detected; raw text below --
"EUSR on AMR in zoonotic and indicator bacteria from humans, animals and food 2018/2019"
"Table 3: Occurrence of resistance (%) to selected antimicrobials in indicator Escherichia coli from broilers, using harmonised ECOFFs, 28 EU MSs and 4 non-"
"MS, 2018"
Resistance Resistance
to both to both
"Country N GEN CHL AMP CTX CAZ MEM TGC NAL CIP AZM COL SMX TMP TET CS MDR CIP/CTX, CIP/CTX,"
applying applying
ECOFFs CBPs
Austria 174 4 5.2 33.3 0 0 0 0 51.1 53.4 1.7 0 29.9 19 25.9 29.3 28.2 0 0
Belgium 146 11 28.1 84.2 15.1 13.7 0 1.4 54.1 59.6 1.4 0.7 75.3 61 55.5 6.8 76 9.6 2.1
Bulgaria 100 14 26 55 5 4 0 0 78 80 4 1 59 44 55 10 62 5 2
Croatia 85 5.9 2.4 40 1.2 1.2 0 0 76.5 82.4 0 0 36.5 18.8 38.8 10.6 38.8 1.2 1.2
Cyprus 101 7.9 18.8 65.3 7.9 7.9 0 0 69.3 85.1 4 2 61.4 49.5 59.4 6.9 68.3 7.9 2
Czechia 189 2.1 2.1 40.7 0 0 0 0 67.7 73.5 0.5 0 23.8 18.5 20.1 20.1 26.5 0 0
Denmark 166 1.2 1.8 17.5 0 0 0 0 12.7 13.3 0 0 20.5 12.7 13.3 60.2 12 0 0
Estonia 85 0 14.1 71.8 0 0 0 0 78.8 87.1 3.5 0 32.9 44.7 20 9.4 61.2 0 0
Finland 173 1.2 0.6 13.3 0.6 0.6 0 0 5.8 5.8 0 0 6.4 5.2 6.4 80.9 5.2 0 0
France 221 3.2 4.1 47.1 2.3 2.3 0 0 37.6 38 1.4 1.8 46.2 41.2 54.3 23.5 45.7 1.4 0.5
Germany 214 7 8.4 65 1.4 1.4 0 0 52.3 55.6 2.3 4.7 49.5 33.6 24.8 12.1 47.2 1.4 0.5
Greece 170 15.9 38.8 81.8 0.6 0 0 0 86.5 90.6 13.5 0 82.4 75.9 64.7 1.8 86.5 0.6 0.6
Hungary 170 8.2 17.1 50 2.9 2.9 0 0 74.1 84.1 1.8 0 42.9 28.2 42.4 8.8 49.4 2.9 1.2
Ireland 200 0.5 6 45 1 0.5 0 0 24 25.5 2 0 27.5 24 28.5 37 28 0.5 0
Italy 170 6.5 21.8 68.8 2.4 1.8 0 0 53.5 63.5 3.5 0 59.4 50 51.2 15.3 64.1 1.2 0
Latvia 200 0.5 14 29.5 1 1 0 0 55.5 55.5 0 0 36.5 23 19.5 22 36 1 0
Lithuania 93 15.1 34.4 84.9 30.1 30.1 0 0 65.6 80.6 3.2 0 69.9 62.4 53.8 5.4 79.6 26.9 11.8
Luxembourg 1 0 0 100 0 0 0 0 100 100 0 0 100 100 0 0 100 0 0
Malta 85 9.4 17.6 69.4 9.4 8.2 0 0 50.6 52.9 1.2 0 57.6 37.6 54.1 14.1 56.5 7.1 3.5
Netherlands 299 4.7 6.7 43.8 1 1 0 0 30.4 32.4 0.3 0 33.4 28.1 28.4 32.4 33.8 0 0
Poland 181 6.1 23.8 85.6 2.2 1.7 0 0 64.1 84 1.7 0.6 60.2 57.5 76.2 5 76.8 2.2 2.2
Portugal 161 9.9 21.7 78.3 3.7 3.7 0 0 78.9 84.5 7.5 1.2 61.5 47.8 59.6 5.6 72.7 3.1 1.2
Romania 170 20 32.9 67.6 4.7 4.1 0 0 87.1 91.8 10 4.7 65.3 52.4 57.6 4.7 72.9 4.7 4.1
Slovakia 85 4.7 14.1 68.2 0 0 0 0 78.8 87.1 0 0 51.8 34.1 51.8 8.2 60 0 0
Slovenia 85 3.5 3.5 61.2 0 0 0 0 70.6 82.4 1.2 0 36.5 30.6 32.9 8.2 40 0 0
www.efsa.europa.eu/efsajournal 5 EFSA Journal 2021;19(4):6490
