Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 13
Table 2. Presumptive ESBL and AmpC-producing indicator E. coli isolates from broiler flocks collected within the routine monitoring and subjected to

-- Table 1 (auto-detected) --
,,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
Country,NP1,NP2(a),AmpC,,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)

,,,n,%(h),n,%(h),n,%(h),n,%,n,n,%(h),n,%(h),n
Belgium,165,11,9,5.5,9,5.5,0,0,3,1.8,0,0,2,1.2,0,0
Bulgaria,100,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Cyprus,99,7,6,6.1,5,5.1,1,1,0,0,1,1,1,1,0,0
France,222,2,1,0.5,1,0.5,0,0,1,0.5,0,0,0,0,0,0
Germany,214,5,5,2.3,5,2.3,0,0,3,1.4,0,0,0,0,0,0
Greece,170,1,1,0.6,1,0.6,1,0.6,0,0,0,0,0,0,0,0
Hungary,170,2,2,1.2,0,0,0,0,0,0,2,1.2,0,0,0,0
Italy(i),170,2,2,1.2,2,1.2,0,0,1,0.6,0,0,0,0,0,0
Latvia,150,1,1,0.7,0,0,0,0,0,0,1,0.7,0,0,0,0
Lithuania,100,5,4,4,1,1,0,0,0,0,3,3,0,0,0,0
Malta,3,1,1,33.3,1,33.3,0,0,0,0,0,0,0,0,0,0
Netherlands,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,175,4,2,1.1,2,1.1,2,1.1,0,0,0,0,1,0.6,0,0
Portugal,156,5,3,1.9,3,1.9,1,0.6,0,0,0,0,2,1.3,0,0
Romania,168,6,6,3.6,4,2.4,2,1.2,0,0,2,1.2,0,0,0,0
Slovenia,85,1,1,1.2,1,1.2,0,0,0,0,0,0,0,0,0,0
Spain,170,3,1,0.6,1,0.6,0,0,0,0,0,0,1,0.6,0,0
Total (17 MSs),"2,622",58,46,1.8,37,1.4,8,0.3,8,0.3,9,0.3,7,0.3,0,0
United Kingdom,250,1,1,0.4,1,0.4,0,0,0,0,0,0,0,0,0,0
