Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 15
Table 4. Prevalence of presumptive ESBL- and AmpC-producing E. coli isolates from broiler meat collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
Ns,"ESBL and/or
AmpC(a)",,ESBL(b),,,"ESBL only
CTX/CLA SYN(c)",,,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC + ESBL(f)
,%P,95% CI,%P,95% CI,%P,,95% CI,"%
P",,95% CI,%P,95% CI,%P,95% CI,%P
307,18.9,14.7-23.7,12.4,8.9-16.6,3.6,,1.8-6.3,0.6,,0.1-2.3,6.8,4.3-10.3,0.3,0-1.8,0
250,49.2,42.8-55.6,49.2,42.8-55.6,49.2,,42.8-55.6,0,,0-1.5,0,0-1.5,0,0-1.5,0
153,37.9,30.2-46.1,22.2,15.9-29.6,6.5,,3.2-11.7,0,,0-2.4,16.3,10.9-23.2,0.6,0-3.6,0
127,42.5,33.8-51.6,27.6,20-36.2,15.7,,9.9-23.3,0,,0-2.9,15,9.3-22.4,0,0-2.9,0
136,27.2,19.9-35.5,19.9,13.5-27.6,4.4,,1.6-9.4,0,,0-2.7,11.8,6.9-18.4,4.4,1.6-9.4,0
299,36.5,31-42.2,27.7,22.8-33.2,13.7,,10-18.1,0,,0-1.2,8.7,5.8-12.5,0,0-1.2,0
336,4.8,2.7-7.6,3,1.4-5.4,0,,0-1.1,0,,0-1.1,1.8,0.7-3.8,0,0-1.1,0
75,24,14.9-35.3,20,11.6-30.8,4,,0.8-11.2,1.3,,0-7.2,5.3,1.5-13.1,1.3,0-7.2,0
296,0.3,0-1.9,0.3,0-1.9,0,,0-1.2,0,,0-1.2,0,0-1.2,0,0-1.2,0
316,10.1,7-14,6.6,4.2-10,1.6,,0.5-3.7,0,,0-1.2,3.8,2-6.5,0.3,0-1.8,0
449,33.2,28.4-37.3,32,27.3-36.1,2.5,,1.2-4.3,0.4,,0.1-1.6,3.2,1.7-5.2,2,0.9-3.8,0
222,55,48.2-61.6,46.8,40.1-53.6,14.8,,10.5-20.2,0,,0-1.6,9.9,6.3-14.6,1.8,0.5-4.5,0
300,47.4,41.6-53.2,26.7,21.7-32.1,7.7,,4.9-11.3,0.3,,0-1.8,21.7,17.1-26.8,1,0.2-2.9,0
300,17,12.9-21.7,7,4.4-10.5,1.3,,0.4-3.4,1.3,,0.4-3.4,10,6.8-14,0,0-1.2,0
281,38.4,32.7-44.4,30.2,24.9-36,9.6,,6.4-13.7,0.7,,0.1-2.5,8.5,5.5-12.4,0.3,0-2,0
150,46.7,38.5-55,26.6,19.8-34.5,3.3,,1.1-7.6,0,,0-2.4,20,13.9-27.3,0,0-2.4,0
151,55.6,47.3-63.7,31.2,23.8-39.2,11.2,,6.7-17.4,0.7,,0-3.6,25.1,18.5-32.9,0.7,0-3.6,0
138,43.5,30.9-47.8,41.9,29.6-46.3,5.7,,2.1-10.2,4,,1.2-8.3,4.8,1.6-9.2,3.2,0.8-7.3,0
60,100,94-100,96.7,88.5-99.6,5,,1-13.9,0,,0-6,6.7,1.8-16.2,3.3,0.4-11.5,0
252,6.3,3.4-9.6,5.1,2.5-8.2,0.4,,0-2.2,0,,0-1.5,2.5,0.9-5.1,1.3,0.2-3.4,0
315,33,27.8-38.5,19.4,15.1-24.2,4.8,,2.7-7.7,0.3,,0-1.8,15.2,11.5-19.7,1.6,0.5-3.7,0
121,25.6,18.1-34.4,21.5,14.5-29.9,4.1,,1.4-9.4,0,,0-3,5.8,2.4-11.6,1.7,0.2-5.8,0
300,35.3,29.9-41,24.3,19.6-29.6,3.7,,1.8-6.5,0,,0-1.2,11.7,8.3-15.9,0.7,0.1-2.4,0
150,54,45.7-62.2,47.3,39.1-55.6,25.3,,18.6-33.1,1.3,,0.2-4.7,7.3,3.7-12.7,0.7,0-3.7,0
152,44.7,36.7-53,28.3,21.3-36.2,11.2,,6.7-17.3,2,,0.4-5.7,17.1,11.5-24,0,0-2.4,0.7
300,60.7,54.9-66.2,51.7,45.9-57.4,13,,9.4-17.3,0.3,,0-1.8,15.3,11.4-19.9,6.3,3.9-9.7,0
306,9.5,6.4-13.3,2.6,1.1-5.1,1,,0.2-2.8,0,,0-1.2,6.9,4.3-10.3,0,0-1.2,0
"6,242",31.5,30.2-32.6,23.6,22.4-24.5,7.7,,7-8.3,0.4,,0.3-0.6,9,8.3-9.7,1,0.8-1.3,0
140,0,0-2.6,0,0-2.6,0,,0-2.6,0,,0-2.6,0,0-2.6,0,0-2.6,0
321,0.9,0.2-2.7,0,0-1.1,0,,0-1.1,0,,0-1.1,0.9,0.2-2.7,0,0-1.1,0
315,12.7,9.2-16.9,12.1,8.7-16.2,2.5,,1.1-4.9,0.3,,0-1.8,1.3,0.3-3.2,0.6,0.1-2.3,0
