Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 17
Table 5. Occurrence of presumptive ESBL- and AmpC-producing E. coli isolates from broiler meat collected within the specific ESBLs-/AmpC-

-- Table 1 (auto-detected) --
"N
P2",,,"ESBL and/or
AmpC(a)",,,,,,ESBL(b),,,,"ESBL only
CLA/CTX SYN(c)",,,,"ESBL only
CLA/CAZ SYN(d)",,,,AmpC(e),,,,"AmpC +
ESBL(f)"
,,,n,,,%(h),,,n,,,%(h),n,,,%(h),n,,,%(h),n,,,%(h),n,,,%(h),n
,58,,,57,,,98.3,,,37,,63.8,,11,,19,,2,,3.4,,20,,34.5,,1,,1.7,,0
,123,,,105,,85.4,,,,102,,82.9,,123,,100,,0,,0,,3,,2.4,,0,,0,,0
,58,,,57,,,98.3,,,33,,56.9,,10,,17.2,,0,,0,,24,,41.4,,1,,1.7,,0
,54,,,54,,,100,,,35,,64.8,,20,,37,,0,,0,,19,,35.2,,0,,0,,0
,37,,,31,,83.8,,,,21,,56.8,,6,,16.2,,0,,0,,10,,27,,6,,16.2,,0
,109,,,109,,,100,,,83,,76.1,,41,,37.6,,0,,0,,26,,23.9,,0,,0,,0
,16,,,16,,,100,,,10,,62.5,,0,,0,,0,,0,,6,,37.5,,0,,0,,0
,18,,,17,,,94.4,,,14,,77.8,,3,,16.7,,1,,5.6,,3,,16.7,,1,,5.6,,0
,1,,,1,,,100,,,1,,100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,35,,,31,,,88.6,,,20,,57.1,,5,,14.3,,0,,0,,11,,31.4,,1,,2.9,,0
,149,,,138,,,92.6,,,133,,89.3,,11,,7.4,,2,,1.3,,5,,3.4,,9,,6,,0
,122,,,118,,96.7,,,,100,,82,,33,,27,,0,,0,,18,,14.8,,4,,3.3,,0
,146,,,139,,,95.2,,,77,,52.7,,23,,15.8,,1,,0.7,,62,,42.5,,3,,2.1,,0
,51,,,51,,,100,,,21,,41.2,,4,,7.8,,4,,7.8,,30,,58.8,,0,,0,,0
,108,,,107,,,99.1,,,84,,77.8,,27,,25,,2,,1.9,,23,,21.3,,1,,0.9,,0
,70,,,70,,,100,,,40,,57.1,,5,,7.1,,0,,0,,30,,42.9,,0,,0,,0
,83,,,82,,,98.8,,,45,,54.2,,17,,20.2,,1,,1.2,,37,,44.6,,1,,1.2,,0
,54,,,50,,,92.6,,,48,,88.9,,7,,13,,5,,9.3,,2,,3.7,,4,,7.4,,0
,60,,,58,,,96.7,,,56,,93.3,,3,,5,,0,,0,,2,,3.3,,2,,3.3,,0
,15,,,12,,,80,,,9,,60,,1,,6.7,,0,,0,,3,,20,,3,,20,,0
,105,,,99,,,94.3,,,56,,53.3,,15,,14.3,,1,,1,,43,,41,,5,,4.8,,0
,31,,,29,,,93.5,,,24,,77.4,,5,,16.1,,0,,0,,5,,16.1,,2,,6.5,,0
,107,,,104,,,97.2,,,71,,66.4,,11,,10.3,,0,,0,,33,,30.8,,2,,1.9,,0
,84,,,80,,,95.2,,,70,,83.3,,38,,45.2,,2,,2.4,,10,,11.9,,1,,1.2,,0
,71,,,69,,97.2,,,,43,,60.6,,17,,23.9,,3,,4.2,,26,,36.6,,0,,0,,1
,182,,,163,,,89.6,,,136,,74.7,,39,,21.4,,1,,0.5,,27,,14.8,,19,,10.4,,0
,29,,,29,,,100,,,8,,27.6,,3,,10.3,,0,,0,,21,,72.4,,0,,0,,0
"1,976",,,1876,,,94.9,,,1377,,,69.7,478,,,24.2,25,,,1.3,499,,,25.3,66,,,3.3,1
,3,,,3,,,100,,,0,,0,,0,,0,,0,,0,,3,,100,,0,,0,,0
,87,,,86,,,98.9,,,58,,66.7,,19,,21.8,,3,,3.4,,28,,32.2,,0,,0,,0
,41,,,38,,,92.7,,,36,,87.8,,8,,19.5,,1,,2.4,,2,,4.9,,2,,4.9,,0
